,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
159,Raúl Asencio,es ESP,DF,Real Madrid,es La Liga,22-044,2003,11.2,634,595,38,20,1,5,0,7,0,0,0,0,589,1,1,Matches
160,Marco Asensio,es ESP,MFFW,Aston Villa,eng Premier League,29-067,1996,2.3,90,78,10,1,0,0,8,0,9,4,0,0,71,2,1,Matches
161,Marco Asensio,es ESP,FWMF,Paris S-G,fr Ligue 1,29-067,1996,6.9,335,314,19,2,4,1,13,3,6,2,0,0,291,2,7,Matches
162,Kristjan Asllani,al ALB,MF,Inter,it Serie A,23-020,2002,6.7,642,599,41,17,5,2,29,1,22,3,13,0,574,2,3,Matches
163,Iago Aspas,es ESP,FWMF,Celta Vigo,es La Liga,37-240,1987,15.5,684,667,10,1,15,7,8,6,2,0,1,0,507,7,23,Matches
164,Yaser Asprilla,co COL,FWMF,Girona,es La Liga,21-130,2003,9.8,455,413,38,11,4,7,52,8,17,12,2,0,339,4,15,Matches
165,Lorenz Assignon,tg TOG,DFMF,Rennes,fr Ligue 1,24-280,2000,19.2,966,777,183,12,3,3,56,170,1,0,0,0,747,6,31,Matches
166,Dehmaine Assoumani,fr FRA,MFFW,Nantes,fr Ligue 1,19-346,2005,0.9,45,42,3,1,0,0,4,1,0,0,0,0,36,0,2,Matches
167,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,19-216,2005,23.7,835,823,8,7,2,0,15,1,0,0,0,0,725,4,13,Matches
168,Arthur Atta,fr FRA,MFFW,Udinese,it Serie A,22-074,2003,6.7,328,321,5,2,0,3,14,3,0,0,0,0,252,2,13,Matches
169,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22-308,2002,23.0,1047,886,159,49,0,2,0,0,0,0,0,0,784,2,1,Matches
170,Emil Audero,id IDN,GK,Como,it Serie A,28-070,1997,8.0,253,217,36,15,0,0,0,0,0,0,0,0,209,0,0,Matches
