,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches,-9999
125,Tolgay Arslan,de GER,MF,Udinese,it Serie A,30,1990,18.4,681,647,34,21,2,109,13,25,7,2,5,0,509,68,104,72,570,27,3,3,547,0,8,24,25,Matches,963a328b
126,Arthur,br BRA,FW,Fiorentina,it Serie A,23,1998,8.3,144,128,16,0,0,33,4,2,0,0,0,0,103,16,25,12,115,7,0,3,114,0,3,2,6,Matches,a820e429
127,Santiago Arzamendia,py PAR,MFDF,Cádiz,es La Liga,23,1998,5.2,170,147,23,4,0,38,8,13,5,2,2,1,80,35,55,104,19,17,14,3,109,4,6,6,5,Matches,759d8dd7
128,Takuma Asano,jp JPN,FWMF,Bochum,de Bundesliga,26,1994,17.9,378,371,7,1,2,89,9,25,0,0,0,0,253,63,62,112,229,14,4,5,263,1,9,15,26,Matches,13ddc856
129,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,24,1997,26.4,1182,1119,63,54,0,194,23,3,0,0,0,0,843,166,173,221,832,88,7,5,978,5,21,37,30,Matches,e26fcca3
130,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,32,1989,6.0,222,163,59,3,0,12,5,0,0,0,0,0,151,15,56,34,142,3,0,39,183,1,6,0,1,Matches,9f0ea33f
131,Alejandro Asensio,es ESP,FW,Rayo Vallecano,es La Liga,20,2000,0.1,8,8,0,0,0,1,1,1,0,0,0,0,5,0,3,7,0,1,0,0,7,0,0,0,0,Matches,b4c23f36
132,Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,25,1996,19.2,904,823,81,16,1,133,39,43,45,24,3,4,694,93,117,786,85,13,14,5,740,5,7,34,29,Matches,45af8a54
133,Harrison Ashby,sct SCO,DF,West Ham,eng Premier League,19,2001,0.1,8,7,1,0,0,0,0,0,0,0,0,0,5,2,1,0,6,1,1,0,7,0,0,0,0,Matches,b391383a
134,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,20,2001,8.4,228,219,9,7,0,53,2,1,0,0,0,0,113,51,64,43,144,15,2,5,156,3,4,12,10,Matches,a69cc629
135,Fisnik Asllani,xk KVX,MFFW,Hoffenheim,de Bundesliga,18,2002,0.1,8,8,0,0,0,4,0,0,0,0,0,0,6,2,0,1,7,0,0,0,6,0,0,0,1,Matches,35f67a30
136,Kristjan Asllani,al ALB,MF,Empoli,it Serie A,19,2002,15.0,746,694,52,31,0,76,39,13,16,9,4,0,545,50,151,188,537,12,3,1,617,1,14,22,9,Matches,0fdcef0e
137,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,33,1987,34.3,1357,1259,98,38,2,292,56,86,30,16,5,2,982,191,184,959,295,52,17,11,976,6,32,86,60,Matches,7dcf86f6
138,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,21,2000,6.8,387,306,81,5,1,43,8,15,0,0,0,0,243,92,52,25,265,12,76,2,311,2,13,15,17,Matches,b026bbf6
139,Simon Asta,de GER,DF,Greuther Fürth,de Bundesliga,20,2001,8.7,401,308,93,3,0,41,4,16,0,0,0,0,210,80,111,16,272,19,90,0,287,1,12,20,18,Matches,dfc85b89
140,Youcef Atal,dz ALG,DF,Nice,fr Ligue 1,25,1996,12.7,729,610,119,9,2,85,12,48,2,0,0,0,432,149,148,39,535,27,108,2,559,1,14,34,24,Matches,6a827d8e
141,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,32,1989,11.5,205,198,7,0,1,62,3,9,0,0,0,0,120,47,38,27,151,8,1,1,145,1,2,8,11,Matches,d5dd5f1f
142,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,es La Liga,32,1989,12.0,244,223,21,0,1,57,0,9,0,0,0,0,180,36,28,29,201,4,1,2,184,0,2,17,4,Matches,d5dd5f1f
143,Emil Audero,it ITA,GK,Sampdoria,it Serie A,24,1997,28.4,999,700,299,84,1,89,14,0,0,0,0,0,440,44,515,98,754,0,1,118,693,7,18,8,1,Matches,649b01d8
144,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,26,1994,26.6,1384,1115,269,32,1,167,18,61,4,0,0,0,724,315,345,989,65,62,233,3,1062,3,16,38,65,Matches,3cd3b384
145,Jean-Kévin Augustin,fr FRA,FWMF,Nantes,fr Ligue 1,24,1997,0.9,18,16,2,0,0,4,0,0,0,0,0,0,14,3,1,2,14,0,0,0,15,0,0,1,0,Matches,97bfa797
146,Ludwig Augustinsson,se SWE,DF,Sevilla,es La Liga,27,1994,8.8,560,445,115,13,0,34,26,21,19,0,16,0,335,98,127,391,57,15,83,5,452,2,11,8,14,Matches,9fec8860
147,Serge Aurier,ci CIV,DF,Villarreal,es La Liga,28,1992,11.2,734,640,94,10,0,82,20,22,0,0,0,0,533,108,93,63,529,39,84,2,627,2,7,13,13,Matches,5c2b4f07
148,Ezequiel Ávila,ar ARG,FWMF,Osasuna,es La Liga,27,1994,20.8,545,522,23,6,0,127,34,58,4,1,1,1,215,142,188,125,292,69,6,13,307,4,30,26,38,Matches,253a06b9
149,Taiwo Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,23,1997,24.2,484,475,9,0,6,162,3,9,0,0,0,0,304,112,68,90,290,41,1,23,334,2,12,28,25,Matches,e5478b87
150,Ramzi Aya,it ITA,DF,Salernitana,it Serie A,30,1990,1.5,28,23,5,1,0,0,0,1,0,0,0,0,14,3,11,2,20,2,4,0,18,0,2,0,0,Matches,6a1f66a7
151,Jordan Ayew,gh GHA,FW,Crystal Palace,eng Premier League,29,1991,22.4,745,732,13,2,1,136,15,50,1,0,0,0,533,108,104,37,638,28,10,7,570,2,13,27,42,Matches,da052c14
152,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,26,1994,15.0,869,824,45,38,0,88,38,1,0,0,0,0,705,44,120,52,758,31,3,5,788,4,12,10,3,Matches,2200181e
153,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,29,1991,25.2,1558,1384,174,36,2,209,48,25,0,0,0,0,939,247,372,137,1184,64,137,6,1218,9,29,70,26,Matches,420d7c7d
154,Karim Azamoum,fr FRA,DF,Troyes,fr Ligue 1,31,1990,4.3,145,134,11,5,0,19,3,0,0,0,0,0,95,21,29,10,120,5,6,0,108,0,6,10,2,Matches,eaf71a5e
155,Sardar Azmoun,ir IRN,FWMF,Leverkusen,de Bundesliga,26,1995,4.0,112,108,4,0,0,20,0,0,0,0,0,0,85,16,11,6,88,8,0,2,80,2,3,3,7,Matches,10549b49
156,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,31,1989,23.0,1713,1560,153,27,0,158,12,37,0,0,0,0,1242,217,254,126,1354,79,126,3,1442,7,19,56,39,Matches,53cad200
157,Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,25,1996,21.5,775,759,16,14,1,168,16,6,0,0,0,0,544,74,157,51,640,44,2,4,623,2,6,24,21,Matches,bfd381b3
158,Carlos Bacca,co COL,FW,Granada,es La Liga,34,1986,5.7,109,101,8,0,1,38,0,3,0,0,0,0,67,18,24,6,82,7,1,3,71,0,3,6,7,Matches,09a9e921
159,Daniel Bachmann,at AUT,GK,Watford,eng Premier League,27,1994,12.0,357,234,123,36,0,19,8,0,0,0,0,0,115,16,226,20,261,0,0,44,211,2,14,4,1,Matches,1c0eea98
160,Loïc Bade,fr FRA,DF,Rennes,fr Ligue 1,21,2000,10.9,708,698,10,9,0,48,18,2,0,0,0,0,624,19,65,79,589,25,1,0,652,1,9,7,2,Matches,114bbdee
161,Milan Badelj,hr CRO,MF,Genoa,it Serie A,32,1989,31.6,1601,1555,46,43,1,264,47,10,0,0,0,0,1003,239,359,245,1221,84,3,9,1262,7,26,54,34,Matches,e8c930bb
162,Édgar Badía,es ESP,GK,Elche,es La Liga,29,1992,24.0,829,541,288,76,0,55,20,0,0,0,0,0,323,22,484,76,580,1,1,100,560,2,31,9,7,Matches,e4346678
163,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,20,2001,20.4,1347,1322,25,23,0,132,50,1,0,0,0,0,1070,109,168,1048,202,47,2,2,1205,1,20,21,8,Matches,06df8256
164,Youssouph Badji,sn SEN,FW,Brest,fr Ligue 1,19,2001,1.5,38,37,1,0,0,18,0,1,0,0,0,0,20,6,12,2,26,3,0,0,26,0,0,1,1,Matches,6a2b9aee
165,Miguel Baeza,es ESP,DF,Celta Vigo,es La Liga,21,2000,0.0,5,5,0,0,0,1,0,1,0,0,0,0,4,0,1,5,0,0,0,0,4,0,0,0,0,Matches,a98f3cbf
166,Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,17,2004,0.0,4,1,3,2,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,0,0,Matches,ad263695
167,Issa Bah,lu LUX,FW,Venezia,it Serie A,19,2002,0.1,6,6,0,0,0,3,0,0,0,0,0,0,5,0,1,1,4,0,0,0,5,0,0,1,0,Matches,956a78ea
168,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,29,1992,12.2,220,205,15,0,0,63,1,8,0,0,0,0,149,47,24,20,167,8,2,6,168,0,2,9,12,Matches,5046b7d4
169,Leon Bailey,jm JAM,FWMF,Aston Villa,eng Premier League,23,1997,8.5,224,206,18,1,0,39,11,21,12,11,1,0,130,42,52,153,54,5,4,1,149,0,4,7,15,Matches,3a233281
170,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,27,1994,2.4,80,76,4,4,0,10,2,0,0,0,0,0,56,6,18,16,52,7,0,1,64,0,1,2,2,Matches,a1232f4e
171,Dénys Bain,fr FRA,DF,Brest,fr Ligue 1,28,1993,2.0,82,78,4,4,0,5,4,0,0,0,0,0,66,4,12,42,38,0,0,0,79,0,0,0,0,Matches,5065d67d
172,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19,2001,5.7,185,126,59,15,0,12,3,0,0,0,0,0,96,4,85,9,133,0,0,39,130,1,7,0,0,Matches,be13e5a8
173,Nedim Bajrami,al ALB,MFFW,Empoli,it Serie A,22,1999,22.8,884,728,156,33,1,137,46,66,95,30,45,11,637,67,180,68,791,14,9,1,628,5,16,34,38,Matches,f42d6c13
174,Cédric Bakambu,cd COD,FW,Marseille,fr Ligue 1,30,1991,4.0,69,64,5,0,0,24,2,4,0,0,0,0,54,7,8,5,54,2,1,2,52,0,3,5,0,Matches,0af4dcf0
175,Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,fr Ligue 1,18,2002,3.4,131,127,4,4,0,19,2,0,0,0,0,0,81,18,32,26,96,8,0,0,93,0,9,2,4,Matches,ee95585f
176,Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,26,1994,5.6,312,310,2,2,1,36,10,1,0,0,0,0,235,42,35,54,222,19,0,2,276,0,2,4,2,Matches,59bf127b
177,Mitchel Bakker,nl NED,DF,Leverkusen,de Bundesliga,21,2000,20.2,1222,1042,180,15,0,153,21,38,0,0,0,0,825,229,168,893,127,27,165,0,1011,1,14,56,27,Matches,a8567629
178,Ridle Baku,de GER,DFFW,Wolfsburg,de Bundesliga,23,1998,27.2,1328,1109,219,20,2,171,38,68,5,1,0,0,779,277,272,179,888,44,194,3,1019,4,21,51,46,Matches,442b56fa
179,Dilane Bakwa,fr FRA,FWDF,Bordeaux,fr Ligue 1,18,2002,0.5,14,14,0,0,0,4,0,0,0,0,0,0,7,2,5,9,0,3,0,0,9,0,0,1,0,Matches,2b5a35e5
180,Tommaso Baldanzi,it ITA,FW,Empoli,it Serie A,18,2003,0.2,7,6,1,0,0,0,0,0,1,0,0,0,7,0,0,6,1,0,0,0,5,0,0,0,1,Matches,102e2599
181,Alejandro Balde,es ESP,DFFW,Barcelona,es La Liga,17,2003,2.1,152,146,6,2,0,10,0,3,0,0,0,0,137,8,7,136,10,1,4,0,140,0,0,1,2,Matches,5ccc9672
182,Ibrahima Baldé,fr FRA,FWMF,Lens,fr Ligue 1,18,2003,0.6,11,9,2,0,0,0,0,0,0,0,0,0,7,2,2,1,8,0,1,1,8,0,0,0,0,Matches,a30cb0d4
183,Keita Baldé,sn SEN,FWMF,Cagliari,it Serie A,26,1995,13.7,269,259,10,1,0,91,2,8,0,0,0,0,171,55,43,52,170,17,0,6,199,0,6,11,11,Matches,509a4ccb
184,Gareth Bale,wls WAL,FW,Real Madrid,es La Liga,32,1989,3.1,64,64,0,0,0,16,1,2,0,0,0,0,40,11,13,52,5,2,0,1,48,3,1,4,1,Matches,a58bb1e1
185,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,33,1988,22.5,1004,784,220,21,0,102,15,36,0,0,0,0,510,225,269,634,84,64,199,2,766,2,25,28,30,Matches,1fe67e86
186,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,22,1999,10.6,809,785,24,24,0,81,22,0,0,0,0,0,672,50,87,97,679,21,0,1,747,0,8,15,5,Matches,7c3ed041
187,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,29,1992,35.0,1796,1327,469,44,1,224,41,84,2,0,0,2,882,434,480,88,1195,62,423,2,1373,5,35,62,73,Matches,cee88597
188,Fodé Ballo-Touré,sn SEN,DF,Milan,it Serie A,24,1997,5.0,273,237,36,5,0,30,3,16,0,0,0,0,191,48,34,201,26,10,31,1,231,1,1,2,11,Matches,f449640d
189,Folarin Balogun,eng ENG,FW,Arsenal,eng Premier League,20,2001,0.8,8,8,0,0,0,3,0,0,0,0,0,0,4,3,1,1,6,1,0,0,4,0,0,2,0,Matches,31822f8c
190,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,31,1990,5.1,187,143,44,1,0,18,2,7,0,0,0,0,103,49,35,15,115,8,43,0,148,0,1,5,7,Matches,7fecbcdb
191,Jonathan Bamba,fr FRA,MFFW,Lille,fr Ligue 1,25,1996,27.0,1149,1017,132,31,0,189,50,53,72,27,32,2,831,132,186,111,970,18,28,8,868,7,17,67,44,Matches,b2bd0f6c
192,Patrick Bamford,eng ENG,FW,Leeds United,eng Premier League,27,1993,6.2,103,87,16,0,1,19,4,4,0,0,0,0,76,18,9,74,18,8,1,1,85,0,4,1,4,Matches,93feac6e
193,Filippo Bandinelli,it ITA,MF,Empoli,it Serie A,26,1995,21.7,756,729,27,7,2,128,26,50,6,0,2,0,528,85,143,582,133,17,12,2,572,7,18,27,29,Matches,d44360be
194,Mattia Bani,it ITA,DF,Genoa,it Serie A,27,1993,13.5,459,418,41,32,0,71,11,0,0,0,0,0,246,61,152,24,342,48,0,11,337,2,12,7,7,Matches,0821331c
195,Simon Banza,fr FRA,FW,Lens,fr Ligue 1,24,1996,1.4,29,27,2,0,0,9,2,0,0,0,0,0,20,3,6,7,16,1,0,1,20,1,0,1,1,Matches,be47b750
196,Shandon Baptiste,gd GRN,MF,Brentford,eng Premier League,23,1998,10.1,306,303,3,1,1,58,3,5,0,0,0,0,232,34,40,43,241,11,2,1,255,0,5,11,4,Matches,2886c9b5
197,Antonín Barák,cz CZE,FWMF,Hellas Verona,it Serie A,26,1994,26.0,1109,1093,16,3,2,300,14,17,0,0,0,0,826,160,123,863,147,49,6,6,890,7,17,46,40,Matches,01efac19
198,Barbero,es ESP,MFFW,Osasuna,es La Liga,22,1998,0.2,13,12,1,0,0,6,0,1,0,0,0,0,9,1,3,2,8,1,0,0,6,0,0,0,0,Matches,981c1863
199,Danilo Barbosa,br BRA,DF,Nice,fr Ligue 1,25,1996,1.0,41,40,1,1,0,5,1,0,0,0,0,0,30,3,8,5,32,1,0,0,33,0,0,0,1,Matches,0557ff4f
200,Barcia,es ESP,DF,Granada,es La Liga,20,2000,0.8,22,22,0,0,0,6,0,0,0,0,0,0,10,0,12,0,16,5,0,0,8,0,4,0,0,Matches,0c717ae6
201,Bradley Barcola,fr FRA,FWMF,Lyon,fr Ligue 1,18,2002,2.9,87,85,2,0,0,22,0,8,0,0,0,0,64,10,13,13,62,5,1,2,62,0,0,5,6,Matches,a0d55a09
202,Melvin Bard,fr FRA,DF,Nice,fr Ligue 1,20,2000,28.8,1866,1560,306,36,1,191,20,72,0,0,0,0,1199,326,341,1435,97,44,270,1,1519,3,51,64,54,Matches,1ddbc7ca
203,Enis Bardhi,mk MKD,MFFW,Levante,es La Liga,26,1995,18.9,750,648,102,35,3,138,45,38,49,17,20,0,481,90,179,109,599,20,15,2,531,6,13,33,32,Matches,cac2537b
204,Francesco Bardi,it ITA,GK,Bologna,it Serie A,29,1992,2.0,50,31,19,6,0,4,0,0,0,0,0,0,25,2,23,5,38,0,0,6,34,1,1,0,0,Matches,0acda699
205,Keidi Bare,al ALB,MF,Espanyol,es La Liga,23,1997,16.5,872,840,32,29,2,142,26,7,0,0,0,0,662,91,119,62,745,39,2,4,750,4,5,29,13,Matches,03049c8c
206,Nicolò Barella,it ITA,MF,Inter,it Serie A,24,1997,32.4,1848,1816,32,17,6,276,41,67,2,1,0,0,1382,227,239,215,1566,25,12,10,1544,8,18,59,42,Matches,6928979a
207,Kike Barja,es ESP,MFFW,Osasuna,es La Liga,24,1997,9.6,382,370,12,1,3,81,15,40,2,0,0,0,225,69,88,127,224,10,9,2,263,2,11,14,21,Matches,aad53e64
208,Ross Barkley,eng ENG,MF,Chelsea,eng Premier League,27,1993,2.0,127,120,7,0,3,32,4,1,7,0,5,1,99,11,17,15,103,3,0,0,105,0,1,5,4,Matches,3a24769f
209,Aymen Barkok,ma MAR,MFFW,Eint Frankfurt,de Bundesliga,23,1998,1.8,71,59,12,0,0,11,3,0,2,1,1,0,44,8,19,7,43,5,10,2,52,0,3,4,2,Matches,a2a85828
210,Ashley Barnes,eng ENG,FW,Burnley,eng Premier League,31,1989,9.0,199,196,3,0,0,90,4,4,0,0,0,0,113,46,40,28,113,18,0,3,130,6,10,6,8,Matches,2691c772
211,Harvey Barnes,eng ENG,FWMF,Leicester City,eng Premier League,23,1997,23.3,751,744,7,0,3,172,14,40,0,0,0,0,533,111,107,82,614,26,5,4,557,2,12,38,33,Matches,3ea50f67
212,Antonio Barragán,es ESP,DF,Elche,es La Liga,34,1987,11.3,537,422,115,33,0,44,18,17,3,0,2,0,313,100,124,52,382,19,79,0,426,0,7,12,10,Matches,487d9b09
213,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,21,2000,19.9,546,541,5,4,2,127,4,7,1,0,0,0,366,91,89,76,384,57,0,11,399,5,11,19,23,Matches,00242b75
214,Ander Barrenetxea,es ESP,FWMF,Real Sociedad,es La Liga,19,2001,6.1,187,185,2,1,1,40,3,8,0,0,0,0,149,16,22,27,151,4,1,0,136,0,3,12,12,Matches,200e89e1
215,Jacob Barrett Laursen,dk DEN,DF,Arminia,de Bundesliga,26,1994,18.1,790,580,210,25,0,120,19,27,17,8,2,0,394,183,213,408,150,42,168,7,563,0,20,25,46,Matches,c0d3bd23
216,Musa Barrow,gm GAM,FWMF,Bologna,it Serie A,22,1998,23.7,939,843,96,26,4,172,64,53,58,36,7,2,639,113,187,96,785,18,9,10,714,3,14,29,25,Matches,e5bf73f3
217,Abdourahmane Barry,fr FRA,DF,Greuther Fürth,de Bundesliga,21,2000,2.3,115,93,22,4,0,18,7,6,0,0,0,0,59,27,29,15,72,4,17,1,88,0,2,3,5,Matches,8df328f4
218,Marc Bartra,es ESP,DF,Betis,es La Liga,30,1991,22.1,1108,1073,35,32,1,109,54,0,0,0,0,0,760,73,275,46,961,58,2,4,919,8,27,22,9,Matches,b742cc0d
219,Daniele Baselli,it ITA,MFFW,Torino,it Serie A,29,1992,1.7,87,80,7,3,0,11,1,3,2,0,2,0,58,13,16,6,72,7,0,1,64,0,3,4,3,Matches,ea06dd97
220,Daniele Baselli,it ITA,MF,Cagliari,it Serie A,29,1992,3.2,150,130,20,9,1,22,13,5,10,6,3,1,94,20,36,20,122,7,1,0,111,0,1,6,5,Matches,ea06dd97
221,Toma Bašić,hr CRO,MF,Lazio,it Serie A,24,1996,10.9,453,440,13,9,1,59,4,10,0,0,0,0,362,44,47,363,63,19,0,1,383,0,5,12,12,Matches,80556f08
222,Toma Bašić,hr CRO,MF,Bordeaux,fr Ligue 1,24,1996,2.3,101,89,12,3,0,16,5,7,9,5,3,1,61,14,26,89,9,3,0,0,74,0,2,4,3,Matches,80556f08
223,Amine Bassi,fr FRA,MF,Metz,fr Ligue 1,23,1997,2.0,119,100,19,9,0,9,4,5,9,3,3,1,73,19,27,16,100,2,1,0,86,0,0,6,6,Matches,ced1d98f
224,Álvaro Bastida,es ESP,MF,Cádiz,es La Liga,17,2004,2.2,53,52,1,0,0,10,2,0,0,0,0,0,33,7,13,4,46,2,0,0,42,0,0,1,2,Matches,42a028c5
225,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,22,1999,25.7,1798,1684,114,55,2,187,66,21,2,0,0,0,1378,161,259,1475,201,48,29,5,1601,6,18,29,31,Matches,75b86fb3
226,Simone Bastoni,it ITA,MFDF,Spezia,it Serie A,24,1996,25.4,1210,1012,198,58,1,195,55,59,37,13,20,0,642,241,327,865,190,25,103,4,888,7,33,40,46,Matches,1ac232b8
227,Lewis Bate,eng ENG,MF,Leeds United,eng Premier League,18,2002,1.6,54,54,0,0,0,11,2,0,0,0,0,0,38,9,7,41,10,2,0,0,41,0,1,5,0,Matches,cd4256d3
228,Rodrigo Battaglia,ar ARG,MF,Mallorca,es La Liga,30,1991,13.1,526,498,28,27,0,103,7,0,0,0,0,0,362,69,95,68,376,54,0,1,435,3,8,8,13,Matches,d637fc22
229,Maximilian Bauer,de GER,DF,Greuther Fürth,de Bundesliga,21,2000,18.8,869,829,40,36,2,126,29,0,0,0,0,0,656,62,151,105,683,48,2,0,721,3,17,15,10,Matches,44a20f0c
230,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,31,1990,33.0,1521,1239,282,71,0,146,34,0,0,0,0,0,1016,48,457,270,1035,1,0,170,1210,5,41,11,5,Matches,47064058
231,Timo Baumgartl,de GER,DF,Union Berlin,de Bundesliga,25,1996,24.1,1167,1109,58,51,1,143,39,12,0,0,0,0,815,99,253,241,815,55,4,5,937,6,30,29,10,Matches,bd7d2e6d
232,Julian Baumgartlinger,at AUT,MF,Leverkusen,de Bundesliga,33,1988,1.0,66,65,1,1,0,5,1,1,0,0,0,0,44,13,9,5,54,6,0,0,58,0,2,0,1,Matches,69374ff5
233,Christoph Baumgartner,at AUT,MFFW,Hoffenheim,de Bundesliga,21,1999,21.0,753,723,30,7,2,189,19,28,2,1,0,0,463,138,152,96,551,39,18,13,542,1,24,39,30,Matches,437f2b00
234,Jon Bautista,es ESP,FWMF,Real Sociedad,es La Liga,26,1995,0.5,8,7,1,0,0,2,0,0,0,0,0,0,6,2,0,2,4,1,0,0,6,0,1,0,0,Matches,debc6b55
235,Mohamed Bayo,gn GUI,FW,Clermont Foot,fr Ligue 1,23,1998,26.8,544,478,66,0,1,149,4,9,0,0,0,0,390,83,71,60,429,13,0,6,398,3,14,36,24,Matches,01870104
236,Paul Baysse,fr FRA,DF,Bordeaux,fr Ligue 1,33,1988,0.1,4,4,0,0,0,1,0,0,0,0,0,0,1,1,2,0,2,1,0,0,2,0,1,0,0,Matches,2515040a
237,Noah Joel Sarenren Bazee,ng NGA,MFFW,Augsburg,de Bundesliga,24,1996,2.7,51,47,4,0,0,18,3,10,0,0,0,0,31,11,9,6,36,3,4,0,31,0,3,2,6,Matches,fbbc8e15
238,Bebé,cv CPV,FWMF,Rayo Vallecano,es La Liga,31,1990,9.6,342,300,42,18,0,94,30,46,20,10,7,2,205,46,91,74,241,9,3,2,211,1,15,14,20,Matches,d8712bf9
239,Ihlas Bebou,tg TOG,FWDF,Hoffenheim,de Bundesliga,27,1994,23.2,631,563,68,1,0,138,12,47,0,0,0,0,357,169,105,48,444,30,58,17,456,0,13,35,35,Matches,a53b661f
240,Rodrigo Becão,br BRA,DF,Udinese,it Serie A,25,1996,34.8,1398,1245,153,48,0,144,21,12,0,0,0,0,1000,124,274,87,1114,40,104,13,1114,1,28,26,28,Matches,19e4eab9
241,Mads Bech Sørensen,dk DEN,DF,Brentford,eng Premier League,22,1999,9.3,500,425,75,4,0,37,3,19,0,0,0,0,326,44,130,331,61,28,71,0,387,1,7,12,12,Matches,30db8574
242,Sheraldo Becker,sr SUR,FWMF,Union Berlin,de Bundesliga,26,1995,19.5,610,601,9,1,2,126,25,102,1,0,0,0,356,136,118,73,494,25,2,5,385,3,17,22,47,Matches,8eb55dbb
243,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,25,1996,29.2,1431,1349,82,42,0,184,33,6,0,0,0,0,974,121,336,202,1029,96,39,4,1185,1,32,17,10,Matches,4115ce4e
244,Donny van de Beek,nl NED,MF,Everton,eng Premier League,24,1997,5.4,241,235,6,1,0,38,2,6,1,1,0,0,193,17,31,33,191,11,1,0,202,1,4,8,4,Matches,50dc94ce
245,Donny van de Beek,nl NED,MF,Manchester Utd,eng Premier League,24,1997,0.8,32,32,0,0,1,8,0,0,0,0,0,0,27,3,2,4,26,0,0,0,25,1,0,2,1,Matches,50dc94ce
246,Asmir Begović,ba BIH,GK,Everton,eng Premier League,34,1987,3.0,84,45,39,8,0,4,1,0,0,0,0,0,11,4,69,3,64,1,0,4,35,0,4,1,3,Matches,7b4de647
247,Valon Behrami,ch SUI,MF,Genoa,it Serie A,36,1985,3.5,70,66,4,2,1,13,1,3,0,0,0,0,47,10,13,6,57,5,2,0,51,0,1,4,2,Matches,d3d758d8
248,Kevin Behrens,de GER,FW,Union Berlin,de Bundesliga,30,1991,5.5,184,180,4,0,2,78,0,3,0,0,0,0,94,45,45,27,84,19,0,9,127,1,5,5,6,Matches,30ae134d
249,Youcef Belaïli,dz ALG,MFFW,Brest,fr Ligue 1,29,1992,9.2,390,330,60,18,3,59,22,19,33,21,5,2,224,50,116,25,338,9,9,4,274,1,7,26,17,Matches,1a248246
250,Vid Belec,si SVN,GK,Salernitana,it Serie A,31,1990,21.5,579,334,245,65,0,22,7,0,0,0,0,0,193,28,358,34,413,0,1,77,363,2,11,4,3,Matches,4f8ce0e1
251,Ishak Belfodil,dz ALG,FW,Hertha BSC,de Bundesliga,29,1992,18.2,471,436,35,1,0,134,2,18,0,0,0,0,293,99,79,17,357,43,2,15,331,2,6,24,17,Matches,ff182fdc
252,Haris Belkebla,dz ALG,MF,Brest,fr Ligue 1,27,1994,25.7,1008,972,36,21,0,169,31,11,0,0,0,0,762,94,152,146,792,28,5,11,847,3,16,32,18,Matches,2b1bed19
253,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,29,1991,31.8,1479,1438,41,34,0,225,15,11,0,0,0,0,942,165,372,171,1099,109,7,11,1166,4,29,38,25,Matches,857a5abe
254,Armel Bella Kotchap,de GER,DF,Bochum,de Bundesliga,19,2001,19.6,743,720,23,13,2,95,25,2,0,0,0,0,473,76,194,152,492,51,10,6,585,1,31,12,8,Matches,a39d11bc
255,Raoul Bellanova,it ITA,DF,Cagliari,it Serie A,21,2000,27.7,940,840,100,6,0,138,38,84,1,1,0,0,559,159,222,82,710,38,92,3,678,1,15,40,36,Matches,e3756e72
256,Karim Bellarabi,de GER,FWDF,Leverkusen,de Bundesliga,31,1990,7.6,267,256,11,0,0,38,4,20,3,0,2,0,190,43,34,27,225,4,8,2,199,0,3,20,8,Matches,bee0bab1
