,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
974,Alejandro Garnacho,es ESP,FW,Manchester Utd,eng Premier League,17,2004,0.1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,Matches,7aa8adfe
975,Mario Gaspar,es ESP,DF,Villarreal,es La Liga,30,1990,6.9,1,0,0,9,2,0,8,9,10,0,0,0,46,14,8,63.6,Matches,fb5d47b3
976,Djeidi Gassama,fr FRA,FW,Paris S-G,fr Ligue 1,17,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,bbdb2789
977,Johan Gastien,fr FRA,MF,Clermont Foot,fr Ligue 1,33,1988,30.5,8,2,0,33,39,0,26,75,44,0,1,1,323,21,30,41.2,Matches,868eaba0
978,Dwight Gayle,eng ENG,FW,Newcastle Utd,eng Premier League,30,1990,0.4,1,0,0,2,2,0,0,1,0,0,0,0,1,1,3,25.0,Matches,e58a03c6
979,Jean-Philippe Gbamin,ci CIV,MF,Everton,eng Premier League,25,1995,0.7,0,0,0,0,1,0,0,0,1,0,0,0,7,1,0,100.0,Matches,6bd603db
980,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,30,1990,38.0,0,0,0,0,1,0,0,0,0,0,0,0,113,0,0,,Matches,7ba6d84e
981,Linus Gechter,de GER,DF,Hertha BSC,de Bundesliga,17,2004,8.0,0,0,0,6,0,0,2,18,6,0,1,0,68,12,14,46.2,Matches,ad2b068c
982,Dennis Geiger,de GER,MF,Hoffenheim,de Bundesliga,23,1998,15.3,6,0,0,48,23,0,12,28,23,0,1,0,147,3,14,17.6,Matches,37f606f0
983,Joe Gelhardt,eng ENG,FWMF,Leeds United,eng Premier League,19,2002,8.3,4,0,0,21,28,5,5,4,6,2,0,0,41,8,31,20.5,Matches,01962d0d
984,Luca Gemello,it ITA,GK,Torino,it Serie A,21,2000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches,53e494ec
985,Yannick Gerhardt,de GER,MFDF,Wolfsburg,de Bundesliga,27,1994,17.5,2,0,0,18,24,2,27,31,30,0,0,0,181,27,32,45.8,Matches,62ab9184
986,Valère Germain,fr FRA,FW,Montpellier,fr Ligue 1,31,1990,21.9,3,0,0,27,29,7,13,15,21,0,0,0,76,57,101,36.1,Matches,ea0ff634
987,Gerson,br BRA,MFFW,Marseille,fr Ligue 1,24,1997,28.3,3,0,0,52,71,2,28,25,35,2,0,0,166,22,24,47.8,Matches,8827bf46
988,Willem Geubbels,fr FRA,FWMF,Nantes,fr Ligue 1,19,2001,6.0,1,0,0,11,4,4,7,6,4,0,0,0,19,9,19,32.1,Matches,9836e892
989,Hamadi Al Ghaddioui,ma MAR,FW,Stuttgart,de Bundesliga,30,1990,5.5,2,0,0,15,7,3,3,0,5,0,0,0,21,15,17,46.9,Matches,5723931e
990,Ismaël Gharbi,tn TUN,FW,Paris S-G,fr Ligue 1,17,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,5b3cfa12
991,Anwar El Ghazi,nl NED,FW,Everton,eng Premier League,26,1995,0.1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0.0,Matches,ffa90327
992,Anwar El Ghazi,nl NED,FWMF,Aston Villa,eng Premier League,26,1995,4.3,2,0,0,9,7,2,11,2,3,0,0,0,27,11,9,55.0,Matches,ffa90327
993,Lamine Ghezali,fr FRA,DF,Saint-Étienne,fr Ligue 1,22,1999,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches,ce84946a
994,Paolo Ghiglione,it ITA,DF,Genoa,it Serie A,24,1997,6.7,3,0,0,12,4,0,22,13,8,0,0,0,51,6,14,30.0,Matches,71dc23da
995,Saman Ghoddos,ir IRN,DFMF,Brentford,eng Premier League,27,1993,6.0,2,0,0,13,12,0,14,7,8,1,0,0,54,8,15,34.8,Matches,f7b1d4e0
996,Faouzi Ghoulam,dz ALG,DF,Napoli,it Serie A,30,1991,3.7,1,0,0,4,3,0,17,2,2,0,0,0,27,5,6,45.5,Matches,c5adc293
997,Dimitris Giannoulis,gr GRE,DF,Norwich City,eng Premier League,25,1995,13.0,2,0,0,18,26,0,30,36,23,0,0,0,119,10,9,52.6,Matches,112c495e
998,Morgan Gibbs-White,eng ENG,FWMF,Wolves,eng Premier League,21,2000,0.1,1,0,0,2,1,0,0,0,0,0,0,0,3,0,2,0.0,Matches,32f60ed8
999,Ben Gibson,eng ENG,DF,Norwich City,eng Premier League,28,1993,27.7,5,1,1,14,10,0,0,48,17,0,2,0,200,67,33,67.0,Matches,bcfb0142
1000,Niko Gießelmann,de GER,DF,Union Berlin,de Bundesliga,29,1991,23.1,3,0,0,25,34,1,68,22,10,0,0,0,143,33,30,52.4,Matches,7242b495
1001,Rafał Gikiewicz,pl POL,GK,Augsburg,de Bundesliga,33,1987,34.0,0,0,0,0,6,0,0,0,0,0,0,0,188,0,0,,Matches,17376543
1002,Óscar Gil,es ESP,DF,Espanyol,es La Liga,23,1998,18.8,7,0,0,36,28,2,24,32,30,0,0,0,104,7,25,21.9,Matches,6652cf96
1003,Mario Gila,es ESP,DF,Real Madrid,es La Liga,20,2000,0.3,0,0,0,0,0,0,0,2,1,0,0,0,4,0,0,,Matches,9c435456
1004,Billy Gilmour,sct SCO,MF,Norwich City,eng Premier League,20,2001,20.6,2,0,0,45,21,1,19,33,22,0,1,0,177,12,26,31.6,Matches,df10e27c
1005,Daniel Ginczek,de GER,MFFW,Wolfsburg,de Bundesliga,30,1991,0.1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0,Matches,e5f63987
1006,Matthias Ginter,de GER,DF,M'Gladbach,de Bundesliga,27,1994,26.2,2,0,0,10,29,2,13,46,32,0,0,0,242,90,49,64.7,Matches,f521b80a
1007,Nicholas Gioacchini,us USA,MFFW,Montpellier,fr Ligue 1,21,2000,5.5,0,0,0,4,17,3,6,10,7,1,0,0,42,20,21,48.8,Matches,79ab7593
1008,Sebastian Giovinco,it ITA,MF,Sampdoria,it Serie A,34,1987,0.4,0,0,0,2,0,0,0,0,0,0,0,0,4,0,1,0.0,Matches,2b7c18ae
1009,Jimmy Giraudon,fr FRA,DF,Troyes,fr Ligue 1,29,1992,18.0,5,1,1,15,6,0,2,62,7,0,1,1,134,16,11,59.3,Matches,6ba71da5
1010,Andrei Girotto,br BRA,DFMF,Nantes,fr Ligue 1,29,1992,35.0,8,0,0,59,28,0,6,83,51,0,0,0,393,109,79,58.0,Matches,3befc2b6
1011,Olivier Giroud,fr FRA,FW,Milan,it Serie A,34,1986,21.0,4,0,0,34,25,11,4,4,11,0,0,0,68,98,69,58.7,Matches,16ceb862
1012,Serge Gnabry,de GER,FWDF,Bayern Munich,de Bundesliga,26,1995,24.3,0,0,0,13,24,15,77,26,34,0,0,0,177,6,34,15.0,Matches,88e357ef
1013,Ben Godfrey,eng ENG,DF,Everton,eng Premier League,23,1998,22.5,6,0,0,17,14,0,14,48,26,0,0,0,161,51,36,58.6,Matches,9f7c837d
1014,Diego Godín,uy URU,DF,Cagliari,it Serie A,35,1986,9.1,3,0,0,14,3,0,3,17,13,0,1,0,86,27,11,71.1,Matches,fc4f85b1
1015,Edoardo Goldaniga,it ITA,DF,Cagliari,it Serie A,27,1993,10.4,3,0,0,26,16,1,8,31,12,0,0,0,109,33,22,60.0,Matches,4b029b31
1016,Edoardo Goldaniga,it ITA,MFDF,Sassuolo,it Serie A,27,1993,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,4b029b31
1017,Aleksandr Golovin,ru RUS,FWMF,Monaco,fr Ligue 1,25,1996,16.7,4,1,0,27,23,2,41,22,18,0,0,0,116,9,23,28.1,Matches,3708e9fa
1018,André Gomes,pt POR,MF,Everton,eng Premier League,28,1993,6.9,3,0,0,33,8,0,3,11,9,0,0,0,82,6,13,31.6,Matches,1961b2aa
1019,Angel Gomes,eng ENG,MFFW,Lille,fr Ligue 1,20,2000,10.6,3,0,0,15,16,0,11,6,13,0,0,0,66,2,21,8.7,Matches,645a3363
1020,Toti Gomes,pt POR,DF,Wolves,eng Premier League,22,1999,4.0,1,0,0,2,3,1,1,10,3,0,0,0,42,15,11,57.7,Matches,f0caab96
1021,Dani Gómez,es ESP,FW,Levante,es La Liga,23,1998,11.8,1,0,0,19,24,11,8,4,7,1,0,0,47,7,46,13.2,Matches,0e5ddc7c
1022,Joe Gomez,eng ENG,DF,Liverpool,eng Premier League,24,1997,3.7,2,0,0,5,3,0,17,12,4,0,0,0,44,13,6,68.4,Matches,7a11550b
1023,Maxi Gómez,uy URU,FW,Valencia,es La Liga,24,1996,21.7,7,1,1,55,66,10,18,4,6,1,0,0,73,88,87,50.3,Matches,4c2e9442
1024,Moi Gómez,es ESP,MFFW,Villarreal,es La Liga,27,1994,14.3,2,0,0,25,17,1,19,16,10,0,0,0,88,11,17,39.3,Matches,5a626448
1025,Papu Gómez,ar ARG,MFFW,Sevilla,es La Liga,33,1988,19.8,4,0,0,26,51,1,38,18,17,0,0,0,116,12,27,30.8,Matches,6e4df551
1026,Sergi Gómez,es ESP,DF,Espanyol,es La Liga,29,1992,30.2,1,1,0,15,4,0,1,48,15,0,0,0,169,47,52,47.5,Matches,bc6f5f06
1027,Alfred Gomis,sn SEN,GK,Rennes,fr Ligue 1,27,1993,25.0,1,0,0,1,4,0,0,0,0,0,1,0,143,0,0,,Matches,cecbce23
1028,Maxime Gonalons,fr FRA,MF,Granada,es La Liga,32,1989,17.2,6,0,0,35,36,0,4,28,34,0,0,0,178,38,18,67.9,Matches,b8c1de25
1029,Vagner Gonçalves,cv CPV,MFFW,Metz,fr Ligue 1,25,1996,1.0,1,0,0,4,2,0,2,0,0,0,0,0,5,1,2,33.3,Matches,743fd71f
1030,Cedric Gondo,ci CIV,FW,Salernitana,it Serie A,24,1996,7.8,1,0,0,18,35,3,9,5,2,1,0,0,45,23,40,36.5,Matches,ff37d2ef
1031,Álvaro González,es ESP,DF,Marseille,fr Ligue 1,31,1990,5.0,1,0,0,7,7,0,0,3,0,0,0,0,37,3,12,20.0,Matches,42dcf26d
1032,Diego González,es ESP,DF,Elche,es La Liga,26,1995,19.9,3,1,0,29,3,0,0,37,15,0,1,0,135,34,34,50.0,Matches,4ac7608e
1033,Édgar González,es ESP,DF,Betis,es La Liga,24,1997,16.3,6,0,0,23,10,0,0,40,16,0,0,0,128,38,34,52.8,Matches,49d028db
1034,Giovanni González,uy URU,DF,Mallorca,es La Liga,26,1994,4.1,1,0,0,3,5,0,8,8,9,0,0,0,35,10,12,45.5,Matches,1fc474ae
1035,Nicolás González,es ESP,MF,Barcelona,es La Liga,19,2002,12.4,6,0,0,41,29,1,3,9,26,0,0,0,93,8,12,40.0,Matches,2c56a792
1036,Nicolás González,ar ARG,FW,Fiorentina,it Serie A,23,1998,26.2,4,1,1,34,113,5,55,33,20,3,0,0,120,82,66,55.4,Matches,2374aaca
1037,Peter González,do DOM,MFDF,Real Madrid,es La Liga,19,2002,0.3,0,0,0,0,2,0,1,1,1,0,0,0,3,0,1,0.0,Matches,1ccd3dae
1038,Roberto González,es ESP,FWMF,Betis,es La Liga,20,2001,1.5,0,0,0,2,4,0,2,2,2,0,0,0,4,1,1,50.0,Matches,56545648
1039,Charlie Goode,eng ENG,DF,Brentford,eng Premier League,25,1995,5.0,3,0,0,7,8,0,14,5,5,0,1,0,58,19,9,67.9,Matches,7aee4dd3
1040,Anthony Gordon,eng ENG,MFFW,Everton,eng Premier League,20,2001,25.4,4,0,0,30,69,8,71,36,36,2,0,0,166,18,47,27.7,Matches,2bd83368
1041,Kaide Gordon,eng ENG,FW,Liverpool,eng Premier League,16,2004,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches,19a9cb70
1042,Leon Goretzka,de GER,MF,Bayern Munich,de Bundesliga,26,1995,15.5,0,0,0,14,12,1,4,33,19,0,0,0,164,34,24,58.6,Matches,cc86b9a3
1043,Gori,es ESP,MF,Espanyol,es La Liga,19,2002,0.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches,f3451c66
1044,Andoni Gorosabel,es ESP,DF,Real Sociedad,es La Liga,24,1996,25.4,4,0,0,28,24,0,45,25,29,0,0,0,208,36,37,49.3,Matches,6f5f82c0
1045,Robin Gosens,de GER,DF,Atalanta,it Serie A,27,1994,5.1,2,0,0,3,7,1,2,11,3,1,0,0,33,9,5,64.3,Matches,2d970560
1046,Robin Gosens,de GER,DF,Inter,it Serie A,27,1994,1.9,1,0,0,1,3,2,9,2,2,0,0,0,19,4,2,66.7,Matches,2d970560
1047,Dan Gosling,eng ENG,MF,Watford,eng Premier League,31,1990,1.8,0,0,0,3,6,0,1,1,1,0,0,0,20,5,3,62.5,Matches,7fec31a0
1048,Amine Gouiri,fr FRA,FWMF,Nice,fr Ligue 1,21,2000,30.6,3,0,0,33,37,6,36,11,15,1,0,0,146,17,28,37.8,Matches,aad56ca3
1049,Lucas Gourna-Douath,fr FRA,MF,Saint-Étienne,fr Ligue 1,17,2003,20.0,7,0,0,40,28,0,8,27,37,0,1,0,225,18,21,46.2,Matches,3cd7820a
1050,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,de Bundesliga,30,1991,28.6,9,0,0,36,7,0,8,76,40,0,2,0,307,59,48,55.1,Matches,1025db8e
1051,Jonathan Gradit,fr FRA,DF,Lens,fr Ligue 1,28,1992,34.1,7,0,0,40,41,0,8,88,32,0,0,0,296,67,45,59.8,Matches,06c48679
1052,Jens Grahl,de GER,GK,Eint Frankfurt,de Bundesliga,32,1988,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches,f26dee6b
1053,Alberto Grassi,it ITA,MF,Cagliari,it Serie A,26,1995,24.2,6,1,1,32,65,1,1,77,25,0,0,0,304,64,35,64.6,Matches,6cc97b6a
1054,Jaume Grau,es ESP,MF,Osasuna,es La Liga,24,1997,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0.0,Matches,fc3d2006
1055,Andrew Gravillon,gp GLP,DF,Reims,fr Ligue 1,23,1998,23.7,9,2,2,37,21,0,11,52,21,0,1,0,146,31,20,60.8,Matches,49136c42
1056,Demarai Gray,eng ENG,MFFW,Everton,eng Premier League,25,1996,26.0,3,0,0,14,45,3,57,16,19,0,0,0,142,6,53,10.2,Matches,4468ec10
1057,Adrian Grbić,at AUT,FWMF,Lorient,fr Ligue 1,24,1996,5.8,0,0,0,6,10,1,2,3,3,0,0,0,23,15,21,41.7,Matches,4a987ffa
1058,Ivo Grbić,hr CRO,GK,Lille,fr Ligue 1,25,1996,21.0,3,0,0,0,9,0,0,0,0,0,0,0,74,0,0,,Matches,3f034750
1059,Jack Grealish,eng ENG,FW,Manchester City,eng Premier League,25,1995,21.3,3,0,0,18,65,5,36,16,15,0,0,0,106,16,30,34.8,Matches,b0b4fd3e
1060,Etienne Green,eng ENG,GK,Saint-Étienne,fr Ligue 1,21,2000,13.3,1,1,0,1,1,0,0,0,0,0,1,0,63,0,0,,Matches,667b65da
1061,Julian Green,us USA,MF,Greuther Fürth,de Bundesliga,26,1995,11.7,2,0,0,16,41,0,21,15,9,0,0,0,88,6,22,21.4,Matches,ad1d6fa4
1062,Mason Greenwood,eng ENG,FWMF,Manchester Utd,eng Premier League,19,2001,14.1,1,0,0,21,22,3,25,4,8,0,0,0,81,6,9,40.0,Matches,58eee997
1063,Sam Greenwood,eng ENG,MFFW,Leeds United,eng Premier League,19,2002,2.6,0,0,0,7,1,1,4,2,2,0,0,0,24,2,4,33.3,Matches,f3354c07
1064,Michael Gregoritsch,at AUT,FWMF,Augsburg,de Bundesliga,27,1994,15.5,3,0,0,18,17,5,12,11,9,0,0,0,96,95,53,64.2,Matches,8e235926
1065,Dominik Greif,sk SVK,GK,Mallorca,es La Liga,24,1997,1.0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,Matches,30061f53
1066,Clément Grenier,fr FRA,MF,Mallorca,es La Liga,30,1991,0.7,1,0,0,2,0,0,2,0,0,0,0,0,10,2,3,40.0,Matches,8b298f56
1067,Sebastian Griesbeck,de GER,MF,Union Berlin,de Bundesliga,30,1990,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,Matches,a8db7ebb
1068,Sebastian Griesbeck,de GER,DFMF,Greuther Fürth,de Bundesliga,30,1990,27.1,7,0,0,37,21,0,0,62,36,0,1,2,243,65,51,56.0,Matches,a8db7ebb
1069,Antoine Griezmann,fr FRA,FWMF,Atlético Madrid,es La Liga,30,1991,18.8,3,0,0,19,33,10,17,18,20,0,0,0,99,35,50,41.2,Matches,df69b544
1070,Antoine Griezmann,fr FRA,FW,Barcelona,es La Liga,30,1991,2.9,0,0,0,2,5,0,0,6,6,0,0,0,9,4,4,50.0,Matches,df69b544
1071,Vincenzo Grifo,it ITA,MFFW,Freiburg,de Bundesliga,28,1993,30.8,0,0,0,13,35,1,74,32,19,0,0,0,230,23,25,47.9,Matches,54e4866f
1072,Lennart Grill,de GER,GK,Leverkusen,de Bundesliga,22,1999,1.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches,37998008
1073,Florian Grillitsch,at AUT,DFMF,Hoffenheim,de Bundesliga,25,1995,16.6,7,0,0,16,26,0,8,40,27,0,1,0,173,30,26,53.6,Matches,ffbbc83b
1074,Arnaut Groeneveld,nl NED,FW,Villarreal,es La Liga,24,1997,16.4,1,0,0,3,19,17,33,2,3,0,0,0,67,2,14,12.5,Matches,f08490a6
1075,Pascal Groß,de GER,MFDF,Brighton,eng Premier League,30,1991,22.6,1,0,0,19,11,4,66,16,21,0,0,0,184,18,30,37.5,Matches,8aec0537
1076,Carlos Gruezo,ec ECU,MF,Augsburg,de Bundesliga,26,1995,10.8,7,0,0,35,5,0,4,22,17,0,0,0,94,13,22,37.1,Matches,f2dd9a21
1077,Vicente Guaita,es ESP,GK,Crystal Palace,eng Premier League,34,1987,29.5,2,0,0,1,2,0,0,0,0,0,1,0,148,0,0,,Matches,ab13a5aa
1078,Andrés Guardado,mx MEX,MF,Betis,es La Liga,34,1986,15.5,4,0,0,25,24,0,4,27,22,0,1,0,160,20,27,42.6,Matches,ef322658
1079,Sergi Guardiola,es ESP,FW,Rayo Vallecano,es La Liga,30,1991,19.0,3,0,0,30,33,14,15,11,14,1,0,0,81,32,62,34.0,Matches,32974271
1080,Nemanja Gudelj,rs SRB,MFDF,Sevilla,es La Liga,29,1991,11.6,5,0,0,18,12,0,1,18,16,0,0,0,120,36,14,72.0,Matches,0076ab7f
1081,Albert Guðmundsson,is ISL,FWMF,Genoa,it Serie A,24,1997,6.7,3,0,0,18,9,3,20,6,5,0,0,0,44,5,11,31.3,Matches,b79858d5
1082,Gabriel Gudmundsson,se SWE,DFMF,Lille,fr Ligue 1,22,1999,14.9,3,0,0,29,19,5,43,24,24,0,0,0,121,19,21,47.5,Matches,d5d22a58
1083,Noah Guede-Nadje,fr FRA,FW,Angers,fr Ligue 1,17,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches,94b442c0
1084,Gonçalo Guedes,pt POR,FWMF,Valencia,es La Liga,24,1996,29.0,3,0,0,39,88,5,70,19,20,1,0,0,155,17,40,29.8,Matches,e6bc67d7
1085,Marc Guéhi,eng ENG,DF,Crystal Palace,eng Premier League,21,2000,35.8,4,0,0,19,37,0,2,58,22,0,1,0,340,85,58,59.4,Matches,d0706b27
1086,Mattéo Guendouzi,fr FRA,MF,Marseille,fr Ligue 1,22,1999,35.0,6,0,0,30,84,0,31,25,34,2,0,0,248,29,33,46.8,Matches,5ea8ef20
1087,Yanis Guermouche,fr FRA,MFFW,Montpellier,fr Ligue 1,20,2001,0.1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,,Matches,642f9f79
1088,Raphaël Guerreiro,pt POR,DF,Dortmund,de Bundesliga,27,1993,19.9,1,0,0,13,8,1,27,38,30,0,0,0,170,8,13,38.1,Matches,048a1cbc
1089,Evann Guessand,fr FRA,FW,Nice,fr Ligue 1,20,2001,4.9,3,0,0,14,10,0,2,2,6,1,0,0,21,15,14,51.7,Matches,b73f17f8
1090,Ander Guevara,es ESP,MF,Real Sociedad,es La Liga,24,1997,9.6,2,0,0,19,6,0,0,14,10,0,1,0,116,18,25,41.9,Matches,8e48dc61
1091,Lamine Gueye,sn SEN,MFFW,Metz,fr Ligue 1,23,1998,6.2,0,0,0,5,9,3,26,10,8,1,0,0,29,6,7,46.2,Matches,9d5dcc23
1092,Pape Gueye,sn SEN,MF,Marseille,fr Ligue 1,22,1999,17.0,7,0,0,30,45,4,3,39,24,0,1,0,141,24,16,60.0,Matches,7155e3e1
1093,John Guidetti,se SWE,FWMF,Alavés,es La Liga,29,1992,3.1,2,0,0,7,3,3,3,3,1,1,0,0,13,6,8,42.9,Matches,99bebd12
1094,Josuha Guilavogui,fr FRA,MFDF,Wolfsburg,de Bundesliga,30,1990,10.5,4,0,0,22,6,2,0,36,21,0,0,0,153,42,12,77.8,Matches,e6c43eec
1095,Josuha Guilavogui,fr FRA,MFDF,Bordeaux,fr Ligue 1,30,1990,14.8,4,0,0,25,17,0,5,48,29,0,0,0,160,22,11,66.7,Matches,e6c43eec
1096,Frederic Guilbert,fr FRA,DF,Strasbourg,fr Ligue 1,26,1994,28.0,4,0,0,27,26,2,122,69,42,0,0,0,197,34,38,47.2,Matches,5d8d7454
1097,Hugo Guillamón,es ESP,MFDF,Valencia,es La Liga,21,2000,26.2,11,2,1,67,61,2,4,50,35,0,0,1,272,57,49,53.8,Matches,f7c12fbf
1098,Bruno Guimarães,br BRA,MF,Lyon,fr Ligue 1,23,1997,18.2,2,0,0,32,62,1,17,34,45,1,0,0,137,13,15,46.4,Matches,82518f62
1099,Bruno Guimarães,br BRA,MF,Newcastle Utd,eng Premier League,23,1997,11.5,4,0,0,22,46,4,9,19,39,0,0,0,121,6,12,33.3,Matches,82518f62
1100,Sehrou Guirassy,gn GUI,FW,Rennes,fr Ligue 1,25,1996,11.3,1,0,0,22,39,4,2,2,5,0,0,0,46,41,37,52.6,Matches,923f4dda
1101,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,31,1990,33.0,1,0,0,0,3,0,0,0,0,0,0,0,176,0,0,,Matches,bcb2ccd8
1102,Manuel Gulde,de GER,DF,Freiburg,de Bundesliga,30,1991,13.6,2,0,0,18,12,0,1,24,13,0,0,0,115,34,18,65.4,Matches,25ab9c9c
1103,Gerard Gumbau,es ESP,MF,Elche,es La Liga,26,1994,21.0,8,1,0,55,24,0,27,27,22,0,0,0,164,24,29,45.3,Matches,ac454a4f
1104,Robert Gumny,pl POL,DF,Augsburg,de Bundesliga,23,1998,25.2,3,0,0,32,30,0,24,53,39,0,0,0,224,40,34,54.1,Matches,1df0c0b9
1105,İlkay Gündoğan,de GER,MF,Manchester City,eng Premier League,30,1990,20.6,1,0,0,17,17,2,24,27,11,0,0,0,132,13,15,46.4,Matches,819b3158
1106,Angus Gunn,eng ENG,GK,Norwich City,eng Premier League,25,1996,9.0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,,Matches,e082af5b
1107,Christian Günter,de GER,DF,Freiburg,de Bundesliga,28,1993,34.0,2,0,0,39,17,4,124,30,21,1,0,0,213,18,34,34.6,Matches,8593f88c
1108,Koray Günter,de GER,DF,Hellas Verona,it Serie A,26,1994,26.8,10,0,0,44,16,1,2,67,21,0,2,1,367,117,72,61.9,Matches,f1f1f238
1109,Lasse Günther,de GER,DF,Augsburg,de Bundesliga,18,2003,1.8,1,0,0,3,1,0,3,3,3,0,0,0,13,1,3,25.0,Matches,00672803
1110,Jon Guridi,es ESP,MF,Real Sociedad,es La Liga,26,1995,2.3,0,0,0,6,5,0,2,2,4,0,0,0,14,4,10,28.6,Matches,4c0a6a48
1111,Malo Gusto,fr FRA,DF,Lyon,fr Ligue 1,18,2003,20.9,3,0,0,28,20,2,60,49,41,0,2,1,182,16,26,38.1,Matches,d56b9520
1112,Raúl Guti,es ESP,MF,Elche,es La Liga,24,1996,18.1,4,1,1,19,31,0,6,35,15,0,0,0,143,13,21,38.2,Matches,0b2c8585
1113,Marcos Mauro López Gutiérrez,ar ARG,DF,Cádiz,es La Liga,30,1991,1.5,1,0,0,1,1,0,0,4,1,0,0,0,8,6,1,85.7,Matches,b3b62f94
1114,Miguel Gutiérrez,es ESP,DF,Real Madrid,es La Liga,20,2001,2.9,1,0,0,4,9,0,8,5,4,0,0,0,16,1,3,25.0,Matches,7e98cff1
1115,Joško Gvardiol,hr CRO,DF,RB Leipzig,de Bundesliga,19,2002,26.8,7,0,0,47,42,1,8,89,33,0,0,1,291,71,43,62.3,Matches,5ad50391
1116,Emmanuel Gyasi,gh GHA,FWDF,Spezia,it Serie A,27,1994,33.7,10,0,0,58,55,21,24,28,34,0,1,1,204,33,96,25.6,Matches,f9758dae
1117,Norbert Gyömbér,sk SVK,DF,Salernitana,it Serie A,29,1992,28.5,9,0,0,50,17,0,15,54,38,0,1,0,241,60,29,67.4,Matches,0be276c6
1118,Erling Haaland,no NOR,FW,Dortmund,de Bundesliga,21,2000,21.2,3,0,0,17,17,14,8,4,2,0,0,0,69,50,41,54.9,Matches,1f44ac21
1119,Nicolas Haas,ch SUI,MF,Empoli,it Serie A,25,1996,11.1,3,0,0,21,16,1,16,10,25,0,0,0,104,7,17,29.2,Matches,fa449bba
1120,Janik Haberer,de GER,MF,Freiburg,de Bundesliga,27,1994,9.1,1,0,0,19,9,1,3,17,11,0,0,0,115,25,18,58.1,Matches,70dcf94d
1121,Alexander Hack,de GER,DF,Mainz 05,de Bundesliga,27,1993,23.0,6,1,0,35,37,2,3,55,41,0,0,0,318,91,49,65.0,Matches,a5ec3ede
1122,Robin Hack,de GER,FWMF,Arminia,de Bundesliga,22,1998,15.2,2,0,0,20,26,4,20,15,13,0,0,0,104,9,31,22.5,Matches,0174ba21
1123,Munir El Haddadi,ma MAR,FWMF,Sevilla,es La Liga,25,1995,5.3,3,0,0,10,13,3,6,8,3,0,0,0,34,11,16,40.7,Matches,8696bc90
1124,André Hahn,de GER,MFFW,Augsburg,de Bundesliga,30,1990,23.3,5,0,0,60,15,17,37,25,14,1,0,0,114,64,82,43.8,Matches,cd82452e
1125,Amadou Haidara,ml MLI,MF,RB Leipzig,de Bundesliga,23,1998,14.7,2,0,0,22,17,0,4,16,21,0,0,0,180,27,22,55.1,Matches,92432bc6
1126,Massadio Haïdara,ml MLI,DF,Lens,fr Ligue 1,28,1992,12.0,5,1,0,21,12,0,14,32,13,0,0,0,85,22,16,57.9,Matches,5167c97e
1127,Oualid El Hajjam,ma MAR,DF,Troyes,fr Ligue 1,30,1991,11.9,2,0,0,19,11,0,15,41,13,0,0,0,96,11,11,50.0,Matches,9f29c204
1128,Achraf Hakimi,ma MAR,DF,Paris S-G,fr Ligue 1,22,1998,27.5,3,1,0,20,18,6,52,45,47,0,0,0,134,10,20,33.3,Matches,e42d61c7
1129,Marcel Halstenberg,de GER,DF,RB Leipzig,de Bundesliga,29,1991,5.6,0,0,0,4,5,1,3,9,5,0,0,0,60,14,2,87.5,Matches,8ff2354e
1130,Pierre-Yves Hamel,fr FRA,FW,Clermont Foot,fr Ligue 1,27,1994,5.8,2,0,0,15,8,2,2,3,9,0,0,0,16,23,35,39.7,Matches,a99da9ec
