,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
83,Jordan Amavi,fr FRA,DF,Nice,fr Ligue 1,27,1994,4.6,268,316,84.8,4698,1533,134,146,91.8,101,115,87.8,28,43,65.1,0,0.1,-0.1,2,18,3,1,28,Matches,22721b88
84,Wisdom Amey,it ITA,DF,Bologna,it Serie A,15,2005,0.8,20,29,69.0,470,52,7,9,77.8,8,10,80.0,5,9,55.6,0,0.0,0.0,0,0,0,0,0,Matches,35b4bc62
85,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,23,1998,29.4,900,1137,79.2,15009,6667,455,510,89.2,345,426,81.0,81,143,56.6,1,1.2,-0.2,13,56,12,3,69,Matches,bcc81786
86,Nadiem Amiri,de GER,MFFW,Genoa,it Serie A,24,1996,7.6,227,307,73.9,3645,1045,120,140,85.7,83,105,79.0,20,49,40.8,1,1.6,-0.6,21,17,7,1,26,Matches,555d5edd
87,Nadiem Amiri,de GER,MFFW,Leverkusen,de Bundesliga,24,1996,4.1,184,223,82.5,3349,583,81,93,87.1,77,87,88.5,21,32,65.6,0,0.2,-0.2,3,9,9,0,18,Matches,555d5edd
88,Ethan Ampadu,wls WAL,MFDF,Venezia,it Serie A,20,2000,25.4,866,1154,75.0,17462,6607,315,380,82.9,401,478,83.9,137,257,53.3,3,1.4,+1.6,14,80,13,5,95,Matches,10b9fa99
89,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,24,1996,10.5,642,711,90.3,13919,2929,199,215,92.6,310,334,92.8,126,142,88.7,0,0.2,-0.2,7,67,7,0,48,Matches,5a2cb25d
90,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,25,1996,32.4,1813,2197,82.5,47245,14431,326,367,88.8,962,1034,93.0,518,779,66.5,3,1.8,+1.2,19,159,12,3,93,Matches,e34fc66d
91,Felipe Anderson,br BRA,FW,Lazio,it Serie A,28,1993,32.1,1108,1424,77.8,17105,4561,640,744,86.0,362,461,78.5,78,132,59.1,8,6.9,+1.1,52,52,64,12,123,Matches,9f1893b9
92,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,30,1991,14.0,168,253,66.4,2038,384,108,147,73.5,36,64,56.3,3,7,42.9,1,1.3,-0.3,10,3,5,1,9,Matches,b4cf5806
93,Florin Andone,ro ROU,FW,Cádiz,es La Liga,28,1993,2.0,28,40,70.0,372,45,18,21,85.7,8,13,61.5,1,2,50.0,0,0.0,0.0,2,3,0,0,2,Matches,dc008610
