,,,,,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
163,André Ayew,gh GHA,FW,Nott'ham Forest,eng Premier League,33-103,1989,2.5,4,2,0,3,1,2,4,50.0,2,4,0,4,0,4,4,0,Matches
164,Jordan Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,31-200,1991,20.9,56,36,20,18,18,18,39,46.2,21,26,2,24,13,69,27,0,Matches
165,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,28-140,1994,6.1,10,4,6,4,0,7,7,100.0,0,5,4,1,5,15,26,1,Matches
166,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,31-217,1991,13.8,44,22,32,7,5,26,46,56.5,20,23,7,16,14,58,32,1,Matches
167,Ayman Azhil,ma MAR,MF,Leverkusen,de Bundesliga,21-354,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
168,Sardar Azmoun,ir IRN,FWMF,Leverkusen,de Bundesliga,28-088,1995,6.2,5,3,1,3,1,1,6,16.7,5,3,0,3,1,6,7,0,Matches
169,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,33-214,1989,12.3,28,17,17,7,4,16,22,72.7,6,20,4,16,15,43,42,0,Matches
170,Sanoussy Ba,de GER,DF,RB Leipzig,de Bundesliga,19-084,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
171,Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,27-067,1996,12.7,24,13,12,12,0,11,24,45.8,13,11,2,9,7,31,19,0,Matches
172,Srđan Babić,rs SRB,DF,Almería,es La Liga,26-342,1996,22.5,20,11,16,4,0,10,21,47.6,11,19,15,4,19,39,68,0,Matches
173,Loïc Bade,fr FRA,DF,Sevilla,es La Liga,22-353,2000,7.0,9,8,6,2,1,5,9,55.6,4,7,3,4,12,21,22,0,Matches
174,Loïc Bade,fr FRA,DF,Rennes,fr Ligue 1,22-353,2000,1.0,1,1,1,0,0,0,0,,0,0,0,0,1,2,3,0,Matches
175,Édgar Badía,es ESP,GK,Elche,es La Liga,31-046,1992,26.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,11,2,Matches
176,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,22-004,2001,7.1,10,6,6,4,0,6,9,66.7,3,3,2,1,10,20,26,1,Matches
177,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,22-004,2001,9.3,10,8,6,4,0,5,10,50.0,5,9,6,3,17,27,40,1,Matches
178,Alex Baena,es ESP,MFFW,Villarreal,es La Liga,21-253,2001,14.4,21,12,7,9,5,12,28,42.9,16,10,3,7,5,26,12,0,Matches
179,Jaime Báez,uy URU,DF,Cremonese,it Serie A,27-339,1995,1.1,4,2,3,0,1,3,6,50.0,3,0,0,0,0,4,2,1,Matches
180,Leon Bailey,jm JAM,FWMF,Aston Villa,eng Premier League,25-233,1997,17.9,11,5,4,6,1,3,15,20.0,12,12,0,12,5,16,9,0,Matches
181,Eric Bailly,ci CIV,DF,Marseille,fr Ligue 1,28-352,1994,4.8,10,8,4,5,1,6,6,100.0,0,14,11,3,11,21,14,0,Matches
182,Dénys Bain,fr FRA,DF,Auxerre,fr Ligue 1,29-271,1993,1.4,4,3,3,1,0,1,2,50.0,1,2,1,1,2,6,4,0,Matches
183,Brandon Baiye,be BEL,MF,Clermont Foot,fr Ligue 1,22-093,2000,0.6,3,2,2,1,0,2,3,66.7,1,1,0,1,1,4,3,0,Matches
184,Stefan Bajcetic,es ESP,MF,Liverpool,eng Premier League,18-159,2004,5.8,9,6,5,3,1,8,27,29.6,19,7,0,7,9,18,4,0,Matches
185,Nedim Bajrami,al ALB,MFFW,Empoli,it Serie A,24-030,1999,10.4,8,4,3,3,2,4,6,66.7,2,5,0,5,7,15,4,0,Matches
186,Nedim Bajrami,al ALB,FW,Sassuolo,it Serie A,24-030,1999,3.5,4,1,2,2,0,2,5,40.0,3,4,1,3,4,8,2,0,Matches
187,Cédric Bakambu,cd COD,MF,Marseille,fr Ligue 1,31-353,1991,0.7,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,0,0,Matches
188,Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,28-225,1994,0.4,3,3,3,0,0,1,1,100.0,0,0,0,0,0,3,0,0,Matches
189,Mitchel Bakker,nl NED,DFMF,Leverkusen,de Bundesliga,22-283,2000,12.8,12,7,6,6,0,3,8,37.5,5,14,2,12,10,22,14,2,Matches
190,Ridle Baku,de GER,DFFW,Wolfsburg,de Bundesliga,24-356,1998,22.4,36,14,22,11,3,21,42,50.0,21,38,6,32,18,54,45,0,Matches
191,Tommaso Baldanzi,it ITA,MF,Empoli,it Serie A,20-007,2003,12.9,18,9,7,10,1,5,23,21.7,18,12,1,11,2,20,4,0,Matches
192,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,19-163,2003,18.4,28,19,17,8,3,14,23,60.9,9,21,2,19,9,37,14,1,Matches
193,Thierno Balde,fr FRA,DF,Troyes,fr Ligue 1,20-293,2002,18.1,26,13,18,4,4,17,27,63.0,10,13,3,10,18,44,28,0,Matches
194,Carlos Baleba,cm CMR,MF,Lille,fr Ligue 1,19-086,2004,3.2,11,10,1,8,2,8,11,72.7,3,11,2,9,1,12,2,2,Matches
195,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,35-029,1988,1.3,4,4,1,2,1,4,4,100.0,0,0,0,0,1,5,2,0,Matches
196,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,24-063,1999,22.9,40,26,28,10,2,22,33,66.7,11,41,26,15,48,88,71,0,Matches
197,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,31-088,1992,24.2,32,20,16,13,3,12,18,66.7,6,18,2,16,17,49,56,1,Matches
198,Fodé Ballo-Touré,sn SEN,DF,Milan,it Serie A,26-086,1997,3.2,7,2,2,5,0,4,5,80.0,1,8,3,5,1,8,1,0,Matches
199,Folarin Balogun,eng ENG,FW,Reims,fr Ligue 1,21-270,2001,23.5,6,3,0,4,2,1,12,8.3,11,17,1,16,2,8,12,0,Matches
200,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,32-339,1990,7.2,16,8,10,5,1,11,11,100.0,0,4,1,3,11,27,12,0,Matches
201,Jonathan Bamba,fr FRA,FW,Lille,fr Ligue 1,27-004,1996,22.0,27,12,9,10,8,12,31,38.7,19,29,1,28,17,44,9,0,Matches
202,Patrick Bamford,eng ENG,FW,Leeds United,eng Premier League,29-206,1993,10.6,8,5,0,6,2,3,15,20.0,12,6,2,4,4,12,8,0,Matches
203,Lameck Banda,zm ZAM,FWMF,Lecce,it Serie A,22-060,2001,13.1,23,14,9,11,3,10,29,34.5,19,20,2,18,3,26,2,0,Matches
204,Filippo Bandinelli,it ITA,MF,Empoli,it Serie A,28-001,1995,19.3,44,28,15,21,8,12,29,41.4,17,17,5,12,10,54,29,0,Matches
205,Léo Baptistão,br BRA,FWMF,Almería,es La Liga,30-216,1992,13.8,25,16,10,12,3,10,22,45.5,12,10,0,10,17,42,10,0,Matches
206,Shandon Baptiste,gd GRN,MF,Brentford,eng Premier League,24-356,1998,5.0,8,5,4,3,1,6,14,42.9,8,4,1,3,5,13,8,0,Matches
207,Antonín Barák,cz CZE,MF,Hellas Verona,it Serie A,28-117,1994,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
208,Antonín Barák,cz CZE,MF,Fiorentina,it Serie A,28-117,1994,14.6,19,9,5,5,9,5,13,38.5,8,13,1,12,3,22,10,0,Matches
209,Andrea Barberis,it ITA,MF,Monza,it Serie A,29-109,1993,3.5,6,2,4,2,0,4,9,44.4,5,0,0,0,8,14,1,0,Matches
210,Bradley Barcola,fr FRA,FWMF,Lyon,fr Ligue 1,20-209,2002,8.6,15,11,4,8,3,5,20,25.0,15,18,0,18,9,24,6,0,Matches
211,Melvin Bard,fr FRA,DF,Nice,fr Ligue 1,22-144,2000,19.1,71,45,43,23,5,45,64,70.3,19,26,1,25,38,109,31,1,Matches
212,Keidi Bare,al ALB,MF,Espanyol,es La Liga,25-214,1997,3.7,7,3,4,1,2,3,7,42.9,4,5,2,3,11,18,5,0,Matches
213,Nicolò Barella,it ITA,MF,Inter,it Serie A,26-051,1997,22.3,32,18,14,15,3,17,35,48.6,18,21,4,17,9,41,9,0,Matches
214,Kike Barja,es ESP,FWMF,Osasuna,es La Liga,25-363,1997,7.1,6,3,3,2,1,2,8,25.0,6,2,0,2,3,9,2,0,Matches
215,Ross Barkley,eng ENG,MFFW,Nice,fr Ligue 1,29-115,1993,7.8,10,5,4,2,4,5,9,55.6,4,6,1,5,4,14,5,0,Matches
216,Aymen Barkok,ma MAR,MF,Mainz 05,de Bundesliga,24-313,1998,4.4,14,7,9,3,2,3,6,50.0,3,4,0,4,3,17,6,0,Matches
217,Harvey Barnes,eng ENG,MFFW,Leicester City,eng Premier League,25-111,1997,22.6,20,13,8,9,3,10,31,32.3,21,25,1,24,6,26,7,0,Matches
218,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,23-086,2000,16.7,38,23,11,19,8,14,31,45.2,17,29,11,18,27,65,24,0,Matches
219,Enzo Barrenechea,ar ARG,MF,Juventus,it Serie A,21-312,2001,1.3,8,3,3,4,1,3,5,60.0,2,2,0,2,2,10,2,0,Matches
220,Ander Barrenetxea,es ESP,DFFW,Real Sociedad,es La Liga,21-093,2001,4.6,11,8,10,1,0,6,15,40.0,9,5,1,4,4,15,5,0,Matches
221,Mickaël Barreto,fr FRA,MF,Ajaccio,fr Ligue 1,32-071,1991,7.9,24,14,8,13,3,5,28,17.9,23,9,0,9,11,35,6,0,Matches
222,Pablo Barrios,es ESP,MF,Atlético Madrid,es La Liga,19-288,2003,4.9,12,8,2,8,2,6,10,60.0,4,7,1,6,7,19,2,0,Matches
223,Musa Barrow,gm GAM,FWMF,Bologna,it Serie A,24-136,1998,13.3,13,2,5,5,3,5,7,71.4,2,15,1,14,1,14,4,0,Matches
224,Federico Baschirotto,it ITA,DF,Lecce,it Serie A,26-191,1996,26.0,25,19,22,3,0,8,14,57.1,6,30,20,10,30,55,144,0,Matches
225,Toma Bašić,hr CRO,MF,Lazio,it Serie A,26-125,1996,4.7,5,3,3,1,1,2,6,33.3,4,9,0,9,7,12,6,0,Matches
226,Gil Bastião Dias,pt POR,FW,Stuttgart,de Bundesliga,26-183,1996,4.4,8,6,3,4,1,3,12,25.0,9,7,0,7,2,10,3,0,Matches
227,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,23-351,1999,18.1,35,17,17,11,7,10,20,50.0,10,18,6,12,20,55,35,0,Matches
228,Simone Bastoni,it ITA,MFDF,Spezia,it Serie A,26-145,1996,10.5,37,18,16,16,5,9,20,45.0,11,16,4,12,7,44,9,0,Matches
229,Rodrigo Battaglia,ar ARG,MF,Mallorca,es La Liga,31-261,1991,7.6,12,5,7,5,0,6,14,42.9,8,16,7,9,5,17,18,0,Matches
230,Maximilian Bauer,de GER,DF,Augsburg,de Bundesliga,23-049,2000,13.7,22,13,16,6,0,14,25,56.0,11,17,6,11,20,42,58,0,Matches
231,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,32-301,1990,25.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,1,Matches
232,Timo Baumgartl,de GER,DF,Union Berlin,de Bundesliga,27-026,1996,5.7,9,5,5,2,2,4,17,23.5,13,11,3,8,1,10,14,0,Matches
233,Julian Baumgartlinger,at AUT,MF,Augsburg,de Bundesliga,35-087,1988,5.1,14,3,5,5,4,6,16,37.5,10,4,2,2,4,18,15,0,Matches
234,Christoph Baumgartner,at AUT,MFFW,Hoffenheim,de Bundesliga,23-241,1999,21.2,28,15,9,14,5,6,36,16.7,30,50,5,45,13,41,15,1,Matches
235,Cyrille Bayala,bf BFA,MF,Ajaccio,fr Ligue 1,26-310,1996,18.2,47,34,14,17,16,20,38,52.6,18,20,3,17,21,68,13,0,Matches
236,Brian Bayeye,fr FRA,DF,Torino,it Serie A,22-273,2000,0.6,3,0,3,0,0,1,1,100.0,0,1,1,0,1,4,2,0,Matches
237,Noah Joel Sarenren Bazee,ng NGA,FW,Augsburg,de Bundesliga,26-221,1996,0.1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,Matches
238,Gavin Bazunu,ie IRL,GK,Southampton,eng Premier League,21-038,2002,28.0,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,22,2,Matches
239,Bebé,cv CPV,FW,Rayo Vallecano,es La Liga,32-261,1990,0.7,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,Matches
240,Ihlas Bebou,tg TOG,FW,Hoffenheim,de Bundesliga,28-341,1994,7.1,7,7,1,4,2,3,6,50.0,3,8,1,7,4,11,3,0,Matches
241,Rodrigo Becão,br BRA,DF,Udinese,it Serie A,27-070,1996,20.7,62,30,46,13,3,37,46,80.4,9,37,21,16,16,78,53,1,Matches
242,Mads Bech Sørensen,dk DEN,DFMF,Brentford,eng Premier League,24-082,1999,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Matches
243,Julius Beck,dk DEN,MF,Spezia,it Serie A,17-337,2005,0.1,2,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,Matches
244,Sheraldo Becker,sr SUR,FW,Union Berlin,de Bundesliga,28-049,1995,20.0,10,4,0,5,5,1,7,14.3,6,7,1,6,2,12,4,1,Matches
245,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,26-352,1996,9.1,17,13,12,5,0,6,7,85.7,1,17,11,6,22,39,38,0,Matches
246,Jan Bednarek,pl POL,DF,Aston Villa,eng Premier League,26-352,1996,1.1,3,3,0,3,0,1,1,100.0,0,3,1,2,2,5,5,0,Matches
247,Donny van de Beek,nl NED,MF,Manchester Utd,eng Premier League,25-346,1997,1.9,0,0,0,0,0,0,1,0.0,1,2,1,1,1,1,1,0,Matches
248,Asmir Begović,ba BIH,GK,Everton,eng Premier League,35-283,1987,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
249,Yanis Begraoui,fr FRA,FWMF,Toulouse,fr Ligue 1,21-269,2001,0.7,2,0,1,0,1,1,2,50.0,1,0,0,0,1,3,0,0,Matches
250,Kevin Behrens,de GER,FW,Union Berlin,de Bundesliga,32-055,1991,10.5,5,4,3,0,2,2,9,22.2,7,11,2,9,4,9,18,0,Matches
251,Alexis Beka Beka,fr FRA,MFDF,Nice,fr Ligue 1,22-001,2001,4.3,10,4,5,5,0,2,10,20.0,8,6,1,5,10,20,2,0,Matches
252,Jérémie Bela,ao ANG,DFMF,Clermont Foot,fr Ligue 1,29-356,1993,7.7,6,4,2,1,3,3,4,75.0,1,9,1,8,9,15,7,0,Matches
253,Reda Belahyane,fr FRA,MF,Nice,fr Ligue 1,18-302,2004,0.1,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0,Matches
254,Youcef Belaïli,dz ALG,MFFW,Ajaccio,fr Ligue 1,31-016,1992,12.1,15,9,2,7,6,7,19,36.8,12,10,1,9,5,20,4,0,Matches
255,Youcef Belaïli,dz ALG,FWMF,Brest,fr Ligue 1,31-016,1992,4.0,5,2,3,2,0,2,7,28.6,5,2,0,2,1,6,1,0,Matches
256,Haris Belkebla,dz ALG,MF,Brest,fr Ligue 1,29-061,1994,20.1,59,35,26,29,4,35,59,59.3,24,25,4,21,35,94,13,3,Matches
257,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,31-218,1991,17.7,26,14,24,2,0,13,26,50.0,13,26,12,14,34,60,87,0,Matches
258,Armel Bella Kotchap,de GER,DF,Southampton,eng Premier League,21-109,2001,16.5,29,13,22,7,0,11,14,78.6,3,25,9,16,40,69,85,0,Matches
259,Raoul Bellanova,it ITA,DFMF,Inter,it Serie A,22-317,2000,1.9,5,2,4,1,0,2,3,66.7,1,2,1,1,3,8,5,0,Matches
260,Karim Bellarabi,de GER,FW,Leverkusen,de Bundesliga,32-356,1990,0.9,2,0,1,1,0,2,2,100.0,0,0,0,0,0,2,0,0,Matches
261,Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,fr Ligue 1,24-276,1998,18.0,31,17,13,13,5,6,15,40.0,9,15,2,13,22,53,18,0,Matches
262,Héctor Bellerín,es ESP,DF,Barcelona,es La Liga,28-011,1995,1.6,2,0,0,2,0,2,3,66.7,1,2,0,2,3,5,2,0,Matches
263,Jude Bellingham,eng ENG,MF,Dortmund,de Bundesliga,19-274,2003,23.1,62,33,23,26,13,29,39,74.4,10,43,3,40,29,91,22,0,Matches
264,Jeanöel Belocian,fr FRA,DF,Rennes,fr Ligue 1,18-041,2005,1.1,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,4,0,Matches
265,Andrea Belotti,it ITA,FW,Roma,it Serie A,29-100,1993,6.8,9,5,3,2,4,3,7,42.9,4,7,1,6,3,12,2,0,Matches
266,Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,24-055,1999,23.3,24,16,10,10,4,9,39,23.1,30,18,4,14,39,63,28,2,Matches
267,Eliesse Ben Seghir,fr FRA,FWMF,Monaco,fr Ligue 1,18-042,2005,7.6,14,9,4,9,1,3,8,37.5,5,10,0,10,3,17,0,0,Matches
268,Salim Ben Seghir,fr FRA,MF,Marseille,fr Ligue 1,20-034,2003,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
269,Wissam Ben Yedder,fr FRA,FW,Monaco,fr Ligue 1,32-230,1990,16.3,10,6,2,2,6,3,10,30.0,7,13,0,13,4,14,0,0,Matches
270,Marco Benassi,it ITA,DF,Fiorentina,it Serie A,28-203,1994,1.0,3,3,2,0,1,3,4,75.0,1,0,0,0,1,4,1,0,Matches
271,Marco Benassi,it ITA,MF,Cremonese,it Serie A,28-203,1994,7.4,14,9,6,4,4,10,18,55.6,8,11,0,11,9,23,8,0,Matches
272,Ismaël Bennacer,dz ALG,MF,Milan,it Serie A,25-119,1997,18.1,51,29,22,27,2,23,37,62.2,14,19,7,12,21,72,14,1,Matches
273,Saïd Benrahma,dz ALG,FWMF,West Ham,eng Premier League,27-232,1995,15.9,17,9,8,4,5,8,22,36.4,14,13,1,12,6,23,10,0,Matches
274,Ramy Bensebaini,dz ALG,DF,M'Gladbach,de Bundesliga,27-348,1995,20.8,32,20,19,10,3,25,34,73.5,9,33,10,23,26,58,74,1,Matches
275,Nabil Bentaleb,dz ALG,MF,Angers,fr Ligue 1,28-126,1994,21.2,64,36,28,31,5,31,47,66.0,16,27,8,19,38,102,24,3,Matches
276,Rodrigo Bentancur,uy URU,MF,Tottenham,eng Premier League,25-278,1997,16.7,45,28,15,21,9,16,28,57.1,12,28,15,13,20,65,22,0,Matches
277,Karim Benzema,fr FRA,FW,Real Madrid,es La Liga,35-101,1987,15.5,7,4,2,2,3,1,6,16.7,5,8,0,8,1,8,5,0,Matches
278,Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,28-241,1994,13.0,16,11,7,5,4,7,27,25.9,20,9,0,9,12,28,12,0,Matches
279,Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,33-048,1990,14.7,29,17,14,11,4,17,29,58.6,12,22,8,14,22,51,37,1,Matches
280,Álex Berenguer,es ESP,FW,Athletic Club,es La Liga,27-269,1995,18.1,41,26,11,16,14,17,43,39.5,26,20,1,19,7,48,6,0,Matches
281,Bartosz Bereszyński,pl POL,DF,Sampdoria,it Serie A,30-261,1992,13.3,28,18,15,11,2,17,26,65.4,9,18,4,14,21,49,25,0,Matches
282,Patrick Berg,no NOR,MFFW,Lens,fr Ligue 1,25-126,1997,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
283,Mitchell van Bergen,nl NED,FWDF,Reims,fr Ligue 1,23-215,1999,8.5,14,6,5,6,3,6,18,33.3,12,6,2,4,5,19,8,0,Matches
284,Mergim Berisha,de GER,FW,Augsburg,de Bundesliga,24-323,1998,16.8,11,6,4,3,4,4,13,30.8,9,13,1,12,0,11,17,0,Matches
285,Quentin Bernard,fr FRA,DF,Auxerre,fr Ligue 1,33-266,1989,7.0,9,7,4,2,3,7,15,46.7,8,9,1,8,15,24,17,0,Matches
286,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,25-346,1997,20.0,2,0,2,0,0,2,2,100.0,0,1,0,1,1,3,9,1,Matches
287,Juan Bernat,es ESP,DF,Paris S-G,fr Ligue 1,30-029,1993,12.7,24,13,16,6,2,17,30,56.7,13,8,1,7,8,32,16,1,Matches
288,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,eng Premier League,20-104,2002,3.9,19,12,9,9,1,11,18,61.1,7,9,1,8,1,20,14,0,Matches
289,Jason Berthomier,fr FRA,MF,Clermont Foot,fr Ligue 1,33-083,1990,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
290,Beto,gw GNB,FW,Udinese,it Serie A,25-058,1998,19.0,15,9,0,9,6,4,15,26.7,11,14,1,13,3,18,23,0,Matches
291,Owen Bevan,wls WAL,DF,Bournemouth,eng Premier League,19-155,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
292,Matteo Bianchetti,it ITA,DF,Cremonese,it Serie A,30-013,1993,18.8,25,14,16,7,2,16,27,59.3,11,25,15,10,16,41,91,0,Matches
293,Alessandro Bianco,it ITA,MF,Fiorentina,it Serie A,20-180,2002,1.2,3,1,1,2,0,2,2,100.0,0,1,0,1,0,3,0,0,Matches
294,Giulian Biancone,fr FRA,DF,Nott'ham Forest,eng Premier League,22-364,2000,0.2,2,1,2,0,0,1,1,100.0,0,0,0,0,1,3,0,0,Matches
295,Ermin Bičakčić,ba BIH,DF,Hoffenheim,de Bundesliga,33-065,1990,1.9,3,0,2,1,0,1,4,25.0,3,2,1,1,4,7,5,0,Matches
296,Pedro Bigas,es ESP,DF,Elche,es La Liga,32-196,1990,16.0,26,14,20,6,0,12,22,54.5,10,17,7,10,26,52,67,0,Matches
297,Jaka Bijol,si SVN,DF,Udinese,it Serie A,24-053,1999,20.4,22,15,18,4,0,9,16,56.3,7,31,17,14,22,44,132,0,Matches
298,El Bilal Touré,ml MLI,FW,Almería,es La Liga,21-178,2001,13.0,4,3,2,1,1,0,3,0.0,3,5,1,4,1,5,22,0,Matches
299,El Bilal Touré,ml MLI,FW,Reims,fr Ligue 1,21-178,2001,1.0,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,Matches
300,Philip Billing,dk DEN,MFFW,Bournemouth,eng Premier League,26-292,1996,21.7,46,27,18,20,8,10,31,32.3,21,39,8,31,25,71,45,1,Matches
301,Jean-Claude Billong,cm CMR,MF,Clermont Foot,fr Ligue 1,29-092,1993,0.3,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,0,Matches
302,Cristiano Biraghi,it ITA,DF,Fiorentina,it Serie A,30-210,1992,22.0,50,29,24,22,4,27,48,56.3,21,21,6,15,11,61,32,1,Matches
303,Samuele Birindelli,it ITA,DF,Monza,it Serie A,23-254,1999,12.1,25,13,15,8,2,16,23,69.6,7,21,7,14,13,38,23,0,Matches
304,Veljko Birmančević,rs SRB,FWMF,Toulouse,fr Ligue 1,25-025,1998,3.6,11,7,3,5,3,8,15,53.3,7,11,2,9,6,17,0,0,Matches
305,Tom Bischof,de GER,MFFW,Hoffenheim,de Bundesliga,17-275,2005,2.9,11,7,4,3,4,5,7,71.4,2,4,0,4,0,11,0,0,Matches
306,Yves Bissouma,ml MLI,MF,Tottenham,eng Premier League,26-212,1996,9.0,12,10,3,5,4,2,7,28.6,5,12,5,7,9,21,7,0,Matches
307,Kristijan Bistrović,hr CRO,MF,Lecce,it Serie A,24-355,1998,5.1,3,1,3,0,0,0,5,0.0,5,3,0,3,0,3,4,0,Matches
308,Leonardo Bittencourt,de GER,MFDF,Werder Bremen,de Bundesliga,29-101,1993,11.3,25,14,5,15,5,10,23,43.5,13,7,0,7,9,34,7,0,Matches
309,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,32-020,1991,27.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,18,4,Matches
310,Blanco,es ESP,MF,Cádiz,es La Liga,22-250,2000,1.8,6,4,5,1,0,4,6,66.7,2,5,0,5,1,7,3,0,Matches
311,Lautaro Blanco,ar ARG,DFMF,Elche,es La Liga,24-039,1999,3.2,8,2,4,3,1,5,7,71.4,2,4,1,3,1,9,4,0,Matches
312,Rubén Blanco,es ESP,GK,Marseille,fr Ligue 1,27-248,1995,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
313,Ludovic Blas,fr FRA,FWMF,Nantes,fr Ligue 1,25-089,1997,22.8,35,24,12,15,8,13,34,38.2,21,21,1,20,14,49,6,0,Matches
314,Janis Blaswich,de GER,GK,RB Leipzig,de Bundesliga,31-332,1991,18.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,Matches
315,Miha Blažič,si SVN,DF,Angers,fr Ligue 1,29-326,1993,19.7,6,5,6,0,0,6,12,50.0,6,24,18,6,21,27,68,1,Matches
316,Joaquín Blázquez,ar ARG,GK,Brest,fr Ligue 1,22-061,2001,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
317,Alexis Blin,fr FRA,MFDF,Lecce,it Serie A,26-195,1996,17.9,49,25,20,21,8,27,46,58.7,19,37,11,26,24,73,63,0,Matches
318,Daley Blind,nl NED,DFMF,Bayern Munich,de Bundesliga,33-021,1990,1.5,2,0,2,0,0,0,1,0.0,1,4,2,2,2,4,6,0,Matches
319,Myron Boadu,nl NED,FW,Monaco,fr Ligue 1,22-075,2001,1.5,1,1,0,0,1,0,4,0.0,4,0,0,0,0,1,1,0,Matches
320,Jérôme Boateng,de GER,DF,Lyon,fr Ligue 1,34-208,1988,3.5,2,0,1,1,0,1,3,33.3,2,4,2,2,5,7,15,0,Matches
321,Kevin-Prince Boateng,gh GHA,MF,Hertha BSC,de Bundesliga,36-024,1987,1.9,4,2,2,1,1,1,5,20.0,4,1,1,0,0,4,4,0,Matches
322,Antonin Bobichon,fr FRA,MF,Angers,fr Ligue 1,27-197,1995,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
323,Jean-Paul Boëtius,nl NED,MF,Hertha BSC,de Bundesliga,29-008,1994,9.5,24,14,15,7,2,6,18,33.3,12,18,1,17,11,35,8,0,Matches
324,Jeremie Boga,ci CIV,MFFW,Atalanta,it Serie A,26-086,1997,6.5,5,3,2,0,3,1,3,33.3,2,5,0,5,1,6,1,0,Matches
325,Emil Bohinen,no NOR,MF,Salernitana,it Serie A,24-018,1999,5.5,17,10,10,5,2,8,13,61.5,5,11,4,7,10,27,12,0,Matches
326,Quentin Boisgard,fr FRA,MF,Lorient,fr Ligue 1,26-013,1997,2.0,6,2,1,4,1,3,4,75.0,1,3,1,2,4,10,2,0,Matches
327,Willy Boly,ci CIV,DF,Nott'ham Forest,eng Premier League,32-055,1991,6.6,13,6,8,3,2,8,13,61.5,5,11,4,7,12,25,38,0,Matches
328,Giacomo Bonaventura,it ITA,MF,Fiorentina,it Serie A,33-220,1989,17.3,32,20,14,14,4,21,33,63.6,12,10,0,10,15,47,4,1,Matches
329,Federico Bonazzoli,it ITA,FWMF,Salernitana,it Serie A,25-313,1997,11.9,3,1,0,1,2,0,9,0.0,9,9,1,8,3,6,0,0,Matches
