,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
137,Ricard Artero,es ESP,FW,Girona,es La Liga,20-053,2003,0.1,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
138,Arthur,br BRA,FW,Fiorentina,it Serie A,24-339,1998,10.3,199,183,14,0,0,1,1,2,0,0,0,0,139,2,10,Matches
139,Santiago Arzamendia,py PAR,DFMF,Cádiz,es La Liga,24-329,1998,4.3,170,143,26,4,0,2,8,21,1,1,0,0,115,1,12,Matches
140,Takuma Asano,jp JPN,FWMF,Bochum,de Bundesliga,28-140,1994,11.2,210,204,4,1,2,0,14,2,1,0,0,0,147,2,11,Matches
141,Santiago Ascacíbar,ar ARG,MF,Cremonese,it Serie A,26-033,1997,8.1,435,412,21,11,0,4,5,5,5,0,3,0,358,2,9,Matches
142,Sergio Asenjo,es ESP,GK,Valladolid,es La Liga,33-275,1989,9.0,315,204,110,23,0,2,0,0,0,0,0,0,206,1,1,Matches
143,Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,27-068,1996,7.8,399,362,36,11,3,4,41,6,19,12,2,0,328,1,12,Matches
144,Kristoffer Askildsen,no NOR,MF,Lecce,it Serie A,22-080,2001,6.9,228,196,31,11,0,7,19,3,15,7,6,0,144,1,7,Matches
145,Fisnik Asllani,xk KVX,FW,Hoffenheim,de Bundesliga,20-234,2002,1.6,54,53,1,0,0,0,3,0,0,0,0,0,32,0,2,Matches
146,Kristjan Asllani,al ALB,MF,Inter,it Serie A,21-021,2002,3.3,226,215,10,5,1,2,8,0,5,2,2,0,196,1,3,Matches
147,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,35-241,1987,24.4,922,869,48,16,7,9,30,8,9,2,2,0,705,5,25,Matches
148,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,22-281,2000,2.2,108,89,18,3,0,0,2,15,0,0,0,0,89,1,1,Matches
149,Youcef Atal,dz ALG,DFMF,Nice,fr Ligue 1,26-317,1996,7.1,414,347,67,6,0,1,33,61,0,0,0,0,334,0,14,Matches
150,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,17-217,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
151,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,eng Premier League,33-285,1989,4.9,86,82,4,0,0,0,3,0,0,0,0,0,61,0,4,Matches
152,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,es La Liga,33-285,1989,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
153,Emil Audero,it ITA,GK,Sampdoria,it Serie A,26-071,1997,25.0,919,628,286,86,0,0,0,0,0,0,0,0,617,5,2,Matches
154,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,28-212,1994,23.0,1210,953,256,31,0,5,99,223,2,0,2,0,868,1,54,Matches
155,Ludwig Augustinsson,se SWE,DF,Aston Villa,eng Premier League,28-343,1994,0.9,43,34,9,1,0,0,5,8,0,0,0,0,26,0,0,Matches
156,Ludwig Augustinsson,se SWE,DF,Mallorca,es La Liga,28-343,1994,1.3,63,54,9,0,0,0,6,9,0,0,0,0,43,0,0,Matches
157,Serge Aurier,ci CIV,DF,Nott'ham Forest,eng Premier League,30-096,1992,15.9,797,621,174,14,1,0,38,160,0,0,0,0,567,2,24,Matches
158,Mathias Autret,fr FRA,MFFW,Auxerre,fr Ligue 1,32-029,1991,14.0,582,516,63,19,3,18,64,10,24,13,7,0,441,3,14,Matches
159,Ezequiel Ávila,ar ARG,FWMF,Osasuna,es La Liga,29-052,1994,16.3,460,420,37,10,1,20,75,7,14,6,6,0,244,3,19,Matches
160,Cédric Avinel,gp GLP,DF,Ajaccio,fr Ligue 1,36-200,1986,16.2,610,592,18,18,0,1,0,0,0,0,0,0,518,0,2,Matches
161,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,25-230,1997,8.1,124,121,3,0,1,0,3,1,0,0,0,0,90,0,5,Matches
162,Mehmet Aydin,de GER,DFFW,Schalke 04,de Bundesliga,21-049,2002,5.4,211,165,42,2,1,0,21,39,1,0,0,0,123,4,10,Matches
163,André Ayew,gh GHA,FW,Nott'ham Forest,eng Premier League,33-103,1989,2.5,51,47,4,0,0,0,1,0,1,0,0,0,39,0,0,Matches
164,Jordan Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,31-200,1991,20.9,596,589,6,2,4,0,32,3,0,0,0,0,451,1,21,Matches
165,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,28-140,1994,6.1,332,311,20,15,0,7,0,2,0,0,0,0,288,1,2,Matches
166,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,31-217,1991,13.8,669,534,130,12,0,9,32,118,0,0,0,0,471,5,24,Matches
167,Ayman Azhil,ma MAR,MF,Leverkusen,de Bundesliga,21-354,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
168,Sardar Azmoun,ir IRN,FWMF,Leverkusen,de Bundesliga,28-088,1995,6.2,153,143,9,0,1,0,0,1,0,0,0,0,102,1,4,Matches
169,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,33-214,1989,12.3,818,679,136,27,0,0,18,109,0,0,0,0,661,3,11,Matches
