,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
23,Karim Adeyemi,de GER,FWMF,Dortmund,de Bundesliga,21-071,2002,8.9,210,287,73.2,2631,763,129,158,81.6,56,71,78.9,6,15,40.0,2,2.0,1.7,0.0,13,12,11,0,27,Matches
24,Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,22-324,2000,10.3,271,361,75.1,3741,856,154,193,79.8,83,100,83.0,13,23,56.5,2,1.2,1.4,+0.8,16,20,7,0,34,Matches
25,Yacine Adli,fr FRA,MFFW,Milan,it Serie A,22-244,2000,1.4,43,65,66.2,778,231,20,25,80.0,14,20,70.0,7,13,53.8,0,0.1,0.1,-0.1,1,5,2,0,9,Matches
26,Michel Aebischer,ch SUI,FWMF,Bologna,it Serie A,26-083,1997,11.2,370,453,81.7,5599,1620,198,221,89.6,132,152,86.8,25,45,55.6,0,0.5,0.4,-0.5,12,27,5,1,32,Matches
27,Felix Afena-Gyan,gh GHA,FWMF,Cremonese,it Serie A,20-070,2003,6.7,109,143,76.2,1381,136,74,87,85.1,25,33,75.8,3,5,60.0,0,0.1,0.2,-0.1,3,3,0,0,6,Matches
28,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25-286,1997,18.9,823,964,85.4,17248,5942,242,273,88.6,438,476,92.0,133,191,69.6,2,1.6,1.0,+0.4,8,61,9,0,64,Matches
29,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22-094,2000,4.5,98,149,65.8,3088,2257,8,8,100.0,55,58,94.8,35,83,42.2,0,0.0,0.0,0.0,0,1,0,0,0,Matches
30,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,21-049,2002,7.2,342,433,79.0,6112,1784,144,174,82.8,150,177,84.7,39,59,66.1,1,1.0,0.8,0.0,9,27,11,2,54,Matches
31,Felix Agu,de GER,DFFW,Werder Bremen,de Bundesliga,23-184,1999,0.5,16,25,64.0,299,144,4,5,80.0,9,10,90.0,2,6,33.3,0,0.1,0.1,-0.1,1,1,1,0,2,Matches
32,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26-333,1996,14.4,641,777,82.5,12972,3620,248,279,88.9,253,291,86.9,122,173,70.5,2,1.5,1.5,+0.5,24,72,9,1,94,Matches
