,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1382,Takefusa Kubo,jp JPN,FWMF,Real Sociedad,es La Liga,21-299,2001,18.6,435,609,71.4,5685,1520,266,318,83.6,124,169,73.4,17,41,41.5,3,3.8,3.4,-0.8,22,21,18,2,53,Matches
1383,Dejan Kulusevski,se SWE,MFFW,Tottenham,eng Premier League,22-339,2000,16.3,418,548,76.3,5780,1500,249,294,84.7,129,165,78.2,19,40,47.5,6,3.9,4.2,+2.1,36,11,27,9,47,Matches
1384,Sael Kumbedi,fr FRA,DF,Lyon,fr Ligue 1,18-004,2005,7.9,309,382,80.9,4554,1049,169,190,88.9,119,146,81.5,9,25,36.0,1,0.5,0.6,+0.5,4,10,1,1,18,Matches
1385,Marash Kumbulla,al ALB,DF,Roma,it Serie A,23-050,2000,2.7,156,178,87.6,2825,766,65,67,97.0,79,83,95.2,9,22,40.9,0,0.1,0.0,-0.1,1,3,0,0,8,Matches
1386,Pierre Kunde,cm CMR,MF,Bochum,de Bundesliga,27-247,1995,3.6,89,162,54.9,1525,543,41,57,71.9,39,64,60.9,8,35,22.9,0,0.1,0.1,-0.1,2,12,2,1,14,Matches
1387,Alou Kuol,au AUS,FW,Stuttgart,de Bundesliga,22-184,2000,0.1,1,1,100.0,12,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
1388,Layvin Kurzawa,fr FRA,DF,Fulham,eng Premier League,30-207,1992,1.5,28,41,68.3,408,135,12,13,92.3,14,19,73.7,0,3,0.0,0,0.0,0.0,0.0,0,1,1,1,2,Matches
1389,Khvicha Kvaratskhelia,ge GEO,FW,Napoli,it Serie A,22-046,2001,19.2,533,681,78.3,7608,1467,336,375,89.6,132,179,73.7,37,68,54.4,10,6.7,5.3,+3.3,38,27,27,5,54,Matches
1390,Grejohn Kyei,fr FRA,FW,Clermont Foot,fr Ligue 1,27-230,1995,15.6,208,304,68.4,2992,496,111,147,75.5,64,91,70.3,13,21,61.9,2,0.8,0.9,+1.2,6,12,6,2,16,Matches
1391,Daniel Kyereh,gh GHA,MFFW,Freiburg,de Bundesliga,27-022,1996,6.2,139,182,76.4,1649,285,97,118,82.2,26,35,74.3,4,8,50.0,0,0.3,0.8,-0.3,3,3,3,1,11,Matches
1392,Giorgos Kyriakopoulos,gr GRE,FWDF,Bologna,it Serie A,27-053,1996,3.1,97,136,71.3,1465,648,51,57,89.5,32,45,71.1,8,21,38.1,2,0.6,0.8,+1.4,5,7,7,3,13,Matches
1393,Giorgos Kyriakopoulos,gr GRE,FWDF,Sassuolo,it Serie A,27-053,1996,8.5,300,391,76.7,5430,2158,148,165,89.7,103,125,82.4,44,81,54.3,1,1.4,0.9,-0.4,14,23,14,9,32,Matches
1394,César de la Hoz,es ESP,MF,Almería,es La Liga,31-000,1992,13.1,325,406,80.0,6240,2248,138,154,89.6,134,158,84.8,48,73,65.8,0,0.9,0.8,-0.9,4,37,3,1,37,Matches
1395,Luca de la Torre,us USA,MF,Celta Vigo,es La Liga,24-311,1998,8.5,241,291,82.8,3433,594,144,156,92.3,76,87,87.4,10,21,47.6,2,1.2,0.6,+0.8,10,22,5,1,29,Matches
1396,Rémy Labeau Lascary,gp GLP,FWMF,Lens,fr Ligue 1,20-027,2003,1.3,23,28,82.1,383,126,11,14,78.6,7,8,87.5,3,3,100.0,0,0.0,0.0,0.0,2,1,1,0,3,Matches
1397,Gaëtan Laborde,fr FRA,FW,Nice,fr Ligue 1,28-331,1994,19.3,319,480,66.5,4541,1076,196,262,74.8,89,128,69.5,17,43,39.5,1,3.2,3.0,-2.2,29,18,19,6,37,Matches
1398,Gaëtan Laborde,fr FRA,FW,Rennes,fr Ligue 1,28-331,1994,2.8,41,61,67.2,623,128,25,35,71.4,12,17,70.6,2,5,40.0,0,0.2,0.2,-0.2,3,3,2,1,5,Matches
1399,Alexandre Lacazette,fr FRA,FW,Lyon,fr Ligue 1,31-306,1991,22.8,462,658,70.2,6608,1816,246,316,77.8,146,197,74.1,27,53,50.9,4,4.3,3.9,-0.3,35,43,29,1,78,Matches
1400,Qazim Laçi,al ALB,MF,Ajaccio,fr Ligue 1,27-070,1996,2.4,111,142,78.2,2278,691,44,55,80.0,43,50,86.0,21,31,67.7,0,0.2,0.4,-0.2,3,18,1,0,24,Matches
1401,Maxence Lacroix,fr FRA,DF,Wolfsburg,de Bundesliga,22-358,2000,14.5,733,848,86.4,15371,5861,180,207,87.0,464,492,94.3,84,134,62.7,0,0.1,0.2,-0.1,1,41,0,0,51,Matches
1402,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,24-066,1999,27.0,618,882,70.1,18967,14497,80,81,98.8,290,296,98.0,247,502,49.2,0,0.1,0.1,-0.1,1,9,1,0,1,Matches
1403,Aïssa Laïdouni,tn TUN,MF,Union Berlin,de Bundesliga,26-107,1996,4.6,114,156,73.1,1955,540,53,62,85.5,46,63,73.0,11,18,61.1,0,0.3,0.4,-0.3,2,13,9,1,20,Matches
1404,Konrad Laimer,at AUT,MF,RB Leipzig,de Bundesliga,25-307,1997,10.5,373,475,78.5,5942,1956,185,215,86.0,150,175,85.7,23,42,54.8,0,1.5,1.0,-1.5,10,39,11,2,63,Matches
1405,Stefan Lainer,at AUT,DF,M'Gladbach,de Bundesliga,30-215,1992,3.8,214,265,80.8,3279,1060,115,131,87.8,84,104,80.8,10,17,58.8,0,0.2,0.3,-0.2,1,15,2,0,17,Matches
1406,Kenny Lala,fr FRA,DF,Brest,fr Ligue 1,31-178,1991,6.7,261,361,72.3,5452,2170,98,122,80.3,115,147,78.2,47,80,58.8,0,1.0,0.9,-1.0,11,14,5,2,19,Matches
1407,Adam Lallana,eng ENG,MFFW,Brighton,eng Premier League,34-324,1988,8.0,262,317,82.6,3033,656,173,194,89.2,57,74,77.0,6,9,66.7,1,1.0,1.2,0.0,14,23,9,1,33,Matches
1408,Vassilis Lambropoulos,gr GRE,DF,Bochum,de Bundesliga,32-364,1990,6.8,163,239,68.2,3280,1390,51,61,83.6,96,123,78.0,16,52,30.8,0,0.2,0.3,-0.2,1,12,2,0,26,Matches
1409,Érik Lamela,ar ARG,FWMF,Sevilla,es La Liga,31-026,1992,14.4,429,559,76.7,6086,1076,246,294,83.7,135,167,80.8,23,33,69.7,0,1.1,1.1,-1.1,19,24,18,1,53,Matches
1410,Mohamed Lamine Bayo,gn GUI,FWMF,Lille,fr Ligue 1,24-299,1998,5.4,58,99,58.6,659,161,34,54,63.0,11,23,47.8,2,2,100.0,0,1.5,1.5,-1.5,9,2,1,0,4,Matches
1411,Sam Lammers,nl NED,FW,Sampdoria,it Serie A,25-334,1997,7.8,110,165,66.7,1443,338,74,98,75.5,28,43,65.1,3,3,100.0,1,1.0,0.6,0.0,10,8,5,1,10,Matches
1412,Sam Lammers,nl NED,FW,Empoli,it Serie A,25-334,1997,9.8,143,230,62.2,1814,451,94,129,72.9,41,60,68.3,1,5,20.0,1,0.7,0.3,+0.3,10,13,4,0,19,Matches
1413,Tariq Lamptey,gh GHA,DF,Brighton,eng Premier League,22-181,2000,5.0,239,302,79.1,3509,854,130,149,87.2,96,116,82.8,5,21,23.8,0,0.2,0.7,-0.2,4,14,8,5,26,Matches
1414,Manuel Lanzini,ar ARG,MFFW,West Ham,eng Premier League,30-043,1993,1.7,83,100,83.0,1280,295,42,50,84.0,32,35,91.4,5,9,55.6,0,0.0,0.1,0.0,0,7,2,0,14,Matches
1415,Aymeric Laporte,es ESP,DF,Manchester City,eng Premier League,28-307,1994,6.2,441,482,91.5,7435,2135,215,225,95.6,185,200,92.5,34,44,77.3,0,0.2,0.3,-0.2,4,46,6,0,46,Matches
1416,Julien Laporte,fr FRA,DF,Lorient,fr Ligue 1,29-146,1993,17.1,621,731,85.0,12967,4531,176,192,91.7,344,371,92.7,90,146,61.6,0,0.0,0.1,0.0,1,48,1,0,35,Matches
1417,Cyle Larin,ca CAN,FW,Valladolid,es La Liga,27-347,1995,5.7,49,76,64.5,657,110,24,37,64.9,13,17,76.5,4,5,80.0,0,0.4,0.1,-0.4,4,3,2,0,7,Matches
1418,Juan Larios,es ESP,DF,Southampton,eng Premier League,19-077,2004,1.7,63,82,76.8,881,326,40,46,87.0,21,27,77.8,2,4,50.0,0,0.0,0.0,0.0,0,5,0,0,4,Matches
1419,Yasser Larouci,dz ALG,DFFW,Troyes,fr Ligue 1,22-088,2001,13.2,435,568,76.6,6421,2252,238,278,85.6,162,210,77.1,16,43,37.2,0,1.3,0.9,-1.3,11,29,14,7,45,Matches
1420,Jordan Larsson,se SWE,FWMF,Schalke 04,de Bundesliga,25-283,1997,5.1,87,117,74.4,1236,400,49,58,84.5,27,33,81.8,4,10,40.0,0,0.4,0.6,-0.4,4,7,5,0,12,Matches
1421,Kevin Lasagna,it ITA,FWMF,Hellas Verona,it Serie A,30-232,1992,14.2,131,219,59.8,1961,460,67,100,67.0,45,68,66.2,6,14,42.9,2,1.5,0.3,+0.5,13,9,7,0,17,Matches
1422,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,29-139,1993,2.2,65,79,82.3,1219,511,24,29,82.8,32,36,88.9,7,11,63.6,0,0.0,0.0,0.0,0,3,0,0,3,Matches
1423,Latasa,es ESP,FWDF,Getafe,es La Liga,22-007,2001,1.4,22,41,53.7,357,130,9,15,60.0,10,16,62.5,1,2,50.0,0,0.0,0.1,0.0,0,3,1,0,6,Matches
1424,Toni Lato,es ESP,DFMF,Valencia,es La Liga,25-129,1997,7.3,283,347,81.6,4472,1401,146,158,92.4,112,133,84.2,18,41,43.9,0,0.8,0.8,-0.8,11,25,9,2,28,Matches
1425,Danny Latza,de GER,MF,Schalke 04,de Bundesliga,33-113,1989,5.1,173,220,78.6,2927,749,76,84,90.5,81,98,82.7,11,21,52.4,0,0.0,0.2,0.0,1,12,4,2,22,Matches
1426,Armand Lauriente,fr FRA,FW,Sassuolo,it Serie A,24-116,1998,18.2,438,608,72.0,6647,2035,253,296,85.5,137,187,73.3,29,70,41.4,6,5.9,3.8,+0.1,55,30,34,9,62,Matches
1427,Armand Lauriente,fr FRA,FW,Lorient,fr Ligue 1,24-116,1998,3.0,73,95,76.8,1175,373,28,33,84.8,33,38,86.8,5,11,45.5,0,1.1,0.8,-1.1,9,6,5,0,14,Matches
1428,Roméo Lavia,be BEL,MF,Southampton,eng Premier League,19-083,2004,15.2,525,605,86.8,9131,2455,230,257,89.5,238,259,91.9,45,57,78.9,0,0.4,0.5,-0.4,10,67,8,0,63,Matches
1429,Lázaro,br BRA,MFFW,Almería,es La Liga,21-018,2002,3.3,91,120,75.8,1327,424,57,66,86.4,20,30,66.7,9,14,64.3,0,0.2,0.2,-0.2,6,14,2,1,12,Matches
1430,Valentino Lazaro,at AUT,DF,Torino,it Serie A,27-006,1996,11.8,524,695,75.4,8590,3209,263,297,88.6,194,255,76.1,48,99,48.5,2,2.3,2.2,-0.3,22,37,16,8,58,Matches
1431,Marko Lazetić,rs SRB,FW,Milan,it Serie A,19-067,2004,0.1,1,1,100.0,18,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
1432,Darko Lazović,rs SRB,MFDF,Hellas Verona,it Serie A,32-196,1990,19.9,425,670,63.4,7017,2913,216,273,79.1,153,219,69.9,42,115,36.5,4,4.7,4.1,-0.7,33,40,27,12,66,Matches
1433,Manuel Lazzari,it ITA,DF,Lazio,it Serie A,29-121,1993,15.5,748,849,88.1,10354,3758,445,476,93.5,246,279,88.2,25,37,67.6,0,0.5,0.6,-0.5,8,34,10,5,44,Matches
1434,Théo Le Bris,fr FRA,MFDF,Lorient,fr Ligue 1,20-180,2002,13.1,372,468,79.5,5077,1450,231,277,83.4,120,139,86.3,9,21,42.9,1,1.0,1.5,0.0,12,25,11,2,39,Matches
1435,Julien Le Cardinal,fr FRA,DF,Lens,fr Ligue 1,25-239,1997,1.6,82,112,73.2,1368,393,40,49,81.6,33,45,73.3,6,11,54.5,0,0.6,0.4,-0.6,4,8,4,3,7,Matches
1436,Jérémy Le Douaron,fr FRA,FWMF,Brest,fr Ligue 1,24-343,1998,14.4,161,238,67.6,2170,371,100,133,75.2,44,70,62.9,6,12,50.0,2,1.0,0.5,+1.0,9,10,7,2,14,Matches
1437,Enzo Le Fée,fr FRA,MF,Lorient,fr Ligue 1,23-055,2000,26.9,1358,1686,80.5,23487,7758,592,668,88.6,532,634,83.9,157,258,60.9,6,5.9,3.9,+0.1,59,155,26,4,182,Matches
1438,Vincent Le Goff,fr FRA,DF,Lorient,fr Ligue 1,33-166,1989,27.0,1193,1448,82.4,18749,7821,599,674,88.9,481,563,85.4,68,136,50.0,0,0.6,1.5,-0.6,10,94,24,8,133,Matches
1439,Maxime Le Marchand,fr FRA,DF,Strasbourg,fr Ligue 1,33-170,1989,17.4,773,985,78.5,14989,6262,298,338,88.2,361,420,86.0,96,194,49.5,0,0.3,0.4,-0.3,2,76,8,3,81,Matches
1440,Robin Le Normand,fr FRA,DF,Real Sociedad,es La Liga,26-139,1996,21.1,1060,1186,89.4,20854,6450,334,372,89.8,597,637,93.7,116,154,75.3,0,0.1,0.3,-0.1,3,64,2,0,85,Matches
1441,Rafael Leão,pt POR,FWMF,Milan,it Serie A,23-293,1999,20.4,412,582,70.8,7232,2212,197,255,77.3,153,203,75.4,51,76,67.1,6,5.2,4.2,+0.8,36,49,40,10,84,Matches
1442,Paolo Lebas,pt POR,MF,Ajaccio,fr Ligue 1,19-344,2003,0.6,12,16,75.0,208,72,6,10,60.0,6,6,100.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,2,Matches
1443,Benjamin Lecomte,fr FRA,GK,Espanyol,es La Liga,31-338,1991,10.0,179,275,65.1,6302,5234,21,21,100.0,66,67,98.5,92,184,50.0,0,0.1,0.0,-0.1,1,5,0,0,0,Matches
1444,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,31-338,1991,9.0,200,289,69.2,5772,4352,39,39,100.0,80,82,97.6,81,168,48.2,0,0.1,0.0,-0.1,1,2,0,0,0,Matches
1445,Jeremías Ledesma,ar ARG,GK,Cádiz,es La Liga,30-045,1993,25.0,421,835,50.4,16287,13797,44,45,97.8,150,153,98.0,227,633,35.9,0,0.0,0.1,0.0,1,33,1,0,0,Matches
1446,Pierre Lees-Melou,fr FRA,MF,Brest,fr Ligue 1,29-309,1993,21.7,833,1006,82.8,16919,5861,309,351,88.0,346,388,89.2,151,223,67.7,1,1.2,1.7,-0.2,9,102,11,4,125,Matches
1447,Diogo Leite,pt POR,DF,Union Berlin,de Bundesliga,24-066,1999,19.3,846,1078,78.5,17137,6257,271,319,85.0,452,528,85.6,115,199,57.8,1,0.4,0.6,+0.6,4,76,3,0,89,Matches
1448,Maxim Leitsch,de GER,DF,Mainz 05,de Bundesliga,24-316,1998,7.4,249,328,75.9,4691,1687,105,127,82.7,114,142,80.3,27,50,54.0,0,0.0,0.1,0.0,1,16,1,0,25,Matches
1449,Florian Lejeune,fr FRA,DF,Rayo Vallecano,es La Liga,31-314,1991,22.5,912,1155,79.0,21421,8136,203,235,86.4,531,582,91.2,174,312,55.8,0,0.2,0.3,-0.2,7,95,4,0,64,Matches
1450,Iñigo Lekue,es ESP,DF,Athletic Club,es La Liga,29-330,1993,13.9,604,779,77.5,10094,3579,296,341,86.8,251,319,78.7,44,81,54.3,1,0.7,0.7,+0.3,13,55,9,7,62,Matches
1451,Thomas Lemar,fr FRA,MF,Atlético Madrid,es La Liga,27-138,1995,9.4,480,562,85.4,7307,2024,277,295,93.9,139,162,85.8,44,65,67.7,2,1.6,1.3,+0.4,21,50,14,5,51,Matches
1452,Félix Lemaréchal,ci CIV,MF,Brest,fr Ligue 1,19-235,2003,1.6,35,41,85.4,587,106,15,18,83.3,18,21,85.7,1,1,100.0,0,0.1,0.1,-0.1,2,2,0,0,3,Matches
1453,Dexter Lembikisa,jm JAM,DF,Wolves,eng Premier League,19-146,2003,0.3,10,13,76.9,180,73,5,5,100.0,5,5,100.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,3,Matches
1454,Mario Lemina,ga GAB,MF,Wolves,eng Premier League,29-210,1993,6.6,284,324,87.7,5130,1551,125,137,91.2,127,141,90.1,28,33,84.8,0,0.2,0.4,-0.2,2,18,5,1,27,Matches
1455,Mario Lemina,ga GAB,MFDF,Nice,fr Ligue 1,29-210,1993,9.3,569,637,89.3,9544,2701,253,268,94.4,252,265,95.1,42,75,56.0,0,0.1,0.2,-0.1,4,44,3,0,46,Matches
1456,Tim Lemperle,de GER,FWMF,Köln,de Bundesliga,21-053,2002,1.3,26,47,55.3,323,123,15,22,68.2,5,12,41.7,2,3,66.7,0,1.0,1.0,-1.0,3,3,2,0,5,Matches
1457,Clément Lenglet,fr FRA,DF,Tottenham,eng Premier League,27-286,1995,15.2,874,1009,86.6,16341,5991,325,336,96.7,446,495,90.1,88,148,59.5,2,0.6,0.7,+1.4,5,54,8,4,58,Matches
1458,Bernd Leno,de GER,GK,Fulham,eng Premier League,31-026,1992,25.0,736,942,78.1,18452,11405,168,168,100.0,403,405,99.5,165,367,45.0,0,0.0,0.0,0.0,1,10,0,0,0,Matches
1459,Christopher Lenz,de GER,DF,Eint Frankfurt,de Bundesliga,28-189,1994,8.4,331,449,73.7,6079,2434,146,167,87.4,129,170,75.9,47,90,52.2,2,1.6,2.0,+0.4,16,23,12,7,30,Matches
1460,Sergio León,es ESP,FW,Valladolid,es La Liga,34-083,1989,11.6,107,162,66.0,1617,269,58,74,78.4,34,50,68.0,6,14,42.9,1,0.8,0.4,+0.2,10,4,4,1,15,Matches
1461,Johann Lepenant,fr FRA,MF,Lyon,fr Ligue 1,20-159,2002,17.5,974,1093,89.1,16603,3727,417,473,88.2,442,471,93.8,77,89,86.5,1,0.6,1.1,+0.4,7,96,5,1,106,Matches
1462,Mehdi Léris,dz ALG,MFDF,Sampdoria,it Serie A,24-311,1998,20.0,447,677,66.0,6535,2254,267,320,83.4,128,207,61.8,32,68,47.1,1,1.1,1.1,-0.1,15,34,15,4,47,Matches
1463,Jefferson Lerma,co COL,MFDF,Bournemouth,eng Premier League,28-156,1994,25.3,880,1083,81.3,13720,4981,444,505,87.9,355,404,87.9,49,106,46.2,0,0.6,1.3,-0.6,9,79,14,1,86,Matches
1464,Benjamin Leroy,fr FRA,GK,Ajaccio,fr Ligue 1,33-357,1989,24.1,401,658,60.9,14085,12107,41,41,100.0,164,168,97.6,196,444,44.1,0,0.0,0.1,0.0,0,18,0,0,1,Matches
1465,Léo Leroy,fr FRA,MF,Montpellier,fr Ligue 1,23-044,2000,9.1,289,389,74.3,4569,1376,154,200,77.0,95,117,81.2,22,40,55.0,0,0.8,0.8,-0.8,9,24,9,2,42,Matches
1466,Ruan Levine,br BRA,MF,Ajaccio,fr Ligue 1,24-070,1999,0.3,12,13,92.3,177,18,5,5,100.0,6,6,100.0,0,0,,0,0.1,0.0,-0.1,1,1,0,0,1,Matches
1467,Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,34-221,1988,19.6,378,492,76.8,5283,1020,232,272,85.3,102,135,75.6,21,28,75.0,5,3.6,2.9,+1.4,20,30,22,2,63,Matches
1468,Jamie Leweling,de GER,FW,Union Berlin,de Bundesliga,22-032,2001,1.9,24,33,72.7,346,40,12,15,80.0,6,10,60.0,3,4,75.0,1,0.2,0.2,+0.8,1,0,1,1,2,Matches
1469,Jamal Lewis,nir NIR,DF,Newcastle Utd,eng Premier League,25-064,1998,0.1,10,12,83.3,163,71,2,2,100.0,7,8,87.5,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
1470,Rico Lewis,eng ENG,DFMF,Manchester City,eng Premier League,18-129,2004,6.0,389,423,92.0,5624,846,239,250,95.6,130,138,94.2,11,15,73.3,0,0.8,1.0,-0.8,7,22,8,3,31,Matches
1471,Keane Lewis-Potter,eng ENG,FWMF,Brentford,eng Premier League,22-036,2001,3.6,49,86,57.0,600,118,33,50,66.0,12,17,70.6,1,10,10.0,1,1.2,0.3,-0.2,5,2,3,1,6,Matches
1472,Dimitri Liénard,fr FRA,DFMF,Strasbourg,fr Ligue 1,35-045,1988,16.3,682,927,73.6,12886,3858,277,324,85.5,279,350,79.7,102,214,47.7,0,2.0,2.5,-2.0,30,47,25,9,65,Matches
1473,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,26-262,1996,22.3,1158,1359,85.2,25275,7334,273,311,87.8,710,761,93.3,168,259,64.9,0,0.3,0.5,-0.3,3,62,3,0,70,Matches
1474,Matthijs de Ligt,nl NED,DF,Bayern Munich,de Bundesliga,23-230,1999,17.8,1265,1391,90.9,25043,8324,376,401,93.8,771,815,94.6,114,152,75.0,0,0.1,0.5,-0.1,4,98,5,1,87,Matches
1475,Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,28-256,1994,6.0,361,391,92.3,6288,2001,135,143,94.4,200,209,95.7,21,34,61.8,0,0.0,0.0,0.0,0,19,0,0,17,Matches
1476,Jesper Lindstrøm,dk DEN,MFFW,Eint Frankfurt,de Bundesliga,23-029,2000,17.0,292,463,63.1,3877,1042,188,250,75.2,72,114,63.2,14,38,36.8,2,2.8,3.1,-0.8,19,16,14,2,27,Matches
1477,Karol Linetty,pl POL,MF,Torino,it Serie A,28-056,1995,17.8,690,808,85.4,11386,2614,329,371,88.7,294,320,91.9,48,73,65.8,0,0.8,0.6,-0.8,18,61,5,1,60,Matches
1478,Jesse Lingard,eng ENG,FWMF,Nott'ham Forest,eng Premier League,30-105,1992,10.2,236,297,79.5,3558,897,121,137,88.3,88,104,84.6,14,28,50.0,0,0.7,0.5,-0.7,11,27,7,1,33,Matches
1479,Pol Lirola,es ESP,DF,Elche,es La Liga,25-229,1997,6.3,208,288,72.2,3317,1156,114,133,85.7,70,95,73.7,14,35,40.0,0,0.7,0.6,-0.7,6,10,3,2,19,Matches
1480,Mateusz Lis,pl POL,GK,Troyes,fr Ligue 1,26-031,1997,7.0,181,263,68.8,4827,3669,45,46,97.8,74,78,94.9,58,135,43.0,0,0.0,0.0,0.0,0,5,0,0,0,Matches
1481,Marcin Listkowski,pl POL,MFFW,Lecce,it Serie A,25-048,1998,0.9,16,24,66.7,204,71,14,16,87.5,0,3,0.0,1,4,25.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
1482,Dejan Ljubicic,at AUT,MF,Köln,de Bundesliga,25-173,1997,12.7,287,390,73.6,4615,1405,154,187,82.4,96,126,76.2,27,43,62.8,0,1.1,1.2,-1.1,18,24,13,3,42,Matches
1483,Javier Llabrés,es ESP,FW,Mallorca,es La Liga,20-200,2002,0.2,4,4,100.0,37,12,4,4,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
1484,Diego Llorente,es ESP,DF,Leeds United,eng Premier League,29-226,1993,7.2,356,429,83.0,6969,2284,118,130,90.8,203,228,89.0,33,59,55.9,0,0.0,0.0,0.0,0,17,0,0,27,Matches
1485,Diego Llorente,es ESP,DF,Roma,it Serie A,29-226,1993,0.4,7,8,87.5,106,41,3,4,75.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
1486,Marcos Llorente,es ESP,MFDF,Atlético Madrid,es La Liga,28-059,1995,15.9,539,666,80.9,7769,2089,299,326,91.7,172,218,78.9,31,51,60.8,2,2.8,2.5,-0.8,23,28,24,3,72,Matches
1487,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,36-094,1986,21.0,493,625,78.9,11886,7412,151,153,98.7,211,212,99.5,131,256,51.2,0,0.0,0.0,0.0,0,12,0,0,0,Matches
1488,Giovani Lo Celso,ar ARG,MFFW,Villarreal,es La Liga,26-355,1996,6.1,242,288,84.0,3730,1024,130,145,89.7,87,102,85.3,17,22,77.3,0,0.2,0.4,-0.2,4,19,9,0,41,Matches
1489,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,28-125,1994,25.2,1570,1664,94.4,25796,6406,779,810,96.2,628,659,95.3,122,139,87.8,1,0.7,0.8,+0.3,12,154,9,0,119,Matches
1490,Manuel Locatelli,it ITA,MF,Juventus,it Serie A,25-081,1998,19.9,815,1007,80.9,15072,5084,362,413,87.7,327,378,86.5,108,164,65.9,0,0.9,0.8,-0.9,11,104,10,1,98,Matches
1491,Luka Lochoshvili,ge GEO,DF,Cremonese,it Serie A,24-305,1998,13.3,419,535,78.3,7734,2899,156,173,90.2,232,265,87.5,29,81,35.8,1,1.0,0.2,0.0,4,35,3,1,61,Matches
1492,Banzouzi Locko,fr FRA,DF,Reims,fr Ligue 1,20-328,2002,11.8,362,470,77.0,5529,2311,199,229,86.9,129,177,72.9,21,38,55.3,0,0.5,0.5,-0.5,8,44,7,3,55,Matches
1493,Banzouzi Locko,fr FRA,DF,Brest,fr Ligue 1,20-328,2002,1.5,56,66,84.8,1020,330,22,22,100.0,26,32,81.3,6,9,66.7,0,0.0,0.1,0.0,0,3,1,1,4,Matches
1494,Renan Lodi,br BRA,DF,Nott'ham Forest,eng Premier League,24-356,1998,16.9,480,686,70.0,8420,2593,225,264,85.2,199,272,73.2,46,116,39.7,0,0.6,0.7,-0.6,8,22,13,7,24,Matches
1495,Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,eng Premier League,27-066,1996,14.0,619,728,85.0,9209,2330,367,414,88.6,214,237,90.3,27,35,77.1,0,1.2,1.5,-1.2,11,62,10,0,70,Matches
1496,Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,25-151,1997,22.4,733,922,79.5,12203,3515,356,414,86.0,289,336,86.0,66,110,60.0,3,2.9,2.3,+0.1,19,66,17,4,97,Matches
1497,Ademola Lookman,ng NGA,FWMF,Atalanta,it Serie A,25-161,1997,17.1,433,575,75.3,5974,1782,245,287,85.4,131,173,75.7,21,39,53.8,4,5.9,4.7,-1.9,33,26,28,4,65,Matches
1498,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,32-180,1990,21.3,491,633,77.6,12788,9187,102,102,100.0,244,246,99.2,144,281,51.2,0,0.0,0.0,0.0,0,4,0,0,0,Matches
1499,Rony Lopes,pt POR,MFFW,Troyes,fr Ligue 1,27-092,1995,19.2,444,646,68.7,7725,2362,216,270,80.0,153,212,72.2,57,116,49.1,5,4.3,3.3,+0.7,42,48,19,6,70,Matches
1500,David López,es ESP,DF,Girona,es La Liga,33-172,1989,12.9,746,830,89.9,14123,4973,263,284,92.6,415,431,96.3,60,98,61.2,1,0.3,0.2,+0.7,5,48,1,0,39,Matches
1501,Diego López,es ESP,GK,Rayo Vallecano,es La Liga,41-147,1981,1.0,22,29,75.9,462,309,7,8,87.5,11,11,100.0,4,10,40.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
1502,Maxime Lopez,fr FRA,MF,Sassuolo,it Serie A,25-116,1997,16.8,892,1024,87.1,15255,5452,411,454,90.5,373,419,89.0,84,112,75.0,0,1.6,1.4,-1.6,20,112,7,2,135,Matches
1503,Pau López,es ESP,GK,Marseille,fr Ligue 1,28-107,1994,24.0,621,802,77.4,16742,10591,102,104,98.1,322,328,98.2,195,365,53.4,2,0.4,0.3,+1.6,2,11,1,0,1,Matches
1504,Unai López,es ESP,MF,Rayo Vallecano,es La Liga,27-151,1995,10.1,551,684,80.6,10460,2822,232,260,89.2,214,246,87.0,90,137,65.7,2,0.8,1.2,+1.2,15,77,8,3,71,Matches
