,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
161,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,26-280,1999,6.7,482,508,94.9,8174,2696,203,207,98.1,247,254,97.2,25,38,65.8,0,0.0,0.1,0.0,2,33,2,0,21,Matches
162,Daniel Ballard,nir NIR,DF,Sunderland,eng Premier League,26-041,1999,4.5,115,141,81.6,2099,837,36,43,83.7,67,74,90.5,7,18,38.9,0,0.6,0.3,-0.6,4,7,1,0,7,Matches
163,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,33-305,1992,1.5,84,101,83.2,1458,607,37,41,90.2,40,48,83.3,6,10,60.0,0,0.0,0.1,0.0,0,9,0,0,17,Matches
164,Fodé Ballo-Touré,sn SEN,DF,Metz,fr Ligue 1,28-303,1997,2.5,139,155,89.7,1958,391,84,86,97.7,44,51,86.3,4,6,66.7,0,0.2,0.1,-0.2,1,7,2,1,7,Matches
165,Folarin Balogun,us USA,FW,Monaco,fr Ligue 1,24-122,2001,6.0,80,115,69.6,934,119,56,68,82.4,13,22,59.1,3,6,50.0,1,0.5,0.3,+0.5,3,2,1,0,7,Matches
166,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,35-191,1990,0.1,5,8,62.5,68,9,3,4,75.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
167,Aladji Bamba,fr FRA,MF,Monaco,fr Ligue 1,19-111,2006,1.5,114,124,91.9,1815,472,53,60,88.3,49,49,100.0,8,9,88.9,0,0.0,0.2,0.0,0,11,1,0,10,Matches
168,Mohamed Bamba,ci CIV,FW,Lorient,fr Ligue 1,23-327,2001,5.5,61,85,71.8,898,115,34,42,81.0,17,23,73.9,4,6,66.7,1,0.8,0.5,+0.2,3,1,1,0,5,Matches
169,Lameck Banda,zm ZAM,FW,Lecce,it Serie A,24-277,2001,2.5,49,65,75.4,742,127,27,28,96.4,18,21,85.7,3,6,50.0,0,0.2,0.2,-0.2,2,1,4,1,4,Matches
170,Noahkai Banks,us USA,DF,Augsburg,de Bundesliga,18-336,2006,4.2,198,220,90.0,3782,1156,63,70,90.0,112,120,93.3,22,26,84.6,0,0.0,0.1,0.0,0,22,1,0,20,Matches
171,Ezechiel Banzuzi,nl NED,MF,RB Leipzig,de Bundesliga,20-259,2005,3.0,87,112,77.7,1228,381,53,65,81.5,30,38,78.9,3,6,50.0,1,0.2,0.1,+0.8,4,5,1,0,9,Matches
172,Tommaso Barbieri,it ITA,FWDF,Cremonese,it Serie A,23-068,2002,3.5,67,109,61.5,1158,369,31,41,75.6,27,42,64.3,7,12,58.3,0,0.4,0.2,-0.4,4,6,4,1,10,Matches
173,Valentín Barco,ar ARG,MFDF,Strasbourg,fr Ligue 1,21-102,2004,9.0,463,561,82.5,7444,2442,231,256,90.2,180,205,87.8,32,66,48.5,3,3.2,2.5,-0.2,14,35,19,1,66,Matches
174,Bradley Barcola,fr FRA,FW,Paris S-G,fr Ligue 1,23-061,2002,7.0,240,286,83.9,3447,743,150,164,91.5,68,78,87.2,13,18,72.2,0,0.8,1.3,-0.8,10,11,14,1,26,Matches
175,Melvin Bard,fr FRA,DFMF,Nice,fr Ligue 1,24-361,2000,10.5,372,497,74.8,6214,2006,177,201,88.1,168,201,83.6,21,70,30.0,0,0.4,0.5,-0.4,7,32,9,8,36,Matches
176,Roony Bardghji,se SWE,FW,Barcelona,es La Liga,19-352,2005,1.9,79,98,80.6,1295,286,40,47,85.1,31,37,83.8,7,9,77.8,0,0.5,0.8,-0.5,5,3,7,3,10,Matches
