,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
177,Nicolò Barella,it ITA,MF,Inter,it Serie A,28-268,1997,7.9,462,567,81.5,8502,2460,199,222,89.6,209,243,86.0,51,82,62.2,3,2.0,1.7,+1.0,20,55,23,5,66,Matches
178,Kike Barja,es ESP,MFFW,Osasuna,es La Liga,28-215,1997,0.6,16,32,50.0,353,53,8,10,80.0,2,8,25.0,5,10,50.0,0,0.1,0.1,-0.1,1,1,1,1,0,Matches
179,Ross Barkley,eng ENG,MF,Aston Villa,eng Premier League,31-332,1993,0.7,21,24,87.5,373,151,9,10,90.0,9,10,90.0,2,3,66.7,0,0.0,0.0,0.0,1,2,1,0,6,Matches
180,Ashley Barnes,eng ENG,FW,Burnley,eng Premier League,36-003,1989,0.1,1,5,20.0,15,12,1,2,50.0,0,1,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
181,Harvey Barnes,eng ENG,FW,Newcastle Utd,eng Premier League,27-328,1997,4.1,82,113,72.6,1218,392,51,58,87.9,24,35,68.6,5,10,50.0,0,0.8,0.9,-0.8,6,6,9,4,16,Matches
182,Ander Barrenetxea,es ESP,MFFW,Real Sociedad,es La Liga,23-310,2001,9.2,272,370,73.5,4533,1361,128,144,88.9,116,147,78.9,21,51,41.2,3,2.9,2.7,+0.1,21,16,14,4,43,Matches
183,Pablo Barrios,es ESP,MF,Atlético Madrid,es La Liga,22-140,2003,8.8,462,545,84.8,7322,1954,242,265,91.3,177,199,88.9,33,55,60.0,0,0.3,0.9,-0.3,7,57,14,3,64,Matches
184,Thierno Barry,fr FRA,FW,Everton,eng Premier League,23-012,2002,2.8,32,47,68.1,390,30,20,26,76.9,10,17,58.8,0,1,0.0,0,0.0,0.0,0.0,1,0,0,0,2,Matches
185,Davide Bartesaghi,it ITA,DFFW,Milan,it Serie A,19-308,2005,4.2,143,182,78.6,2386,564,70,78,89.7,54,69,78.3,15,27,55.6,0,0.6,0.7,-0.6,7,8,4,3,7,Matches
186,Marc Bartra,es ESP,DF,Betis,es La Liga,34-291,1991,5.5,245,286,85.7,5090,1756,78,83,94.0,122,131,93.1,40,63,63.5,0,0.0,0.1,0.0,1,18,1,0,12,Matches
187,Federico Baschirotto,it ITA,DF,Cremonese,it Serie A,29-043,1996,10.0,374,433,86.4,7297,2554,122,129,94.6,203,219,92.7,46,78,59.0,0,0.0,0.1,0.0,0,15,2,0,16,Matches
188,Toma Bašić,hr CRO,MF,Lazio,it Serie A,28-342,1996,3.9,124,145,85.5,1715,262,75,84,89.3,37,43,86.0,5,9,55.6,1,0.2,0.0,+0.8,2,10,0,0,6,Matches
189,Calvin Bassey,ng NGA,DF,Fulham,eng Premier League,25-306,1999,9.1,486,559,86.9,8736,2968,190,206,92.2,256,270,94.8,35,67,52.2,0,0.0,0.1,0.0,1,35,2,0,22,Matches
190,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,26-203,1999,7.6,533,628,84.9,10646,3149,196,210,93.3,253,282,89.7,80,118,67.8,2,0.7,0.9,+1.3,8,51,14,6,46,Matches
191,Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,29-186,1996,11.0,277,409,67.7,8462,6738,42,42,100.0,119,122,97.5,115,243,47.3,0,0.0,0.0,0.0,1,11,2,0,0,Matches
192,Michy Batshuayi,be BEL,FW,Eint Frankfurt,de Bundesliga,32-031,1993,0.7,14,19,73.7,216,47,8,11,72.7,5,7,71.4,1,1,100.0,0,0.0,0.1,0.0,0,2,0,0,0,Matches
193,Martin Baturina,hr CRO,FWMF,Como,it Serie A,22-259,2003,1.1,41,48,85.4,599,157,26,28,92.9,12,15,80.0,3,4,75.0,0,0.3,0.4,-0.3,5,2,0,0,1,Matches
194,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,35-153,1990,8.0,227,299,75.9,5622,4185,69,69,100.0,104,104,100.0,53,125,42.4,0,0.0,0.0,0.0,0,12,0,0,1,Matches
195,Christoph Baumgartner,at AUT,MF,RB Leipzig,de Bundesliga,26-093,1999,7.6,183,245,74.7,2738,760,102,124,82.3,58,76,76.3,12,24,50.0,2,0.8,0.7,+1.2,11,16,9,0,31,Matches
196,Altay Bayındır,tr TUR,GK,Manchester Utd,eng Premier League,27-202,1998,6.0,122,192,63.5,3438,2646,30,30,100.0,52,53,98.1,40,109,36.7,0,0.2,0.0,-0.2,1,8,1,0,0,Matches
197,Vakoun Bayo,ci CIV,FW,Udinese,it Serie A,28-296,1997,2.8,59,79,74.7,805,130,34,45,75.6,19,24,79.2,2,2,100.0,1,0.4,0.1,+0.6,2,5,1,0,6,Matches
198,Ihlas Bebou,tg TOG,FW,Hoffenheim,de Bundesliga,31-193,1994,0.6,4,6,66.7,61,22,2,3,66.7,2,2,100.0,0,0,,0,0.6,0.2,-0.6,1,1,0,0,1,Matches
199,Samu Becerra,es ESP,DFMF,Rayo Vallecano,es La Liga,19-305,2006,0.1,12,14,85.7,157,46,7,8,87.5,4,5,80.0,0,0,,0,0.0,0.1,0.0,1,0,1,1,0,Matches
200,Adrian Beck,de GER,MFFW,Heidenheim,de Bundesliga,28-146,1997,3.4,104,132,78.8,1614,278,59,67,88.1,35,42,83.3,8,12,66.7,0,0.3,0.4,-0.3,6,6,6,0,15,Matches
201,Sheraldo Becker,sr SUR,MF,Osasuna,es La Liga,30-266,1995,1.0,17,31,54.8,324,126,9,13,69.2,7,12,58.3,1,3,33.3,0,0.3,0.1,-0.3,2,2,2,1,2,Matches
202,Donny van de Beek,nl NED,MF,Girona,es La Liga,28-198,1997,0.5,13,14,92.9,198,47,7,7,100.0,6,7,85.7,0,0,,0,0.0,0.1,0.0,0,2,0,0,2,Matches
203,Tjaš Begić,si SVN,DF,Parma,it Serie A,22-125,2003,0.0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
204,Maximilian Beier,de GER,MFFW,Dortmund,de Bundesliga,23-016,2002,5.5,115,158,72.8,1624,289,64,85,75.3,45,50,90.0,2,7,28.6,1,0.7,1.2,+0.3,4,2,8,1,8,Matches
205,Ismael Bekhoucha,ma MAR,DF,Getafe,es La Liga,20-347,2004,1.2,14,24,58.3,263,142,8,11,72.7,4,6,66.7,2,4,50.0,1,1.0,0.0,0.0,1,2,0,0,2,Matches
206,Reda Belahyane,ma MAR,MF,Lazio,it Serie A,21-154,2004,1.7,55,63,87.3,746,165,37,43,86.0,15,17,88.2,2,2,100.0,1,1.1,0.7,-0.1,3,6,2,0,6,Matches
207,Rafik Belghali,dz ALG,DFFW,Hellas Verona,it Serie A,23-148,2002,6.4,155,201,77.1,2217,836,78,89,87.6,61,78,78.2,5,16,31.3,0,0.6,1.2,-0.6,10,12,6,2,16,Matches
208,Haris Belkebla,dz ALG,MF,Angers,fr Ligue 1,31-278,1994,9.9,324,365,88.8,5335,1308,153,163,93.9,145,160,90.6,18,24,75.0,0,0.1,0.1,-0.1,4,12,2,0,25,Matches
209,Yassin Belkhdim,fr FRA,MFFW,Angers,fr Ligue 1,23-261,2002,9.4,264,325,81.2,4254,1246,141,161,87.6,95,108,88.0,21,32,65.6,2,1.0,0.7,+1.0,8,15,5,2,24,Matches
210,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,34-070,1991,3.6,107,154,69.5,2167,884,36,43,83.7,57,74,77.0,14,32,43.8,0,0.4,0.3,-0.4,3,10,0,0,7,Matches
211,Armel Bella Kotchap,de GER,DF,Hellas Verona,it Serie A,23-326,2001,2.6,81,96,84.4,1382,462,38,41,92.7,36,41,87.8,5,10,50.0,0,0.1,0.2,-0.1,1,4,1,0,6,Matches
212,Raoul Bellanova,it ITA,DF,Atalanta,it Serie A,25-169,2000,6.3,234,295,79.3,3840,1101,126,140,90.0,88,107,82.2,17,42,40.5,0,1.0,1.1,-1.0,14,11,10,7,21,Matches
213,Jean-Ricner Bellegarde,ht HAI,MFFW,Wolves,eng Premier League,27-128,1998,4.5,133,175,76.0,2438,609,57,65,87.7,59,74,79.7,16,30,53.3,0,0.3,0.4,-0.3,3,9,12,2,26,Matches
214,Héctor Bellerín,es ESP,DF,Betis,es La Liga,30-228,1995,8.6,433,503,86.1,6688,2569,237,254,93.3,166,192,86.5,22,37,59.5,1,1.2,1.2,-0.2,13,32,12,5,44,Matches
215,Jobe Bellingham,eng ENG,MF,Dortmund,de Bundesliga,20-040,2005,2.7,141,161,87.6,2311,531,69,82,84.1,63,67,94.0,8,10,80.0,0,0.2,0.4,-0.2,2,15,3,0,22,Matches
216,Jude Bellingham,eng ENG,MF,Real Madrid,es La Liga,22-126,2003,4.2,203,237,85.7,3437,716,103,114,90.4,73,80,91.3,23,32,71.9,1,1.0,0.6,0.0,9,23,9,0,30,Matches
217,Jeanuël Belocian,fr FRA,DF,Leverkusen,de Bundesliga,20-258,2005,1.1,56,64,87.5,980,324,23,25,92.0,26,28,92.9,6,9,66.7,0,0.1,0.1,-0.1,1,11,1,0,7,Matches
218,Andrea Belotti,it ITA,FW,Cagliari,it Serie A,31-317,1993,2.1,23,31,74.2,339,54,11,14,78.6,9,11,81.8,2,3,66.7,0,0.0,0.0,0.0,1,2,1,0,3,Matches
219,Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,26-272,1999,2.5,107,119,89.9,1718,470,51,53,96.2,50,54,92.6,4,7,57.1,0,0.1,0.1,-0.1,1,14,1,0,13,Matches
220,Lucas Beltrán,ar ARG,FW,Valencia,es La Liga,24-218,2001,3.0,60,78,76.9,814,161,33,34,97.1,21,28,75.0,2,2,100.0,0,0.2,0.2,-0.2,2,4,0,0,7,Matches
221,Eliesse Ben Seghir,ma MAR,MFFW,Monaco,fr Ligue 1,20-259,2005,0.5,19,26,73.1,281,80,10,12,83.3,8,10,80.0,1,4,25.0,0,0.0,0.0,0.0,0,1,2,0,2,Matches
222,Eliesse Ben Seghir,ma MAR,MF,Leverkusen,de Bundesliga,20-259,2005,1.7,68,84,81.0,912,200,45,52,86.5,16,22,72.7,3,4,75.0,0,0.9,0.8,-0.9,5,5,2,1,7,Matches
223,Carlos Benavídez,uy URU,MF,Alavés,es La Liga,27-217,1998,0.3,14,16,87.5,209,36,10,11,90.9,3,3,100.0,1,1,100.0,0,0.0,0.0,0.0,1,1,0,0,2,Matches
224,Adrian Benedyczak,pl POL,MFFW,Parma,it Serie A,24-343,2000,1.3,18,33,54.5,242,91,13,19,68.4,4,7,57.1,1,3,33.3,1,0.7,0.4,+0.3,3,1,0,0,1,Matches
225,Yassine Benhattab,fr FRA,MFFW,Nantes,fr Ligue 1,22-349,2002,4.1,87,130,66.9,1372,405,48,60,80.0,31,42,73.8,6,18,33.3,0,0.6,0.7,-0.6,5,4,5,2,9,Matches
226,Iker Benito,es ESP,DFFW,Osasuna,es La Liga,23-084,2002,1.7,73,93,78.5,1202,309,40,44,90.9,20,31,64.5,10,13,76.9,0,0.2,0.5,-0.2,2,1,3,3,1,Matches
227,Ramy Bensebaini,dz ALG,DF,Dortmund,de Bundesliga,30-200,1995,8.5,610,684,89.2,11355,3542,216,223,96.9,339,368,92.1,53,81,65.4,0,0.2,1.4,-0.2,5,84,21,2,96,Matches
228,Nabil Bentaleb,dz ALG,MF,Lille,fr Ligue 1,30-343,1994,2.6,188,224,83.9,3603,1450,67,73,91.8,96,107,89.7,20,32,62.5,0,0.2,0.5,-0.2,2,34,4,0,29,Matches
229,Rodrigo Bentancur,uy URU,MF,Tottenham,eng Premier League,28-130,1997,7.2,305,355,85.9,5114,1118,133,154,86.4,155,167,92.8,14,23,60.9,1,0.5,0.4,+0.5,5,23,3,0,26,Matches
230,Lucas Beraldo,br BRA,DF,Paris S-G,fr Ligue 1,21-343,2003,6.4,620,648,95.7,10556,4441,254,260,97.7,328,335,97.9,29,40,72.5,0,0.0,0.4,0.0,1,48,0,0,35,Matches
231,Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,31-093,1994,6.5,150,200,75.0,2484,640,87,98,88.8,47,56,83.9,14,32,43.8,2,1.2,1.0,+0.8,8,11,9,1,29,Matches
232,Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,35-265,1990,10.5,555,664,83.6,9167,4004,269,305,88.2,256,295,86.8,29,47,61.7,0,0.8,0.6,-0.8,6,64,5,3,71,Matches
233,Álex Berenguer,es ESP,FWMF,Athletic Club,es La Liga,30-121,1995,7.4,197,282,69.9,3226,1019,109,123,88.6,57,80,71.3,23,64,35.9,0,1.5,1.7,-1.5,16,11,15,6,24,Matches
234,Sander Berge,no NOR,MF,Fulham,eng Premier League,27-261,1998,9.6,389,440,88.4,6644,1776,171,190,90.0,189,200,94.5,24,30,80.0,0,0.5,0.4,-0.5,6,36,6,1,46,Matches
235,Lucas Bergvall,se SWE,MFFW,Tottenham,eng Premier League,19-273,2006,4.6,115,161,71.4,1932,531,53,63,84.1,48,61,78.7,10,28,35.7,1,0.3,0.2,+0.7,2,14,4,1,20,Matches
236,Medon Berisha,al ALB,MF,Lecce,it Serie A,22-012,2003,5.5,200,271,73.8,4218,1064,72,76,94.7,77,93,82.8,44,81,54.3,1,0.8,0.9,+0.2,9,25,2,1,32,Matches
237,Anthony Bermont,fr FRA,DFMF,Lens,fr Ligue 1,20-265,2005,0.5,27,37,73.0,425,129,17,21,81.0,7,11,63.6,2,2,100.0,0,0.0,0.1,0.0,0,2,4,0,7,Matches
238,Adrian Bernabe,es ESP,MFDF,Parma,it Serie A,24-160,2001,7.7,287,360,79.7,5290,1601,111,130,85.4,134,156,85.9,35,56,62.5,0,0.8,0.7,-0.8,10,39,4,0,43,Matches
239,Marc Bernal,es ESP,MF,Barcelona,es La Liga,18-160,2007,0.1,10,12,83.3,131,29,5,7,71.4,3,3,100.0,0,0,,1,0.6,0.2,+0.4,1,2,0,0,1,Matches
240,Federico Bernardeschi,it ITA,FWMF,Bologna,it Serie A,31-259,1994,3.6,132,162,81.5,2635,757,48,50,96.0,61,72,84.7,21,31,67.7,0,1.3,0.8,-1.3,13,13,12,4,22,Matches
241,Bernardo,br BRA,DF,Hoffenheim,de Bundesliga,30-172,1995,7.9,371,480,77.3,5907,2557,178,207,86.0,154,188,81.9,24,51,47.1,0,0.1,0.1,-0.1,3,38,3,0,56,Matches
242,Lorenzo Bernasconi,it ITA,DF,Atalanta,it Serie A,21-351,2003,2.8,146,182,80.2,2574,745,69,77,89.6,58,70,82.9,16,28,57.1,0,0.5,0.5,-0.5,5,5,4,2,11,Matches
243,Antoine Bernede,fr FRA,MF,Hellas Verona,it Serie A,26-160,1999,7.6,188,257,73.2,3054,1077,92,105,87.6,73,97,75.3,15,36,41.7,0,0.5,0.4,-0.5,8,23,7,1,28,Matches
244,Nicolò Bertola,it ITA,DF,Udinese,it Serie A,22-224,2003,3.8,148,180,82.2,2883,963,62,67,92.5,59,69,85.5,25,37,67.6,0,0.0,0.1,0.0,3,14,1,0,12,Matches
245,Jan-Niklas Beste,de GER,FW,Freiburg,de Bundesliga,26-302,1999,5.3,105,161,65.2,1931,590,34,44,77.3,47,60,78.3,16,34,47.1,0,0.8,0.9,-0.8,8,8,3,2,9,Matches
246,Beto,gw GNB,FW,Everton,eng Premier League,27-275,1998,6.3,46,76,60.5,536,49,33,49,67.3,10,20,50.0,0,0,,0,0.4,0.1,-0.4,3,4,0,0,2,Matches
247,Sam Beukema,nl NED,DF,Napoli,it Serie A,26-350,1998,4.0,280,294,95.2,5012,1594,110,111,99.1,152,154,98.7,15,25,60.0,0,0.0,0.0,0.0,1,20,0,0,26,Matches
248,Matteo Bianchetti,it ITA,DF,Cremonese,it Serie A,32-230,1993,8.7,370,451,82.0,6791,2676,161,174,92.5,160,182,87.9,44,81,54.3,1,0.2,0.1,+0.8,1,21,1,0,21,Matches
249,Mika Biereth,dk DEN,FWMF,Monaco,fr Ligue 1,22-267,2003,6.2,62,106,58.5,887,210,34,56,60.7,22,32,68.8,1,2,50.0,0,0.2,0.6,-0.2,4,4,5,0,9,Matches
250,Pedro Bigas,es ESP,DF,Elche,es La Liga,35-048,1990,8.6,589,665,88.6,10089,3582,265,273,97.1,277,296,93.6,40,80,50.0,1,0.2,0.2,+0.8,3,61,4,2,40,Matches
251,Jaka Bijol,si SVN,DF,Leeds United,eng Premier League,26-270,1999,2.0,126,135,93.3,2334,797,48,50,96.0,66,68,97.1,11,14,78.6,0,0.1,0.0,-0.1,1,6,0,0,2,Matches
252,Cristiano Biraghi,it ITA,DFMF,Torino,it Serie A,33-062,1992,4.9,151,212,71.2,2936,1396,55,63,87.3,70,91,76.9,22,46,47.8,0,0.5,0.7,-0.5,7,14,8,4,21,Matches
253,Tom Bischof,de GER,DFMF,Bayern Munich,de Bundesliga,20-127,2005,3.4,300,326,92.0,4160,1134,182,188,96.8,99,107,92.5,8,12,66.7,2,0.8,0.8,+1.2,8,24,6,1,26,Matches
254,Leonardo Bittencourt,de GER,MF,Werder Bremen,de Bundesliga,31-318,1993,2.0,112,134,83.6,1778,480,52,59,88.1,51,54,94.4,4,13,30.8,0,0.2,0.4,-0.2,2,12,1,0,9,Matches
255,Emmanuel Biumla,fr FRA,DF,Angers,fr Ligue 1,20-178,2005,1.5,61,73,83.6,1054,419,22,26,84.6,37,38,97.4,2,6,33.3,0,0.0,0.0,0.0,0,0,0,0,1,Matches
256,Marco Bizot,nl NED,GK,Aston Villa,eng Premier League,34-237,1991,2.0,46,67,68.7,1272,836,10,10,100.0,22,22,100.0,14,35,40.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
257,Antonio Blanco,es ESP,MF,Alavés,es La Liga,25-102,2000,8.4,428,519,82.5,7578,2292,194,216,89.8,179,214,83.6,43,61,70.5,0,0.2,0.4,-0.2,5,53,3,0,52,Matches
258,Ludovic Blas,fr FRA,MFDF,Rennes,fr Ligue 1,27-306,1997,6.0,195,241,80.9,3319,656,104,112,92.9,68,81,84.0,18,32,56.3,1,1.3,0.8,-0.3,12,13,13,3,35,Matches
259,Daley Blind,nl NED,DF,Girona,es La Liga,35-238,1990,9.6,549,619,88.7,10048,3453,245,253,96.8,246,260,94.6,55,92,59.8,0,0.2,0.4,-0.2,4,49,6,1,46,Matches
260,Adam Boayar,ma MAR,MF,Elche,es La Liga,20-020,2005,0.1,9,9,100.0,160,31,4,4,100.0,3,3,100.0,2,2,100.0,0,0.0,0.0,0.0,0,3,1,0,2,Matches
261,Oscar Bobb,no NOR,MFFW,Manchester City,eng Premier League,22-113,2003,5.0,180,201,89.6,2405,550,120,126,95.2,51,57,89.5,4,7,57.1,1,0.6,0.9,+0.4,9,6,15,2,17,Matches
262,Ben Bobzien,de GER,FW,Mainz 05,de Bundesliga,22-187,2003,0.1,9,11,81.8,126,15,6,7,85.7,1,2,50.0,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
263,Arnaud Bodart,be BEL,GK,Lille,fr Ligue 1,27-236,1998,2.0,62,77,80.5,1613,1167,14,15,93.3,30,31,96.8,17,30,56.7,0,0.0,0.0,0.0,0,4,0,0,0,Matches
264,Sacha Boey,fr FRA,DF,Bayern Munich,de Bundesliga,25-050,2000,5.1,287,338,84.9,3661,779,175,193,90.7,85,98,86.7,5,13,38.5,0,0.2,0.3,-0.2,4,23,1,1,22,Matches
265,Jeremie Boga,ci CIV,FWMF,Nice,fr Ligue 1,28-303,1997,6.5,152,191,79.6,2208,418,87,102,85.3,49,57,86.0,11,17,64.7,2,1.0,0.5,+1.0,12,12,5,0,16,Matches
266,Lamare Bogarde,nl NED,MF,Aston Villa,eng Premier League,21-301,2004,3.1,148,157,94.3,2309,541,73,76,96.1,65,67,97.0,6,7,85.7,0,0.0,0.1,0.0,2,14,1,0,8,Matches
267,Jayden Bogle,eng ENG,DF,Leeds United,eng Premier League,25-098,2000,9.6,271,360,75.3,4541,1389,132,149,88.6,108,136,79.4,22,45,48.9,0,0.2,0.4,-0.2,3,18,8,4,24,Matches
268,Adama Boiro,es ESP,DF,Athletic Club,es La Liga,23-133,2002,0.5,41,45,91.1,682,117,17,18,94.4,23,25,92.0,1,2,50.0,0,0.0,0.0,0.0,0,3,1,1,6,Matches
269,Morgan Bokelé Mputu,cm CMR,FWDF,Metz,fr Ligue 1,21-234,2004,1.9,62,79,78.5,1002,276,38,44,86.4,16,22,72.7,7,10,70.0,0,0.1,0.2,-0.1,1,3,2,2,7,Matches
270,Daniel Boloca,ro ROU,MF,Sassuolo,it Serie A,26-315,1998,1.5,53,57,93.0,804,123,30,31,96.8,18,18,100.0,4,6,66.7,0,0.0,0.0,0.0,1,5,0,0,3,Matches
271,Moïse Bombito,ca CAN,DF,Nice,fr Ligue 1,25-217,2000,1.6,54,64,84.4,976,393,21,24,87.5,30,34,88.2,3,5,60.0,0,0.0,0.0,0.0,0,2,0,0,4,Matches
272,Federico Bonazzoli,it ITA,FW,Cremonese,it Serie A,28-165,1997,5.2,118,147,80.3,1908,377,54,66,81.8,42,49,85.7,13,17,76.5,0,0.3,0.1,-0.3,1,13,1,0,12,Matches
273,Warren Bondo,fr FRA,MF,Cremonese,it Serie A,22-048,2003,7.4,243,274,88.7,3811,1005,124,135,91.9,97,106,91.5,15,19,78.9,0,0.1,0.1,-0.1,2,18,2,0,25,Matches
274,Giovanni Bonfanti,it ITA,DF,Pisa,it Serie A,22-289,2003,3.6,81,134,60.4,1558,771,35,38,92.1,24,38,63.2,17,44,38.6,0,0.1,0.1,-0.1,3,4,3,2,5,Matches
275,Victor Boniface,ng NGA,FWMF,Werder Bremen,de Bundesliga,24-314,2000,2.9,55,79,69.6,854,153,26,36,72.2,20,28,71.4,4,4,100.0,1,0.4,0.5,+0.6,2,6,2,0,9,Matches
276,Rahim Bonkano,ne NIG,DF,Oviedo,es La Liga,23-305,2002,8.4,316,409,77.3,5134,1709,176,194,90.7,115,146,78.8,22,48,45.8,0,0.3,0.5,-0.3,5,12,12,4,24,Matches
277,Ange-Yoan Bonny,fr FRA,FW,Inter,it Serie A,22-008,2003,3.1,53,70,75.7,728,164,28,36,77.8,20,21,95.2,2,2,100.0,3,1.8,1.0,+1.2,9,3,4,0,7,Matches
278,Gennaro Borrelli,it ITA,FW,Cagliari,it Serie A,25-237,2000,4.5,49,70,70.0,636,122,31,43,72.1,13,17,76.5,2,2,100.0,0,0.3,0.2,-0.3,5,4,1,0,5,Matches
279,Sven Botman,nl NED,DF,Newcastle Utd,eng Premier League,25-294,2000,5.4,249,289,86.2,4619,1834,95,104,91.3,128,137,93.4,24,40,60.0,0,0.5,0.3,-0.5,3,3,0,0,12,Matches
280,Ayyoub Bouaddi,fr FRA,MF,Lille,fr Ligue 1,18-031,2007,8.0,234,280,83.6,3942,809,108,122,88.5,108,127,85.0,15,17,88.2,0,0.3,0.4,-0.3,7,21,1,0,21,Matches
281,Badredine Bouanani,dz ALG,MF,Nice,fr Ligue 1,20-329,2004,1.0,38,52,73.1,464,77,25,29,86.2,10,15,66.7,0,3,0.0,0,0.1,0.3,-0.1,1,0,3,0,3,Matches
282,Badredine Bouanani,dz ALG,FWMF,Stuttgart,de Bundesliga,20-329,2004,1.8,56,74,75.7,839,155,35,41,85.4,16,21,76.2,4,7,57.1,0,0.1,0.4,-0.1,2,2,1,1,3,Matches
283,Hicham Boudaoui,dz ALG,MF,Nice,fr Ligue 1,26-040,1999,8.1,235,285,82.5,3514,992,138,147,93.9,70,82,85.4,15,28,53.6,2,1.5,1.4,+0.5,10,24,12,2,32,Matches
284,Justin Bourgault,fr FRA,MFDF,Brest,fr Ligue 1,20-049,2005,0.2,7,7,100.0,113,51,6,6,100.0,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
285,Jarrod Bowen,eng ENG,FWMF,West Ham,eng Premier League,28-317,1996,9.0,156,220,70.9,2225,503,93,110,84.5,48,60,80.0,6,17,35.3,1,1.4,1.2,-0.4,9,8,10,4,18,Matches
286,Lucas Boyé,ar ARG,FWMF,Alavés,es La Liga,29-247,1996,5.1,70,106,66.0,867,223,38,45,84.4,18,30,60.0,3,4,75.0,0,0.6,0.4,-0.6,8,6,5,0,10,Matches
287,Enzo Boyomo,cm CMR,DF,Osasuna,es La Liga,24-026,2001,10.0,384,473,81.2,6815,2580,144,155,92.9,206,229,90.0,28,72,38.9,0,0.8,0.7,-0.8,4,29,5,1,35,Matches
288,Domagoj Bradarić,hr CRO,DFFW,Hellas Verona,it Serie A,25-327,1999,6.9,176,246,71.5,2756,754,91,101,90.1,70,89,78.7,9,36,25.0,0,1.4,1.1,-1.4,7,7,3,1,11,Matches
289,Conor Bradley,nir NIR,DF,Liverpool,eng Premier League,22-116,2003,5.0,259,301,86.0,4117,1141,140,149,94.0,102,115,88.7,15,29,51.7,0,0.0,0.3,0.0,1,21,6,2,22,Matches
