,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
435,Sergio Canales,es ESP,MFFW,Betis,es La Liga,29,1991,27.8,1478,1745,84.7,30106,5804,601,665,90.4,560,632,88.6,274,366,74.9,6,5.1,+0.9,61,111,46,11,115,Matches
436,João Cancelo,pt POR,DF,Manchester City,eng Premier League,26,1994,25.5,1795,2094,85.7,31794,8986,852,923,92.3,731,832,87.9,190,276,68.8,3,4.9,-1.9,44,135,69,9,166,Matches
437,Antonio Candreva,it ITA,MF,Sampdoria,it Serie A,33,1987,27.8,1099,1629,67.5,22297,8444,473,546,86.6,399,532,75.0,205,466,44.0,8,5.8,+2.2,62,117,65,21,186,Matches
438,Álex Cantero,es ESP,FW,Levante,es La Liga,20,2000,2.6,,,,,,,,,,,,,,,0,,,,,,,,Matches
439,Ander Capa,es ESP,DF,Athletic Club,es La Liga,28,1992,23.7,915,1201,76.2,15968,6125,415,476,87.2,405,501,80.8,75,160,46.9,1,1.6,-0.6,16,58,19,5,94,Matches
440,Pierrick Capelle,fr FRA,MFDF,Angers,fr Ligue 1,33,1987,22.8,966,1176,82.1,16297,4862,487,544,89.5,367,425,86.4,94,151,62.3,3,1.3,+1.7,18,55,10,4,77,Matches
441,Étienne Capoue,fr FRA,MF,Villarreal,es La Liga,32,1988,13.2,680,748,90.9,12405,2967,294,314,93.6,305,323,94.4,75,99,75.8,0,0.1,-0.1,3,70,5,0,52,Matches
442,Elio Capradossi,it ITA,DF,Spezia,it Serie A,24,1996,1.0,34,41,82.9,643,86,8,9,88.9,22,24,91.7,3,7,42.9,0,0.0,0.0,0,0,0,0,0,Matches
443,Gianluca Caprari,it ITA,MFFW,Benevento,it Serie A,27,1993,20.7,501,696,72.0,8670,2337,239,274,87.2,172,230,74.8,65,136,47.8,6,3.2,+2.8,32,37,23,6,54,Matches
444,Francesco Caputo,it ITA,FW,Sassuolo,it Serie A,32,1987,18.9,327,421,77.7,4189,628,217,252,86.1,79,106,74.5,9,17,52.9,5,1.7,+3.3,16,11,7,0,19,Matches
445,Maxence Caqueret,fr FRA,MF,Lyon,fr Ligue 1,20,2000,19.6,940,1085,86.6,16760,5641,433,488,88.7,372,419,88.8,113,137,82.5,1,1.9,-0.9,17,107,32,2,148,Matches
446,Andrea Carboni,it ITA,DF,Cagliari,it Serie A,19,2001,12.1,466,593,78.6,9450,2978,165,185,89.2,232,274,84.7,67,124,54.0,1,0.7,+0.3,3,43,4,2,39,Matches
447,Isaac Carcelen,es ESP,DF,Cádiz,es La Liga,27,1993,28.7,782,1098,71.2,15467,7123,325,376,86.4,322,423,76.1,127,257,49.4,1,1.0,0.0,15,78,11,5,75,Matches
448,Cárdenas,es ESP,GK,Levante,es La Liga,23,1997,8.0,197,264,74.6,5449,3292,50,50,100.0,74,76,97.4,69,132,52.3,0,0.0,0.0,0,6,0,0,1,Matches
449,Irvin Cardona,fr FRA,FWMF,Brest,fr Ligue 1,22,1997,22.5,340,494,68.8,5564,1161,187,247,75.7,103,144,71.5,32,59,54.2,1,1.9,-0.9,21,21,16,8,31,Matches
450,Marc Cardona,es ESP,FWMF,Osasuna,es La Liga,25,1995,0.6,17,28,60.7,210,73,13,15,86.7,3,5,60.0,0,5,0.0,0,0.0,0.0,0,0,1,0,4,Matches
451,Ian Carlo Poveda,eng ENG,MFDF,Leeds United,eng Premier League,20,2000,3.9,86,117,73.5,1384,482,42,53,79.2,33,41,80.5,8,14,57.1,0,0.8,-0.8,4,7,9,2,18,Matches
452,Diego Carlos,br BRA,DF,Sevilla,es La Liga,27,1993,31.0,1742,1919,90.8,40632,11245,417,438,95.2,918,953,96.3,394,507,77.7,0,0.6,-0.6,6,65,1,0,50,Matches
453,Juan Carlos,es ESP,MFFW,Huesca,es La Liga,29,1991,3.2,73,97,75.3,1180,322,40,50,80.0,26,34,76.5,6,10,60.0,1,0.3,+0.7,4,4,2,0,13,Matches
454,Lionel Carole,fr FRA,DF,Strasbourg,fr Ligue 1,29,1991,14.9,705,911,77.4,14857,6121,239,276,86.6,331,397,83.4,130,216,60.2,1,1.2,-0.2,11,56,12,6,66,Matches
455,Yannick Carrasco,be BEL,DFMF,Atlético Madrid,es La Liga,26,1993,24.2,779,1048,74.3,12117,3801,446,516,86.4,266,340,78.2,52,150,34.7,10,5.6,+4.4,44,34,42,6,92,Matches
456,Sergio Carreira,es ESP,DF,Celta Vigo,es La Liga,19,2000,2.9,91,118,77.1,1559,556,40,51,78.4,46,53,86.8,4,10,40.0,0,0.0,0.0,0,3,2,0,10,Matches
457,Guido Carrillo,ar ARG,FW,Elche,es La Liga,29,1991,11.1,226,317,71.3,3320,598,141,172,82.0,57,93,61.3,15,26,57.7,2,1.3,+0.7,10,25,3,0,26,Matches
458,Andy Carroll,eng ENG,FW,Newcastle Utd,eng Premier League,31,1989,4.4,89,141,63.1,1415,433,53,74,71.6,26,46,56.5,7,14,50.0,0,0.1,-0.1,2,10,3,0,12,Matches
459,Scott Carson,eng ENG,GK,Manchester City,eng Premier League,34,1985,1.0,15,16,93.8,334,200,3,3,100.0,9,9,100.0,3,4,75.0,0,0.0,0.0,0,0,0,0,0,Matches
460,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,28,1992,10.6,700,822,85.2,13226,3622,307,335,91.6,286,320,89.4,100,132,75.8,2,0.8,+1.2,9,29,18,5,52,Matches
461,Fabio Carvalho,eng ENG,MFFW,Fulham,eng Premier League,17,2002,2.8,67,86,77.9,869,98,47,55,85.5,15,18,83.3,3,5,60.0,0,0.4,-0.4,2,3,2,0,5,Matches
462,William Carvalho,pt POR,MF,Betis,es La Liga,28,1992,13.6,814,954,85.3,15337,3569,345,383,90.1,350,390,89.7,105,156,67.3,0,0.5,-0.5,10,85,11,0,70,Matches
463,Casemiro,br BRA,MF,Real Madrid,es La Liga,28,1992,32.2,1632,1949,83.7,32768,8045,638,708,90.1,697,787,88.6,271,379,71.5,4,3.6,+0.4,25,150,24,0,111,Matches
464,Matty Cash,eng ENG,DF,Aston Villa,eng Premier League,22,1997,26.4,959,1298,73.9,18616,6966,394,440,89.5,412,517,79.7,141,307,45.9,2,2.2,-0.2,22,78,24,16,64,Matches
465,Kiko Casilla,es ESP,GK,Leeds United,eng Premier League,33,1986,3.0,82,94,87.2,2073,1230,27,27,100.0,29,29,100.0,25,37,67.6,0,0.0,0.0,0,0,0,0,0,Matches
466,Giuseppe Caso,it ITA,MF,Genoa,it Serie A,21,1998,0.6,9,17,52.9,121,16,6,8,75.0,2,3,66.7,0,0,,0,0.0,0.0,0,0,0,0,1,Matches
467,Moreto Cassamã,gw GNB,MF,Reims,fr Ligue 1,22,1998,22.6,1215,1392,87.3,27809,5961,334,368,90.8,591,630,93.8,284,379,74.9,1,0.8,+0.2,15,103,5,1,100,Matches
468,Francesco Cassata,it ITA,DF,Genoa,it Serie A,23,1997,2.3,69,93,74.2,1119,467,34,39,87.2,28,36,77.8,4,9,44.4,0,0.1,-0.1,1,4,1,0,10,Matches
469,Timothy Castagne,be BEL,DF,Leicester City,eng Premier League,24,1995,26.1,1267,1512,83.8,20653,7144,634,693,91.5,548,631,86.8,74,141,52.5,3,2.0,+1.0,22,87,21,7,99,Matches
470,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,28,1992,32.0,939,1248,75.2,29697,17389,112,112,100.0,443,444,99.8,383,690,55.5,0,0.0,0.0,1,10,0,0,0,Matches
471,Jean-Charles Castelletto,cm CMR,DF,Nantes,fr Ligue 1,25,1995,21.6,633,751,84.3,12747,4537,212,236,89.8,323,357,90.5,91,142,64.1,0,0.1,-0.1,2,40,1,1,46,Matches
472,Samu Castillejo,es ESP,FW,Milan,it Serie A,25,1995,13.1,365,463,78.8,6300,1539,181,207,87.4,137,160,85.6,37,63,58.7,0,0.7,-0.7,10,23,16,4,37,Matches
473,Gonzalo Castro,de GER,MFFW,Stuttgart,de Bundesliga,33,1987,19.2,675,905,74.6,12319,4097,304,348,87.4,256,322,79.5,94,175,53.7,2,3.0,-1.0,43,61,31,1,90,Matches
474,Jonny Castro,es ESP,DF,Wolves,eng Premier League,26,1994,5.5,188,239,78.7,2770,1002,111,127,87.4,66,79,83.5,8,19,42.1,0,0.1,-0.1,3,8,1,1,11,Matches
475,Gaetano Castrovilli,it ITA,MF,Fiorentina,it Serie A,23,1997,25.9,598,774,77.3,10069,2881,313,376,83.2,202,246,82.1,60,97,61.9,3,2.5,+0.5,19,49,35,12,79,Matches
476,Danilo Cataldi,it ITA,MF,Lazio,it Serie A,25,1994,6.3,356,432,82.4,6477,2137,146,156,93.6,160,180,88.9,42,84,50.0,0,0.2,-0.2,4,35,8,2,40,Matches
477,Ivan Cavaleiro,pt POR,FWMF,Fulham,eng Premier League,26,1993,27.5,600,833,72.0,10024,2429,307,378,81.2,213,264,80.7,60,131,45.8,0,3.4,-3.4,44,19,30,11,50,Matches
478,Edinson Cavani,uy URU,FW,Manchester Utd,eng Premier League,33,1987,15.3,270,343,78.7,4517,627,134,163,82.2,95,113,84.1,30,36,83.3,3,2.7,+0.3,15,16,13,1,18,Matches
479,Dani Ceballos,es ESP,MF,Arsenal,eng Premier League,23,1996,17.9,1112,1286,86.5,22027,5182,415,457,90.8,511,558,91.6,172,230,74.8,3,2.9,+0.1,27,131,22,3,107,Matches
480,Federico Ceccherini,it ITA,DF,Hellas Verona,it Serie A,28,1992,19.3,745,911,81.8,13992,4692,305,340,89.7,334,387,86.3,89,155,57.4,0,0.2,-0.2,5,72,6,0,63,Matches
481,Federico Ceccherini,it ITA,DF,Fiorentina,it Serie A,28,1992,3.0,97,111,87.4,2176,613,29,30,96.7,48,52,92.3,20,29,69.0,0,0.0,0.0,0,4,0,0,5,Matches
482,Zeki Çelik,tr TUR,DF,Lille,fr Ligue 1,23,1997,26.5,1308,1657,78.9,22519,9292,642,713,90.0,520,624,83.3,125,251,49.8,2,2.6,-0.6,25,104,24,13,121,Matches
483,Bersant Celina,xk KVX,MFFW,Dijon,fr Ligue 1,23,1996,25.5,844,1092,77.3,14706,4256,427,478,89.3,298,355,83.9,102,218,46.8,5,4.5,+0.5,49,89,38,7,96,Matches
484,Fabien Centonze,fr FRA,DF,Metz,fr Ligue 1,24,1996,35.8,1381,1769,78.1,22360,9804,729,815,89.4,536,674,79.5,95,212,44.8,0,1.5,-1.5,20,75,26,18,113,Matches
485,Luca Ceppitelli,it ITA,DF,Cagliari,it Serie A,30,1989,16.3,685,812,84.4,14163,4525,218,247,88.3,359,387,92.8,99,159,62.3,0,0.0,0.0,1,50,6,1,44,Matches
486,Alberto Cerri,it ITA,FW,Cagliari,it Serie A,24,1996,4.1,95,142,66.9,1530,281,56,73,76.7,29,46,63.0,8,12,66.7,0,0.8,-0.8,6,6,5,0,13,Matches
487,Sava Cestic,rs SRB,DF,Köln,de Bundesliga,19,2001,10.0,307,405,75.8,7158,2532,54,71,76.1,189,212,89.2,60,114,52.6,0,0.1,-0.1,2,16,1,0,24,Matches
488,Julian Chabot,de GER,DF,Spezia,it Serie A,22,1998,18.4,915,1047,87.4,21661,5549,234,251,93.2,436,473,92.2,236,308,76.6,1,0.2,+0.8,4,46,1,0,35,Matches
489,Nassim Chadli,fr FRA,FWMF,Nîmes,fr Ligue 1,19,2001,0.3,12,15,80.0,205,114,5,7,71.4,5,5,100.0,1,2,50.0,0,0.0,0.0,0,2,0,0,2,Matches
490,Fouad Chafik,ma MAR,DF,Dijon,fr Ligue 1,33,1986,18.0,781,1021,76.5,13849,5815,355,395,89.9,322,397,81.1,84,192,43.8,0,0.7,-0.7,10,68,9,6,76,Matches
491,Mehdi Chahiri,ma MAR,FWMF,Strasbourg,fr Ligue 1,24,1996,8.9,201,279,72.0,3393,1003,101,122,82.8,63,85,74.1,26,49,53.1,0,1.3,-1.3,8,17,9,0,36,Matches
492,Sofian Chakla,ma MAR,DF,Villarreal,es La Liga,26,1993,0.1,4,7,57.1,99,41,1,1,100.0,1,1,100.0,2,5,40.0,0,0.0,0.0,0,0,0,0,0,Matches
493,Sofian Chakla,ma MAR,DF,Getafe,es La Liga,26,1993,10.0,128,207,61.8,2599,881,41,54,75.9,62,82,75.6,22,63,34.9,0,0.1,-0.1,1,9,0,0,17,Matches
494,Aníbal Chalá,ec ECU,DF,Dijon,fr Ligue 1,24,1996,8.3,301,393,76.6,4901,2358,149,167,89.2,124,163,76.1,20,44,45.5,0,0.2,-0.2,4,18,2,1,29,Matches
495,Trevoh Chalobah,eng ENG,DFMF,Lorient,fr Ligue 1,21,1999,24.9,1035,1202,86.1,19560,5263,409,449,91.1,476,531,89.6,132,185,71.4,2,0.9,+1.1,7,66,3,0,62,Matches
496,Calum Chambers,eng ENG,DF,Arsenal,eng Premier League,25,1995,8.4,462,575,80.3,8301,2388,206,231,89.2,204,241,84.6,47,85,55.3,2,1.1,+0.9,11,24,9,5,23,Matches
497,Timothy Chandler,us USA,DF,Eint Frankfurt,de Bundesliga,30,1990,4.8,153,214,71.5,2681,1166,73,85,85.9,63,91,69.2,15,30,50.0,0,0.3,-0.3,4,14,5,1,26,Matches
498,Kwon Chang-hoon,kr KOR,MFFW,Freiburg,de Bundesliga,26,1994,2.4,54,71,76.1,871,206,32,36,88.9,17,22,77.3,4,9,44.4,0,0.0,0.0,1,3,0,0,7,Matches
499,Gaëtan Charbonnier,fr FRA,MFFW,Brest,fr Ligue 1,31,1988,17.4,548,698,78.5,8960,1995,276,325,84.9,211,267,79.0,38,63,60.3,1,3.1,-2.1,22,38,20,4,50,Matches
500,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,25,1994,30.2,1372,1633,84.0,33190,11429,331,361,91.7,689,740,93.1,344,512,67.2,1,1.0,0.0,7,105,18,3,90,Matches
501,Xavier Chavalerin,fr FRA,MF,Reims,fr Ligue 1,29,1991,28.3,870,1037,83.9,16102,4733,409,461,88.7,333,379,87.9,114,173,65.9,3,2.4,+0.6,22,70,11,3,71,Matches
502,Pape Cheikh Diop,sn SEN,MF,Dijon,fr Ligue 1,22,1997,12.1,535,612,87.4,10055,2152,201,232,86.6,262,280,93.6,62,85,72.9,0,0.7,-0.7,9,37,6,0,42,Matches
503,Chema,es ESP,DFMF,Getafe,es La Liga,28,1992,6.2,94,156,60.3,2360,997,24,36,66.7,40,62,64.5,29,55,52.7,0,0.1,-0.1,1,14,0,0,11,Matches
504,Rayan Cherki,fr FRA,FWMF,Lyon,fr Ligue 1,16,2003,7.8,280,351,79.8,4780,1147,153,175,87.4,89,118,75.4,32,41,78.0,3,2.1,+0.9,15,17,11,2,26,Matches
505,Denis Cheryshev,ru RUS,MF,Valencia,es La Liga,29,1990,12.2,209,338,61.8,3793,1255,100,127,78.7,82,134,61.2,25,50,50.0,3,2.4,+0.6,15,20,15,6,36,Matches
506,Giorgio Chiellini,it ITA,DF,Juventus,it Serie A,35,1984,15.4,1004,1093,91.9,22088,6177,243,250,97.2,576,601,95.8,177,225,78.7,1,0.0,+1.0,1,75,2,0,52,Matches
507,Federico Chiesa,it ITA,DF,Fiorentina,it Serie A,22,1997,2.7,91,118,77.1,1795,588,44,50,88.0,30,38,78.9,16,23,69.6,1,0.8,+0.2,5,6,6,5,5,Matches
508,Federico Chiesa,it ITA,MFDF,Juventus,it Serie A,22,1997,24.6,626,808,77.5,11214,3484,303,354,85.6,235,293,80.2,77,118,65.3,8,6.5,+1.5,45,45,41,17,82,Matches
509,Ben Chilwell,eng ENG,DF,Chelsea,eng Premier League,23,1996,25.4,1419,1806,78.6,24038,8064,710,781,90.9,557,684,81.4,122,262,46.6,5,2.8,+2.2,30,87,26,11,127,Matches
510,Vlad Chiricheș,ro ROU,DF,Sassuolo,it Serie A,30,1989,20.4,1494,1598,93.5,28946,7925,539,566,95.2,768,805,95.4,173,204,84.8,1,0.7,+0.3,7,65,2,0,41,Matches
511,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,23,1997,25.3,1040,1235,84.2,19624,4742,420,465,90.3,470,526,89.4,127,200,63.5,2,1.1,+0.9,17,120,14,2,98,Matches
512,Tahith Chong,nl NED,FWMF,Werder Bremen,de Bundesliga,20,1999,4.3,86,136,63.2,1383,469,50,69,72.5,23,36,63.9,9,14,64.3,1,0.5,+0.5,5,7,3,2,7,Matches
513,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,18,2001,12.9,274,380,72.1,5557,1734,117,147,79.6,102,131,77.9,51,89,57.3,0,0.4,-0.4,7,22,4,2,24,Matches
514,Hamza Choudhury,eng ENG,MF,Leicester City,eng Premier League,22,1997,3.5,190,235,80.9,3682,616,73,92,79.3,89,102,87.3,25,34,73.5,0,0.0,0.0,0,13,0,0,8,Matches
515,Mounir Chouiar,fr FRA,FWMF,Dijon,fr Ligue 1,21,1999,14.3,395,523,75.5,6808,1944,212,251,84.5,121,148,81.8,54,93,58.1,2,2.0,0.0,27,21,9,0,40,Matches
516,Andreas Christensen,dk DEN,DF,Chelsea,eng Premier League,24,1996,15.2,1011,1089,92.8,21334,5754,295,316,93.4,551,578,95.3,158,183,86.3,0,0.4,-0.4,6,44,3,0,46,Matches
517,Carney Chukwuemeka,eng ENG,FWMF,Aston Villa,eng Premier League,16,2004,0.2,5,8,62.5,88,10,3,3,100.0,1,2,50.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0,Matches
518,Samuel Chukwueze,ng NGA,MFFW,Villarreal,es La Liga,21,1999,15.2,397,532,74.6,6638,1586,189,228,82.9,175,227,77.1,26,52,50.0,2,2.6,-0.6,28,16,30,6,47,Matches
519,Darko Churlinov,mk MKD,DFFW,Stuttgart,de Bundesliga,20,2000,2.4,81,99,81.8,1239,325,45,49,91.8,29,35,82.9,6,12,50.0,1,0.4,+0.6,2,1,6,1,10,Matches
520,Víctor Chust,es ESP,DF,Real Madrid,es La Liga,20,2000,1.1,65,70,92.9,1454,434,14,15,93.3,39,39,100.0,11,15,73.3,0,0.0,0.0,0,5,0,0,2,Matches
521,Sébastien Cibois,fr FRA,GK,Brest,fr Ligue 1,22,1998,3.0,64,90,71.1,1994,1139,8,8,100.0,28,29,96.6,28,53,52.8,0,0.0,0.0,0,1,0,0,1,Matches
522,Cifu,es ESP,DF,Elche,es La Liga,29,1990,5.0,162,219,74.0,2697,985,82,93,88.2,59,81,72.8,17,30,56.7,0,0.0,0.0,0,8,0,0,8,Matches
523,Alberto Cifuentes,es ESP,GK,Cádiz,es La Liga,41,1979,2.0,31,69,44.9,1673,1368,1,1,100.0,3,3,100.0,27,65,41.5,0,0.0,0.0,1,1,0,0,0,Matches
524,Luca Cigarini,it ITA,MF,Crotone,it Serie A,34,1986,10.3,625,748,83.6,13470,4538,217,237,91.6,275,310,88.7,124,180,68.9,0,1.2,-1.2,16,82,8,0,70,Matches
525,Jasper Cillessen,nl NED,GK,Valencia,es La Liga,31,1989,10.0,188,317,59.3,6614,4602,40,40,100.0,54,55,98.2,90,218,41.3,0,0.0,0.0,0,4,0,0,0,Matches
526,Antonio Cioffi,it ITA,FW,Napoli,it Serie A,17,2002,0.1,10,11,90.9,130,13,7,7,100.0,3,3,100.0,0,0,,0,0.1,-0.1,1,0,1,0,1,Matches
527,Tim Civeja,de GER,MFDF,Augsburg,de Bundesliga,18,2002,0.4,16,24,66.7,306,88,8,12,66.7,3,6,50.0,5,5,100.0,0,0.0,0.0,0,1,0,0,2,Matches
528,Ciaran Clark,ie IRL,DF,Newcastle Utd,eng Premier League,30,1989,21.0,620,747,83.0,12686,3922,198,227,87.2,312,345,90.4,102,157,65.0,0,0.1,-0.1,2,35,2,0,35,Matches
529,Alexis Claude-Maurice,fr FRA,MFFW,Nice,fr Ligue 1,22,1998,21.2,619,765,80.9,10400,2077,316,358,88.3,224,269,83.3,59,103,57.3,5,3.1,+1.9,34,47,10,1,51,Matches
530,Jonathan Clauss,fr FRA,DF,Lens,fr Ligue 1,27,1992,28.0,1015,1403,72.3,18840,6896,431,490,88.0,454,583,77.9,122,292,41.8,6,6.0,0.0,52,62,49,23,124,Matches
531,Carlos Clerc,es ESP,DF,Levante,es La Liga,28,1992,30.9,1304,1699,76.8,22889,9666,666,746,89.3,500,613,81.6,126,278,45.3,3,3.3,-0.3,23,96,39,16,160,Matches
532,Nathaniel Clyne,eng ENG,DF,Crystal Palace,eng Premier League,29,1991,12.7,437,569,76.8,6908,2752,232,258,89.9,164,205,80.0,30,75,40.0,1,0.4,+0.6,4,20,13,6,25,Matches
533,Conor Coady,eng ENG,DF,Wolves,eng Premier League,27,1993,36.7,1576,1789,88.1,40617,14316,287,303,94.7,810,846,95.7,470,618,76.1,0,0.1,-0.1,2,78,1,0,59,Matches
534,Marcus Coco,fr FRA,MFFW,Nantes,fr Ligue 1,24,1996,16.4,417,609,68.5,6557,1666,220,274,80.3,134,191,70.2,36,83,43.4,2,1.4,+0.6,16,29,12,5,42,Matches
535,Coke,es ESP,DF,Levante,es La Liga,33,1987,9.3,361,442,81.7,6986,2644,145,164,88.4,162,185,87.6,52,78,66.7,0,0.3,-0.3,4,19,11,1,41,Matches
536,Séamus Coleman,ie IRL,DFMF,Everton,eng Premier League,31,1988,17.9,625,767,81.5,11163,4088,299,329,90.9,249,293,85.0,72,119,60.5,3,1.9,+1.1,18,32,14,5,43,Matches
537,Ebrima Colley,gm GAM,FWMF,Hellas Verona,it Serie A,20,2000,8.2,196,268,73.1,2928,562,118,142,83.1,63,86,73.3,9,16,56.3,0,0.7,-0.7,6,11,8,1,16,Matches
538,Omar Colley,gm GAM,DF,Sampdoria,it Serie A,27,1992,28.8,1087,1325,82.0,24424,8519,269,314,85.7,592,642,92.2,214,348,61.5,0,0.0,0.0,1,96,0,0,76,Matches
539,Simone Colombi,it ITA,GK,Parma,it Serie A,29,1991,2.0,35,50,70.0,1223,1027,7,7,100.0,8,9,88.9,18,32,56.3,0,0.0,0.0,0,0,0,0,0,Matches
540,Lorenzo Colombo,it ITA,FW,Milan,it Serie A,18,2002,1.0,8,14,57.1,83,22,5,7,71.4,0,0,,1,2,50.0,0,0.0,0.0,0,0,1,1,0,Matches
541,Racine Coly,sn SEN,DF,Nice,fr Ligue 1,24,1995,0.2,18,20,90.0,161,47,16,16,100.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0,1,0,0,0,Matches
542,Kingsley Coman,fr FRA,FWMF,Bayern Munich,de Bundesliga,24,1996,19.5,680,856,79.4,12068,2221,337,391,86.2,261,322,81.1,75,107,70.1,10,6.6,+3.4,43,20,39,16,63,Matches
543,Daniel Congré,fr FRA,DF,Montpellier,fr Ligue 1,35,1985,36.6,1296,1482,87.4,28435,10553,352,381,92.4,671,728,92.2,257,335,76.7,0,0.1,-0.1,4,75,1,0,82,Matches
544,Aaron Connolly,ie IRL,FW,Brighton,eng Premier League,20,2000,8.8,79,101,78.2,1147,165,45,56,80.4,26,30,86.7,4,5,80.0,1,0.2,+0.8,5,2,1,0,3,Matches
545,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,33,1987,37.0,1103,1358,81.2,26752,14918,321,323,99.4,432,438,98.6,323,569,56.8,0,0.0,0.0,0,11,0,0,2,Matches
546,Andrea Conti,it ITA,DF,Milan,it Serie A,26,1994,0.3,21,25,84.0,416,151,6,7,85.7,14,16,87.5,1,2,50.0,0,0.1,-0.1,1,2,1,0,4,Matches
547,Andrea Conti,it ITA,DF,Parma,it Serie A,26,1994,9.0,377,452,83.4,7184,2947,139,152,91.4,184,211,87.2,46,71,64.8,0,0.4,-0.4,7,30,10,4,49,Matches
548,Liam Cooper,sct SCO,DF,Leeds United,eng Premier League,28,1991,24.3,1363,1555,87.7,31575,9368,291,312,93.3,784,821,95.5,285,407,70.0,0,0.0,0.0,0,78,3,0,67,Matches
549,Francis Coquelin,fr FRA,MF,Villarreal,es La Liga,29,1991,8.2,461,524,88.0,7869,1564,229,255,89.8,189,205,92.2,34,44,77.3,0,0.5,-0.5,3,28,4,0,22,Matches
550,Theo Corbeanu,ca CAN,FW,Wolves,eng Premier League,18,2002,0.1,3,3,100.0,53,28,1,1,100.0,0,0,,1,1,100.0,0,0.1,-0.1,1,0,1,1,0,Matches
551,Sébastien Corchia,fr FRA,DF,Nantes,fr Ligue 1,29,1990,23.0,663,969,68.4,11789,6242,300,342,87.7,283,375,75.5,65,193,33.7,1,1.5,-0.5,24,46,13,7,75,Matches
552,Alex Cordaz,it ITA,GK,Crotone,it Serie A,37,1983,36.0,1042,1446,72.1,29331,18966,240,241,99.6,415,428,97.0,381,770,49.5,0,0.0,0.0,1,10,0,0,1,Matches
553,Iñigo Córdoba,es ESP,FWMF,Athletic Club,es La Liga,23,1997,1.1,17,36,47.2,220,97,9,17,52.9,6,10,60.0,0,6,0.0,0,0.0,0.0,0,0,1,0,2,Matches
554,Iñigo Córdoba,es ESP,MF,Alavés,es La Liga,23,1997,2.4,49,77,63.6,871,367,18,26,69.2,20,29,69.0,7,13,53.8,0,0.3,-0.3,3,1,4,2,5,Matches
555,Jhon Córdoba,co COL,FW,Hertha BSC,de Bundesliga,27,1993,17.1,244,320,76.3,3999,498,123,149,82.6,83,110,75.5,26,31,83.9,1,1.8,-0.8,23,11,5,3,14,Matches
556,Sergio Córdova,ve VEN,FWMF,Arminia,de Bundesliga,22,1997,12.1,180,267,67.4,2619,646,105,130,80.8,52,80,65.0,13,26,50.0,1,1.2,-0.2,15,18,2,0,19,Matches
557,Jack Cork,eng ENG,MF,Burnley,eng Premier League,31,1989,15.0,413,499,82.8,6590,1287,215,243,88.5,147,162,90.7,36,61,59.0,0,0.6,-0.6,7,39,3,0,26,Matches
558,Andreas Cornelius,dk DEN,FW,Parma,it Serie A,27,1993,21.1,409,585,69.9,6420,1086,225,299,75.3,133,189,70.4,37,55,67.3,4,2.9,+1.1,24,29,11,2,39,Matches
559,Maxwel Cornet,ci CIV,DFFW,Lyon,fr Ligue 1,23,1996,27.2,1329,1673,79.4,22341,8799,697,768,90.8,511,661,77.3,106,191,55.5,5,3.4,+1.6,25,79,23,12,115,Matches
560,Ángel Correa,ar ARG,FWMF,Atlético Madrid,es La Liga,25,1995,26.6,706,910,77.6,10112,2261,422,499,84.6,202,253,79.8,43,88,48.9,8,5.7,+2.3,34,46,35,3,69,Matches
561,Joaquín Correa,ar ARG,FW,Lazio,it Serie A,25,1994,21.5,596,725,82.2,9663,1787,312,354,88.1,198,235,84.3,62,84,73.8,3,2.0,+1.0,28,39,20,0,53,Matches
562,Rober Correa,es ESP,DF,Eibar,es La Liga,27,1992,12.6,427,610,70.0,8259,3263,179,216,82.9,176,250,70.4,64,124,51.6,2,0.8,+1.2,9,39,10,8,30,Matches
563,Félix Correia,pt POR,MF,Juventus,it Serie A,19,2001,0.1,7,8,87.5,97,37,3,4,75.0,3,3,100.0,0,0,,0,0.0,0.0,0,1,0,0,1,Matches
564,Thierry Correia,pt POR,DF,Valencia,es La Liga,21,1999,23.7,919,1211,75.9,17613,6511,385,444,86.7,392,489,80.2,127,221,57.5,1,1.3,-0.3,16,46,24,15,57,Matches
565,Angelo da Costa Júnior,br BRA,GK,Bologna,it Serie A,36,1983,6.0,249,287,86.8,6303,3350,59,59,100.0,113,114,99.1,71,108,65.7,0,0.0,0.0,0,1,0,0,0,Matches
566,Danny da Costa,de GER,DF,Mainz 05,de Bundesliga,27,1993,13.4,311,512,60.7,6832,3670,96,128,75.0,156,242,64.5,58,123,47.2,1,1.7,-0.7,14,29,21,7,57,Matches
