,,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
2129,Alejandro Pozo Pozo,es ESP,DFMF,Eibar,es La Liga,21,1999,24.3,43,26,23,14,6,16,47,34.0,31,306,97,31.7,115,113,78,47,3,0,44,28,71,48,1,Matches
2130,Dennis Praet,be BEL,MFFW,Leicester City,eng Premier League,26,1994,8.0,12,7,5,6,1,6,14,42.9,8,132,32,24.2,36,64,32,14,2,0,12,9,21,3,0,Matches
2131,Sanjin Prcić,ba BIH,MF,Strasbourg,fr Ligue 1,26,1993,3.9,6,3,2,3,1,1,4,25.0,3,52,12,23.1,24,25,3,9,3,1,6,5,11,3,1,Matches
2132,Nicolas de Préville,fr FRA,FWMF,Bordeaux,fr Ligue 1,29,1991,17.9,29,20,9,13,7,9,33,27.3,24,278,66,23.7,53,124,101,16,0,0,16,13,42,7,0,Matches
2133,Manuel Prietl,at AUT,MF,Arminia,de Bundesliga,28,1991,28.0,76,48,34,36,6,15,83,18.1,68,616,197,32.0,251,318,47,56,8,0,48,38,114,35,0,Matches
2134,Grischa Prömel,de GER,MF,Union Berlin,de Bundesliga,25,1995,20.2,40,27,15,20,5,12,31,38.7,19,312,105,33.7,73,194,45,34,3,0,31,31,71,25,0,Matches
2135,Davy Pröpper,nl NED,MF,Brighton,eng Premier League,28,1991,2.4,7,5,0,7,0,2,5,40.0,3,30,13,43.3,13,15,2,2,0,0,2,2,9,0,0,Matches
2136,Ivan Provedel,it ITA,GK,Spezia,it Serie A,26,1994,29.0,0,0,0,0,0,0,5,0.0,5,11,1,9.1,11,0,0,0,0,0,0,0,0,1,3,Matches
2137,Antonio Puertas,es ESP,FWMF,Granada,es La Liga,28,1992,24.1,27,17,12,10,5,11,28,39.3,17,326,75,23.0,92,130,104,38,7,1,31,17,44,17,0,Matches
2138,Riqui Puig,es ESP,MF,Barcelona,es La Liga,20,1999,3.2,5,5,1,4,0,2,4,50.0,2,66,13,19.7,6,38,22,2,0,0,2,2,7,0,0,Matches
2139,Erick Pulgar,cl CHI,MF,Fiorentina,it Serie A,26,1994,22.2,46,32,24,21,1,19,50,38.0,31,325,106,32.6,127,157,41,45,12,0,33,35,81,49,0,Matches
2140,Jorge Pulido,es ESP,DF,Huesca,es La Liga,29,1991,32.1,43,27,32,11,0,16,46,34.8,30,297,113,38.0,178,100,19,51,24,0,27,34,77,138,0,Matches
2141,Christian Pulisic,us USA,FWMF,Chelsea,eng Premier League,21,1998,19.3,25,17,11,11,3,6,21,28.6,15,336,109,32.4,69,149,118,31,3,0,28,9,34,9,0,Matches
2142,Ignacio Pussetto,ar ARG,FW,Udinese,it Serie A,24,1995,8.4,22,15,8,10,4,4,17,23.5,13,178,46,25.8,23,83,72,13,0,0,13,10,32,11,0,Matches
2143,Fabio Quagliarella,it ITA,FW,Sampdoria,it Serie A,37,1983,24.5,12,8,3,5,4,0,16,0.0,16,368,79,21.5,41,162,165,16,4,0,12,6,18,11,0,Matches
2144,Robin Quaison,se SWE,FWMF,Mainz 05,de Bundesliga,26,1993,16.4,16,9,4,8,4,3,15,20.0,12,311,79,25.4,46,159,106,14,0,0,14,9,25,6,0,Matches
2145,Domingos Quina,pt POR,MF,Granada,es La Liga,20,1999,3.8,6,6,1,4,1,4,8,50.0,4,91,26,28.6,12,53,26,8,0,0,8,4,10,0,0,Matches
2146,Quini,es ESP,DF,Granada,es La Liga,30,1989,13.2,42,23,28,10,4,22,40,55.0,18,214,53,24.8,111,66,37,21,8,0,13,21,63,45,0,Matches
2147,Quique,es ESP,FWMF,Eibar,es La Liga,30,1990,1.9,0,0,0,0,0,0,1,0.0,1,33,5,15.2,1,12,20,4,1,0,3,0,0,0,0,Matches
2148,Dani Raba,es ESP,MF,Villarreal,es La Liga,24,1995,1.7,3,2,0,2,1,1,4,25.0,3,36,10,27.8,9,22,5,3,0,0,3,2,5,1,0,Matches
2149,Simone Rabbi,it ITA,FW,Bologna,it Serie A,18,2001,0.4,1,1,0,1,0,0,1,0.0,1,8,2,25.0,2,2,4,0,0,0,0,0,1,0,0,Matches
2150,Adrien Rabiot,fr FRA,MF,Juventus,it Serie A,25,1995,25.7,72,45,28,33,11,25,57,43.9,32,485,144,29.7,160,240,85,46,11,0,35,31,103,37,1,Matches
2151,Uroš Račić,rs SRB,MF,Valencia,es La Liga,22,1998,24.3,38,26,16,17,5,15,59,25.4,44,367,115,31.3,134,185,48,41,11,0,30,20,58,58,0,Matches
2152,Anthony Racioppi,ch SUI,GK,Dijon,fr Ligue 1,21,1998,21.0,0,0,0,0,0,0,2,0.0,2,1,0,0.0,1,0,0,0,0,0,0,0,0,0,3,Matches
2153,Nemanja Radoja,rs SRB,MF,Levante,es La Liga,27,1993,12.5,18,11,9,9,0,6,21,28.6,15,162,47,29.0,57,82,23,17,4,0,13,13,31,23,1,Matches
2154,Nemanja Radonjić,rs SRB,FWDF,Hertha BSC,de Bundesliga,24,1996,6.8,6,5,3,2,1,3,6,50.0,3,116,25,21.6,33,45,38,1,0,0,1,4,10,1,0,Matches
2155,Nemanja Radonjić,rs SRB,FW,Marseille,fr Ligue 1,24,1996,4.4,11,8,4,3,4,4,11,36.4,7,68,24,35.3,21,20,27,7,0,0,7,2,13,1,0,Matches
2156,Aleksandar Radovanović,rs SRB,DF,Lens,fr Ligue 1,26,1993,1.0,2,0,0,2,0,0,0,,0,9,3,33.3,3,6,0,3,1,0,2,0,2,3,1,Matches
2157,Ivan Radovanović,rs SRB,DFMF,Genoa,it Serie A,31,1988,24.8,32,22,19,12,1,9,26,34.6,17,215,65,30.2,128,82,5,49,23,0,26,33,65,144,2,Matches
2158,Ionuț Radu,ro ROU,GK,Inter,it Serie A,23,1997,1.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
2159,Ștefan Radu,ro ROU,DF,Lazio,it Serie A,33,1986,27.3,44,23,24,17,3,18,39,46.2,21,244,107,43.9,129,88,27,40,15,0,25,45,89,81,2,Matches
2160,Rafael,br BRA,GK,Spezia,it Serie A,38,1982,2.3,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,Matches
2161,Rafinha,br BRA,MF,Paris S-G,fr Ligue 1,27,1993,15.1,51,38,17,27,7,21,47,44.7,26,357,111,31.1,81,173,103,26,3,0,23,15,66,4,0,Matches
2162,Antonio Raimondo,it ITA,FW,Bologna,it Serie A,16,2004,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,Matches
2163,Predrag Rajković,rs SRB,GK,Reims,fr Ligue 1,24,1995,36.5,0,0,0,0,0,0,5,0.0,5,10,1,10.0,10,0,0,1,0,0,1,0,0,3,0,Matches
2164,Ivan Rakitić,hr CRO,MF,Sevilla,es La Liga,32,1988,24.8,35,30,15,16,4,8,40,20.0,32,387,111,28.7,109,190,88,37,5,0,32,20,55,37,1,Matches
2165,Jonás Ramalho,es ESP,DF,Osasuna,es La Liga,27,1993,3.4,5,2,3,1,1,1,2,50.0,1,35,7,20.0,21,8,6,6,1,0,5,3,8,6,0,Matches
2166,Benito Raman,be BEL,FWMF,Schalke 04,de Bundesliga,25,1994,13.8,19,12,12,4,3,2,23,8.7,21,304,85,28.0,66,112,126,15,0,0,15,9,28,5,0,Matches
2167,Gastón Ramírez,uy URU,MFFW,Sampdoria,it Serie A,29,1990,10.8,28,15,8,13,7,4,26,15.4,22,295,68,23.1,54,136,105,22,3,0,19,7,35,14,0,Matches
2168,Sandro Ramírez,es ESP,FWMF,Huesca,es La Liga,25,1995,14.3,21,11,6,11,4,4,11,36.4,7,237,58,24.5,35,115,87,13,1,0,12,15,36,3,0,Matches
2169,Sergio Ramos,es ESP,DF,Real Madrid,es La Liga,34,1986,14.2,20,12,10,8,2,6,14,42.9,8,97,39,40.2,47,38,12,18,5,1,13,16,36,46,1,Matches
2170,Aaron Ramsdale,eng ENG,GK,Sheffield Utd,eng Premier League,22,1998,38.0,0,0,0,0,0,0,0,,0,8,3,37.5,7,0,1,0,0,0,0,0,0,1,3,Matches
2171,Aaron Ramsey,wls WAL,MF,Juventus,it Serie A,29,1990,12.1,24,16,8,14,2,5,24,20.8,19,225,73,32.4,54,108,63,14,2,0,12,6,30,9,1,Matches
2172,Jacob Ramsey,eng ENG,MF,Aston Villa,eng Premier League,19,2001,7.0,11,7,4,6,1,0,12,0.0,12,199,60,30.2,78,83,38,17,6,0,11,6,17,9,0,Matches
2173,Kayne Ramsey,eng ENG,DF,Southampton,eng Premier League,19,2000,1.0,5,3,4,1,0,3,3,100.0,0,8,5,62.5,7,1,0,1,1,0,0,1,6,4,0,Matches
2174,Darren Randolph,ie IRL,GK,West Ham,eng Premier League,33,1987,3.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
2175,Andrea Ranocchia,it ITA,DF,Inter,it Serie A,32,1988,7.8,13,7,8,4,1,5,7,71.4,2,67,19,28.4,35,31,1,8,3,0,5,12,25,22,0,Matches
2176,Marcus Rashford,eng ENG,FW,Manchester Utd,eng Premier League,22,1997,32.4,16,10,2,6,8,5,24,20.8,19,345,74,21.4,38,144,163,24,3,0,21,10,26,9,0,Matches
2177,Milot Rashica,xk KVX,FWMF,Werder Bremen,de Bundesliga,24,1996,16.2,16,10,7,7,2,4,25,16.0,21,244,56,23.0,61,102,81,16,0,0,16,9,25,3,0,Matches
2178,Giacomo Raspadori,it ITA,FWMF,Sassuolo,it Serie A,20,2000,13.7,7,2,1,2,4,0,7,0.0,7,228,72,31.6,14,62,152,10,5,1,5,3,10,9,0,Matches
2179,Federico Ravaglia,it ITA,GK,Bologna,it Serie A,20,1999,4.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,0,0,Matches
2180,Tim Ream,us USA,DF,Fulham,eng Premier League,32,1987,7.0,10,4,8,2,0,5,8,62.5,3,37,10,27.0,16,20,1,14,6,0,8,4,14,31,1,Matches
2181,Ante Rebić,hr CRO,FW,Milan,it Serie A,26,1993,19.7,27,18,4,8,15,8,35,22.9,27,327,86,26.3,34,135,158,24,2,0,22,11,38,15,0,Matches
2182,Arkadiusz Reca,pl POL,DF,Crotone,it Serie A,25,1995,25.7,34,21,17,10,7,9,40,22.5,31,357,104,29.1,157,131,69,44,2,0,42,51,85,73,1,Matches
2183,Recio,es ESP,MF,Eibar,es La Liga,29,1991,8.2,16,9,3,10,3,5,16,31.3,11,146,47,32.2,30,75,41,6,1,0,5,4,20,3,0,Matches
2184,Daishawn Redan,nl NED,FWMF,Hertha BSC,de Bundesliga,19,2001,1.1,0,0,0,0,0,0,0,,0,15,5,33.3,3,6,6,1,0,0,1,2,2,0,0,Matches
2185,Nathan Redmond,eng ENG,MFFW,Southampton,eng Premier League,26,1994,19.3,32,17,14,13,5,8,20,40.0,12,378,106,28.0,96,157,125,29,2,0,27,18,50,11,0,Matches
2186,Harrison Reed,eng ENG,MF,Fulham,eng Premier League,25,1995,25.0,68,42,29,36,3,25,84,29.8,59,525,160,30.5,232,246,47,47,12,0,35,52,120,58,0,Matches
2187,Vasco Regini,it ITA,DF,Sampdoria,it Serie A,29,1990,1.0,2,0,2,0,0,1,2,50.0,1,15,6,40.0,8,6,1,3,1,0,2,0,2,6,0,Matches
2188,Sergio Reguilón,es ESP,DF,Tottenham,eng Premier League,23,1996,24.9,51,27,31,13,7,18,43,41.9,25,388,112,28.9,177,141,70,53,7,0,46,35,86,64,0,Matches
2189,Bobby Reid,jm JAM,MFDF,Fulham,eng Premier League,27,1993,26.4,32,20,15,10,7,10,33,30.3,23,411,106,25.8,122,159,130,37,6,0,31,17,49,41,0,Matches
2190,Pepe Reina,es ESP,GK,Lazio,it Serie A,37,1982,29.0,0,0,0,0,0,0,1,0.0,1,1,1,100.0,1,0,0,1,0,0,1,0,0,2,0,Matches
2191,Jeff Reine-Adélaïde,fr FRA,MFFW,Nice,fr Ligue 1,22,1998,11.8,9,5,2,3,4,4,17,23.5,13,123,29,23.6,24,64,35,12,2,0,10,8,17,6,0,Matches
2192,Jeff Reine-Adélaïde,fr FRA,FW,Lyon,fr Ligue 1,22,1998,0.3,0,0,0,0,0,0,0,,0,0,0,,0,0,0,1,0,0,1,0,0,0,0,Matches
2193,Reinier,br BRA,MFFW,Dortmund,de Bundesliga,18,2002,2.9,9,8,3,4,2,0,4,0.0,4,67,16,23.9,23,25,19,5,1,0,4,3,12,0,0,Matches
2194,Francisco Reis Ferreira,pt POR,DF,Valencia,es La Liga,23,1997,2.0,0,0,0,0,0,0,4,0.0,4,16,7,43.8,16,0,0,0,0,0,0,1,1,6,0,Matches
2195,Rocco Reitz,de GER,MF,M'Gladbach,de Bundesliga,18,2002,0.7,2,1,1,1,0,2,3,66.7,1,22,6,27.3,12,9,1,3,1,0,2,1,3,1,0,Matches
2196,Karim Rekik,nl NED,DF,Sevilla,es La Liga,25,1994,7.3,10,8,3,6,1,4,8,50.0,4,92,33,35.9,40,38,14,16,3,1,13,6,16,25,0,Matches
2197,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,25,1995,38.0,0,0,0,0,0,0,1,0.0,1,3,0,0.0,3,0,0,1,0,0,1,0,0,2,0,Matches
2198,Panagiotis Retsos,gr GRE,DF,Saint-Étienne,fr Ligue 1,21,1998,3.0,7,3,7,0,0,4,10,40.0,6,37,15,40.5,21,15,1,2,1,0,1,7,14,17,0,Matches
2199,Marco Reus,de GER,MFFW,Dortmund,de Bundesliga,31,1989,25.3,41,30,13,17,11,8,30,26.7,22,476,160,33.6,93,221,162,32,2,0,30,10,51,15,0,Matches
2200,Elvis Rexhbeçaj,de GER,MFFW,Köln,de Bundesliga,22,1997,20.4,52,30,17,29,6,12,42,28.6,30,430,138,32.1,110,209,111,51,8,0,43,22,74,18,0,Matches
2201,Oriol Rey,es ESP,MF,Valladolid,es La Liga,22,1998,0.2,0,0,0,0,0,0,0,,0,4,3,75.0,2,2,0,1,0,0,1,0,0,0,0,Matches
2202,Gio Reyna,us USA,FWMF,Dortmund,de Bundesliga,17,2002,22.0,30,23,9,13,8,9,31,29.0,22,361,115,31.9,67,171,123,29,1,0,28,15,45,11,0,Matches
2203,Baptiste Reynet,fr FRA,GK,Nîmes,fr Ligue 1,29,1990,38.0,0,0,0,0,0,0,1,0.0,1,8,2,25.0,8,0,0,1,0,0,1,0,0,3,0,Matches
2204,Bryan Reynolds,us USA,DF,Roma,it Serie A,19,2001,3.1,4,3,1,1,2,1,8,12.5,7,76,20,26.3,28,34,14,3,0,0,3,5,9,3,0,Matches
2205,Franck Ribéry,fr FRA,FW,Fiorentina,it Serie A,37,1983,23.9,25,20,4,9,12,9,34,26.5,25,475,116,24.4,100,209,166,13,2,0,11,8,33,0,0,Matches
2206,Ricard,es ESP,DF,Atlético Madrid,es La Liga,20,2000,0.3,1,1,0,1,0,0,0,,0,7,4,57.1,3,3,1,1,0,0,1,0,1,1,0,Matches
2207,Federico Ricci,it ITA,FW,Sassuolo,it Serie A,26,1994,0.0,0,0,0,0,0,0,0,,0,2,1,50.0,0,2,0,0,0,0,0,0,0,0,0,Matches
2208,Giacomo Ricci,it ITA,DF,Parma,it Serie A,23,1996,0.7,2,1,0,2,0,0,0,,0,6,2,33.3,3,2,1,3,2,0,1,1,3,3,0,Matches
2209,Matteo Ricci,it ITA,MF,Spezia,it Serie A,26,1994,24.8,44,32,14,27,3,14,51,27.5,37,325,102,31.4,103,177,45,38,4,0,34,30,74,19,0,Matches
2210,Declan Rice,eng ENG,MF,West Ham,eng Premier League,21,1999,32.0,77,53,45,31,1,24,55,43.6,31,495,149,30.1,212,246,37,54,13,0,41,68,145,46,1,Matches
2211,Chris Richards,us USA,DF,Hoffenheim,de Bundesliga,20,2000,10.5,24,13,15,8,1,7,13,53.8,6,134,56,41.8,67,56,11,19,5,0,14,13,37,72,1,Matches
2212,Chris Richards,us USA,DF,Bayern Munich,de Bundesliga,20,2000,1.0,1,1,1,0,0,0,0,,0,10,2,20.0,5,5,0,0,0,0,0,0,1,3,0,Matches
2213,Lewis Richardson,eng ENG,FWMF,Burnley,eng Premier League,17,2003,0.0,0,0,0,0,0,0,1,0.0,1,3,2,66.7,0,2,1,0,0,0,0,0,0,0,0,Matches
2214,Richarlison,br BRA,FW,Everton,eng Premier League,23,1997,31.8,49,30,27,18,4,13,42,31.0,29,574,143,24.9,130,240,204,33,3,0,30,20,69,38,0,Matches
2215,Marco Richter,de GER,FWMF,Augsburg,de Bundesliga,22,1997,15.7,19,9,2,9,8,5,14,35.7,9,255,55,21.6,51,127,77,13,0,0,13,9,28,10,0,Matches
2216,Mikel Rico,es ESP,MF,Huesca,es La Liga,35,1984,24.3,25,15,14,8,3,9,43,20.9,34,376,94,25.0,118,182,76,31,3,0,28,20,45,21,0,Matches
2217,Sergio Rico,es ESP,GK,Paris S-G,fr Ligue 1,26,1993,9.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
2218,Jaïro Riedewald,nl NED,MF,Crystal Palace,eng Premier League,23,1996,20.2,33,21,15,15,3,13,37,35.1,24,297,85,28.6,114,148,35,46,7,0,39,24,57,29,0,Matches
2219,Emiliano Rigoni,ar ARG,MFFW,Elche,es La Liga,27,1993,12.7,14,10,5,7,2,4,17,23.5,13,150,33,22.0,38,65,47,15,1,0,14,5,19,10,0,Matches
2220,Tomás Rincón,ve VEN,MF,Torino,it Serie A,32,1988,31.6,78,47,33,34,11,27,70,38.6,43,508,173,34.1,170,255,83,37,7,0,30,30,108,54,0,Matches
2221,Luis Rioja,es ESP,MF,Alavés,es La Liga,26,1993,23.2,25,15,15,8,2,9,48,18.8,39,319,77,24.1,85,146,88,28,1,0,27,31,56,39,0,Matches
2222,Renaud Ripart,fr FRA,MFFW,Nîmes,fr Ligue 1,27,1993,33.9,49,30,23,18,8,17,84,20.2,67,731,198,27.1,191,371,169,76,12,0,64,38,87,56,0,Matches
2223,Andrea Rispoli,it ITA,DF,Crotone,it Serie A,31,1988,7.2,6,5,3,1,2,1,5,20.0,4,71,23,32.4,29,21,21,20,4,0,16,4,10,16,2,Matches
2224,Mihailo Ristić,rs SRB,DF,Montpellier,fr Ligue 1,24,1995,24.8,60,29,35,14,11,30,54,55.6,24,291,91,31.3,125,113,53,51,9,0,42,29,89,64,0,Matches
2225,Matt Ritchie,sct SCO,DFMF,Newcastle Utd,eng Premier League,30,1989,15.0,17,9,7,5,5,5,21,23.8,16,152,32,21.1,71,53,28,31,2,0,29,23,40,43,0,Matches
2226,Maxence Rivera,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18,2002,2.7,13,6,4,4,5,2,8,25.0,6,94,23,24.5,21,40,33,6,0,0,6,4,17,0,0,Matches
2227,Emmanuel Rivière,fr FRA,FWMF,Crotone,it Serie A,30,1990,7.1,4,3,2,2,0,0,5,0.0,5,100,21,21.0,15,50,35,6,2,0,4,4,8,0,0,Matches
2228,Rober,es ESP,DFMF,Levante,es La Liga,25,1995,15.8,23,14,15,6,2,8,20,40.0,12,188,61,32.4,101,64,23,31,16,0,15,39,62,86,2,Matches
2229,Roberto,es ESP,GK,Valladolid,es La Liga,34,1986,13.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
2230,Sergi Roberto,es ESP,DF,Barcelona,es La Liga,28,1992,10.5,12,7,5,4,3,7,14,50.0,7,87,22,25.3,29,33,25,25,7,0,18,8,20,13,0,Matches
2231,Tyler Roberts,wls WAL,MFFW,Leeds United,eng Premier League,21,1999,14.9,18,8,4,10,4,4,21,19.0,17,261,64,24.5,42,134,85,20,3,0,17,9,27,14,1,Matches
2232,Andrew Robertson,sct SCO,DF,Liverpool,eng Premier League,26,1994,37.6,53,28,30,16,7,31,64,48.4,33,353,120,34.0,117,127,109,62,10,1,52,34,87,91,1,Matches
2233,Antonee Robinson,us USA,DF,Fulham,eng Premier League,22,1997,24.0,48,27,26,15,7,19,42,45.2,23,249,84,33.7,120,71,58,52,5,0,47,44,92,83,0,Matches
2234,Callum Robinson,ie IRL,FWMF,West Brom,eng Premier League,25,1995,17.3,14,7,8,4,2,5,18,27.8,13,259,61,23.6,45,91,123,16,0,0,16,14,28,9,0,Matches
2235,Jack Robinson,eng ENG,DF,Sheffield Utd,eng Premier League,26,1993,9.7,16,10,10,5,1,6,7,85.7,1,79,25,31.6,40,28,11,12,5,0,7,17,33,60,0,Matches
2236,Joel Robles,es ESP,GK,Betis,es La Liga,30,1990,18.0,0,0,0,0,0,0,0,,0,4,0,0.0,4,0,0,0,0,0,0,0,0,1,0,Matches
2237,Hal Robson-Kanu,wls WAL,FW,West Brom,eng Premier League,31,1989,6.2,3,3,1,1,1,0,0,,0,87,14,16.1,8,41,38,5,0,0,5,4,7,4,0,Matches
2238,Marc Roca,es ESP,MF,Bayern Munich,de Bundesliga,23,1996,2.0,5,4,2,2,1,3,7,42.9,4,35,13,37.1,9,15,11,4,1,0,3,1,6,3,0,Matches
2239,Christopher Rocchia,fr FRA,DF,Marseille,fr Ligue 1,22,1998,0.2,1,1,1,0,0,0,1,0.0,1,6,2,33.3,4,1,1,0,0,0,0,0,1,1,0,Matches
2240,Rubén Rochina,es ESP,MF,Levante,es La Liga,29,1991,15.6,42,31,15,19,8,13,40,32.5,27,337,102,30.3,87,175,75,25,2,0,23,22,64,14,0,Matches
2241,Marek Rodák,sk SVK,GK,Fulham,eng Premier League,23,1996,2.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,0,0,Matches
2242,Sebastian Rode,de GER,MF,Eint Frankfurt,de Bundesliga,29,1990,18.1,52,30,23,19,10,15,52,28.8,37,434,113,26.0,157,215,62,41,3,0,38,43,95,21,0,Matches
2243,Joe Rodon,wls WAL,DF,Tottenham,eng Premier League,22,1997,8.1,15,9,12,3,0,4,5,80.0,1,78,20,25.6,55,20,3,15,9,0,6,13,28,51,1,Matches
2244,Rodri,es ESP,MF,Manchester City,eng Premier League,24,1996,30.5,83,60,32,38,13,31,72,43.1,41,514,196,38.1,169,272,73,42,13,0,29,40,123,73,2,Matches
2245,Rodrigo,es ESP,MFFW,Leeds United,eng Premier League,29,1991,14.3,20,13,11,5,4,2,22,9.1,20,259,66,25.5,47,124,88,9,0,0,9,9,29,16,0,Matches
2246,Rodrigo,es ESP,FWMF,Betis,es La Liga,20,2000,6.0,4,2,1,2,1,2,6,33.3,4,69,21,30.4,12,35,22,7,1,0,6,2,6,2,0,Matches
2247,Kévin Rodrigues,pt POR,DFMF,Eibar,es La Liga,26,1994,12.2,18,11,11,6,1,7,22,31.8,15,193,50,25.9,51,87,55,22,1,0,21,14,32,19,0,Matches
2248,Óscar Rodríguez Arnaiz,es ESP,MFFW,Sevilla,es La Liga,22,1998,5.7,17,14,3,11,3,4,14,28.6,10,89,32,36.0,13,49,27,4,0,0,4,8,25,4,0,Matches
2249,Ángel Rodríguez,es ESP,FWMF,Getafe,es La Liga,33,1987,15.3,5,3,1,1,3,1,13,7.7,12,248,53,21.4,13,128,107,11,2,0,9,2,7,7,0,Matches
2250,Guido Rodríguez,ar ARG,MF,Betis,es La Liga,26,1994,31.8,105,69,54,45,6,38,91,41.8,53,706,222,31.4,257,384,65,77,14,0,63,58,163,68,2,Matches
2251,James Rodríguez,co COL,FWMF,Everton,eng Premier League,29,1991,19.6,20,14,5,12,3,8,43,18.6,35,250,61,24.4,75,118,57,24,0,0,24,16,36,1,0,Matches
2252,Jay Rodriguez,eng ENG,FWMF,Burnley,eng Premier League,31,1989,14.1,28,14,8,11,9,6,19,31.6,13,308,67,21.8,45,134,129,27,5,0,22,4,32,6,0,Matches
2253,Miguel Rodríguez,es ESP,FWMF,Celta Vigo,es La Liga,17,2003,0.3,3,2,0,3,0,0,0,,0,8,3,37.5,0,6,2,1,0,0,1,0,3,0,0,Matches
2254,Ricardo Rodríguez,ch SUI,DF,Torino,it Serie A,27,1992,13.8,29,15,14,12,3,16,25,64.0,9,140,44,31.4,70,60,10,29,5,0,24,24,53,36,1,Matches
2255,Víctor Rodríguez,es ESP,MF,Elche,es La Liga,31,1989,4.7,4,4,2,2,0,1,9,11.1,8,93,24,25.8,29,50,14,10,1,0,9,9,13,7,0,Matches
2256,Rodrygo,br BRA,FW,Real Madrid,es La Liga,19,2001,10.9,15,7,7,6,2,2,18,11.1,16,220,49,22.3,46,107,67,20,0,0,20,7,22,5,0,Matches
2257,Marko Rog,hr CRO,MF,Cagliari,it Serie A,25,1995,12.9,39,25,16,20,3,6,25,24.0,19,318,90,28.3,103,158,57,22,7,0,15,12,51,11,0,Matches
2258,Rogério,br BRA,DF,Sassuolo,it Serie A,22,1998,20.9,28,16,17,8,3,15,23,65.2,8,219,74,33.8,81,83,55,46,5,0,41,25,53,50,0,Matches
2259,Luis Rojas,cl CHI,MFFW,Crotone,it Serie A,18,2002,1.2,0,0,0,0,0,0,2,0.0,2,26,6,23.1,5,15,6,0,0,0,0,4,4,1,0,Matches
2260,Alessio Romagnoli,it ITA,DF,Milan,it Serie A,25,1995,21.2,18,9,9,7,2,7,17,41.2,10,170,52,30.6,77,85,8,41,27,1,14,14,32,102,1,Matches
2261,Cristian Romero,ar ARG,DF,Atalanta,it Serie A,22,1998,28.3,75,46,50,22,3,11,40,27.5,29,486,173,35.6,226,236,24,52,14,0,38,81,156,148,2,Matches
2262,Oriol Romeu,es ESP,MF,Southampton,eng Premier League,28,1991,19.6,68,35,27,37,4,22,65,33.8,43,344,104,30.2,129,190,25,32,6,0,26,27,95,19,0,Matches
2263,Cristiano Ronaldo,pt POR,FW,Juventus,it Serie A,35,1985,31.1,9,3,3,5,1,4,21,19.0,17,225,61,27.1,24,89,112,15,5,0,10,8,17,16,0,Matches
2264,Facundo Roncaglia,ar ARG,DF,Osasuna,es La Liga,33,1987,13.7,22,15,13,8,1,8,16,50.0,8,153,54,35.3,84,55,14,17,5,0,12,12,34,41,0,Matches
2265,Valentin Rongier,fr FRA,MF,Marseille,fr Ligue 1,25,1994,21.0,102,73,35,57,10,40,91,44.0,51,529,173,32.7,154,283,92,27,2,0,25,34,136,23,0,Matches
2266,Marten de Roon,nl NED,MF,Atalanta,it Serie A,29,1991,33.6,95,67,33,47,15,26,87,29.9,61,673,231,34.3,172,376,125,45,7,0,38,69,164,78,0,Matches
2267,Jérôme Roussillon,fr FRA,DF,Wolfsburg,de Bundesliga,27,1993,13.7,24,14,15,8,1,11,22,50.0,11,191,70,36.6,86,79,26,23,1,0,22,13,37,36,0,Matches
2268,Nolan Roux,fr FRA,FW,Nîmes,fr Ligue 1,32,1988,7.2,7,6,0,4,3,3,8,37.5,5,121,28,23.1,10,60,51,7,0,0,7,2,9,2,0,Matches
2269,Nicolò Rovella,it ITA,MF,Genoa,it Serie A,18,2001,13.2,28,16,15,10,3,6,22,27.3,16,306,68,22.2,130,141,35,26,1,0,25,18,46,26,0,Matches
2270,Amir Rrahmani,xk KVX,DF,Napoli,it Serie A,26,1994,12.2,16,10,8,8,0,6,9,66.7,3,141,44,31.2,75,60,6,19,13,0,6,8,24,54,1,Matches
2271,Rubén,es ESP,GKMF,Osasuna,es La Liga,36,1984,2.1,0,0,0,0,0,0,0,,0,3,0,0.0,3,0,0,0,0,0,0,0,0,0,0,Matches
